width,dataset,partition,method,alpha,n,rmse,mae,finite,coef_date,coef_state
8,exact_hidden_doy,exact2024,crop,0.27751747304554253,152,0.05073623165726467,0.035709253064075686,140,,
8,exact_hidden_doy,exact2024,state,-0.1502557076477979,152,0.05107285936770017,0.03530440926238101,152,,
8,exact_hidden_doy,exact2024,joint,0.17679436887374306,152,0.05114078473987143,0.03566116443369218,152,0.16389052859993775,-0.06630341997738963
12,random_private_like,random0,date,0.25924824318597545,2644,0.07345802465136719,0.04338144241117277,2410,,
12,random_private_like,random0,crop,0.27424785682635777,2644,0.07335072491367585,0.043385815795144195,1924,,
12,random_private_like,random0,state,-0.20747412971806867,2644,0.07328889420830174,0.04331185772790435,2644,,
12,random_private_like,random0,joint,0.3066910809033418,2644,0.07333087844931549,0.043225225172891776,2410,0.24845383984252745,-0.17980575233613597
12,random_private_like,random1,date,0.15946658953486462,2644,0.06623523716444635,0.04309567625527922,2393,,
12,random_private_like,random1,crop,0.1886902256765843,2644,0.06614068030147063,0.04305364148793914,1920,,
12,random_private_like,random1,state,-0.18309667050369796,2644,0.06640010045251984,0.043179009097651835,2644,,
12,random_private_like,random1,joint,0.2199154374949449,2644,0.06611409715017037,0.042936762156074254,2393,0.1535195906270985,-0.15746280494860085
12,random_private_like,random2,date,0.20513187341571482,2644,0.06800829428846823,0.04069674702541533,2403,,
12,random_private_like,random2,crop,0.23707490722816352,2644,0.0679848299558914,0.040586951539616944,1926,,
12,random_private_like,random2,state,-0.42362536358114644,2644,0.06843135787736314,0.04079480219409841,2644,,
12,random_private_like,random2,joint,0.4143033481529206,2644,0.06817168112911634,0.040651770262017224,2403,0.20010134731874568,-0.36277639820134777
12,exact_hidden_doy,exact2019,date,0.17757030464050697,249,0.057153818636897426,0.03891434543185172,244,,
12,exact_hidden_doy,exact2019,crop,0.23544480223630798,249,0.0564266122216158,0.03805127307734325,226,,
12,exact_hidden_doy,exact2019,state,0.06988303590311834,249,0.05719911079862534,0.03945087356196504,249,,
12,exact_hidden_doy,exact2019,joint,0.15976289118685955,249,0.05712315972748364,0.03896364702207547,244,0.15468234890120977,0.039969392524639755
12,exact_hidden_doy,exact2020,date,0.16557096025183174,222,0.0551713188535567,0.037857568523003274,219,,
12,exact_hidden_doy,exact2020,crop,0.2314848740190238,222,0.05446137526571058,0.03736181315535395,201,,
12,exact_hidden_doy,exact2020,state,0.018130046386598105,222,0.055300516655135246,0.0376473126802816,222,,
12,exact_hidden_doy,exact2020,joint,0.14570524512469032,222,0.05515044381937994,0.03782159836047042,219,0.14536477688430494,0.009954903225162012
12,exact_hidden_doy,exact2021,date,0.15680965882680273,130,0.07674976170710032,0.05588272152937116,126,,
12,exact_hidden_doy,exact2021,crop,0.2298801679439895,130,0.07553853100250162,0.05394601735343063,121,,
12,exact_hidden_doy,exact2021,state,0.1398745867736547,130,0.07749640085507732,0.05709076500581725,130,,
12,exact_hidden_doy,exact2021,joint,0.15672893145553965,130,0.07689722356173238,0.05606952001750985,126,0.1354152821945803,0.07890918389742368
12,exact_hidden_doy,exact2022,date,0.13645114888412557,192,0.06622107810149576,0.047180330248264256,189,,
12,exact_hidden_doy,exact2022,crop,0.21713489000557545,192,0.0655516071038134,0.046845030262884634,185,,
12,exact_hidden_doy,exact2022,state,-0.07480663390663776,192,0.06675473664504122,0.047744379448415364,192,,
12,exact_hidden_doy,exact2022,joint,0.12700991049282934,192,0.06632922469537982,0.047259152861948345,189,0.12134407551165699,-0.03751176750858067
12,exact_hidden_doy,exact2023,date,0.15226828323124336,169,0.07061259270710925,0.04503359289753946,169,,
12,exact_hidden_doy,exact2023,crop,0.25771468868402103,169,0.07121974717969023,0.04538205228630189,155,,
12,exact_hidden_doy,exact2023,state,0.04577310525288019,169,0.07085401840198634,0.04508986083343967,169,,
12,exact_hidden_doy,exact2023,joint,0.13779220150544047,169,0.07062053310167879,0.04502366464000866,169,0.1350652826332351,0.027277467311321774
12,exact_hidden_doy,exact2024,date,0.15858880492819238,152,0.0510472846072788,0.03577772859844924,152,,
12,exact_hidden_doy,exact2024,crop,0.24041626686578138,152,0.05084384714943825,0.035887290526379984,140,,
12,exact_hidden_doy,exact2024,state,0.07066730620746564,152,0.0511980206422921,0.035752745542600356,152,,
12,exact_hidden_doy,exact2024,joint,0.14956042891310842,152,0.05107921646439343,0.03585646918346787,152,0.14206864381585463,0.046742083190598034
16,random_private_like,random0,date,0.24113255482008755,2644,0.0733089979096816,0.043301559993584954,2410,,
16,random_private_like,random0,crop,0.2640145932131864,2644,0.07315440578099244,0.043194887855544525,1924,,
16,random_private_like,random0,state,-0.22660365378487543,2644,0.07326708894638637,0.04332702434247115,2644,,
16,random_private_like,random0,joint,0.30997378716280144,2644,0.07315959435489854,0.04313616976520759,2410,0.23342251332656191,-0.2039550906458595
16,random_private_like,random1,date,0.19654648699026153,2644,0.06622463696318875,0.04306744313912482,2393,,
16,random_private_like,random1,crop,0.22559439879183535,2644,0.06611124278844628,0.04297381943918346,1920,,
16,random_private_like,random1,state,-0.26386436743458985,2644,0.0664353175395371,0.043158962182824924,2644,,
16,random_private_like,random1,joint,0.30743904422416307,2644,0.06611862789477176,0.04288598922315369,2393,0.19238856539274182,-0.23980284781376057
16,random_private_like,random2,date,0.20803164747432526,2644,0.06793225901617317,0.04054222451282738,2403,,
16,random_private_like,random2,crop,0.2590611646889836,2644,0.06793113350725373,0.040563253316281155,1926,,
16,random_private_like,random2,state,-0.3100348800728594,2644,0.06818494242464268,0.040685621311016516,2644,,
16,random_private_like,random2,joint,0.34591948877225204,2644,0.06789094312129858,0.04036320276631735,2403,0.2037364497450818,-0.27955634809055213
16,exact_hidden_doy,exact2019,date,0.11962089891854623,249,0.05685921773907362,0.039145522356327775,244,,
16,exact_hidden_doy,exact2019,crop,0.1604458026366045,249,0.05661201835378699,0.0387851468130276,226,,
16,exact_hidden_doy,exact2019,state,0.008426242016312547,249,0.05718232333086778,0.03942305621921196,249,,
