route,policy,slice,n,rmse,rmse_base
crop_hier_n1_p67,new2025_0.65,shared,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.65,new2025,1516,0.0775953704,0.0797533421
crop_hier_n1_p67,new2025_0.65,shared2025,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.65,new2025_near,1408,0.0765495682,0.0789108893
crop_hier_n1_p67,new2025_0.65,new2025_far,18,0.0908710316,0.0931731510
crop_hier_n1_p67,new2025_0.65,shared2025_near,1431,0.0503883778,0.0513532772
crop_hier_n1_p67,new2025_0.65,shared2025_far,10,0.0969101508,0.0973607376
crop_hier_n1_p67,new2025_0.65,source_s2,4693,0.0654955953,0.0665003066
crop_hier_n1_p67,new2025_0.65,source_landsat,4065,0.0696825190,0.0710960435
crop_hier_n1_p67,new2025_0.65,source_modis,1818,0.0634987307,0.0651471604
crop_hier_n1_p67,new2025_0.70,all,10576,0.0668054320,0.0680787938
crop_hier_n1_p67,new2025_0.70,near,6890,0.0645681649,0.0662006592
crop_hier_n1_p67,new2025_0.70,mid,1711,0.0717796967,0.0729940242
crop_hier_n1_p67,new2025_0.70,far,1975,0.0699365272,0.0700986011
crop_hier_n1_p67,new2025_0.70,history,7552,0.0673278752,0.0684564515
crop_hier_n1_p67,new2025_0.70,2025,3024,0.0654825056,0.0671263704
crop_hier_n1_p67,new2025_0.70,new,9068,0.0691508770,0.0704712639
crop_hier_n1_p67,new2025_0.70,shared,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.70,new2025,1516,0.0775967372,0.0797533421
crop_hier_n1_p67,new2025_0.70,shared2025,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.70,new2025_near,1408,0.0765379838,0.0789108893
crop_hier_n1_p67,new2025_0.70,new2025_far,18,0.0908204539,0.0931731510
crop_hier_n1_p67,new2025_0.70,shared2025_near,1431,0.0503883778,0.0513532772
crop_hier_n1_p67,new2025_0.70,shared2025_far,10,0.0969101508,0.0973607376
crop_hier_n1_p67,new2025_0.70,source_s2,4693,0.0655060122,0.0665003066
crop_hier_n1_p67,new2025_0.70,source_landsat,4065,0.0696629665,0.0710960435
