route,features,group,model,cap,runs,n,rmse,baseline_rmse,delta_rmse,improved_runs
history,compact,group_aoi,ridge30,0.04,9.0,3578.0,0.06404881380870928,0.0645102009382529,-0.0004613871295436195,6.0
history,compact,group_aoi,ridge30,0.06,9.0,3578.0,0.0640678235170562,0.0645102009382529,-0.0004423774211966963,6.0
history,compact,group_aoiyear,hgb8,0.01,9.0,3345.0,0.06165610074948352,0.06170038982471902,-4.428907523549436e-05,4.0
history,compact,group_aoiyear,hgb8,0.02,9.0,3345.0,0.06162848621451665,0.06170038982471902,-7.190361020236596e-05,4.0
history,compact,group_aoiyear,hgb8,0.03,9.0,3345.0,0.0616389004912933,0.06170038982471902,-6.14893334257155e-05,4.0
history,compact,group_aoiyear,hgb8,0.04,9.0,3345.0,0.061658119610622585,0.06170038982471902,-4.227021409643206e-05,4.0
history,compact,group_aoiyear,hgb8,0.06,9.0,3345.0,0.061661212033279726,0.06170038982471902,-3.9177791439290455e-05,4.0
history,compact,group_aoiyear,ridge100,0.01,9.0,3345.0,0.061568796198900134,0.06170038982471902,-0.00013159362581888212,5.0
history,compact,group_aoiyear,ridge100,0.02,9.0,3345.0,0.061633517511883916,0.06170038982471902,-6.687231283510064e-05,5.0
history,compact,group_aoiyear,ridge100,0.03,9.0,3345.0,0.0616812105583642,0.06170038982471902,-1.9179266354814317e-05,4.0
history,compact,group_aoiyear,ridge100,0.04,9.0,3345.0,0.061698298512702324,0.06170038982471902,-2.0913120166929366e-06,4.0
history,compact,group_aoiyear,ridge100,0.06,9.0,3345.0,0.06169374020964116,0.06170038982471902,-6.649615077854165e-06,4.0
history,compact,group_aoiyear,ridge30,0.01,9.0,3345.0,0.06141064886982375,0.06170038982471902,-0.0002897409548952637,7.0
history,compact,group_aoiyear,ridge30,0.02,9.0,3345.0,0.06158615776857649,0.06170038982471902,-0.00011423205614252696,5.0
history,compact,group_aoiyear,ridge30,0.03,9.0,3345.0,0.06170603799617821,0.06170038982471902,5.648171459191054e-06,4.0
history,compact,group_aoiyear,ridge30,0.04,9.0,3345.0,0.06175481078803016,0.06170038982471902,5.44209633111456e-05,4.0
history,compact,group_aoiyear,ridge30,0.06,9.0,3345.0,0.06176747762675948,0.06170038982471902,6.708780204046222e-05,4.0
new25,candidate,group_aoi,hgb8,0.01,9.0,674.0,0.11801168965333922,0.11781112936276211,0.00020056029057710645,2.0
new25,candidate,group_aoi,hgb8,0.02,9.0,674.0,0.11825171311776242,0.11781112936276211,0.00044058375500030666,2.0
new25,candidate,group_aoi,hgb8,0.03,9.0,674.0,0.11826709879595661,0.11781112936276211,0.0004559694331944947,2.0
new25,candidate,group_aoi,hgb8,0.04,9.0,674.0,0.11826709879595661,0.11781112936276211,0.0004559694331944947,2.0
new25,candidate,group_aoi,hgb8,0.06,9.0,674.0,0.11826709879595661,0.11781112936276211,0.0004559694331944947,2.0
new25,candidate,group_aoi,ridge100,0.01,9.0,674.0,0.11830701543156344,0.11781112936276211,0.0004958860688013267,0.0
new25,candidate,group_aoi,ridge100,0.02,9.0,674.0,0.11834299901630765,0.11781112936276211,0.0005318696535455414,0.0
new25,candidate,group_aoi,ridge100,0.03,9.0,674.0,0.11834299901630765,0.11781112936276211,0.0005318696535455414,0.0
new25,candidate,group_aoi,ridge100,0.04,9.0,674.0,0.11834299901630765,0.11781112936276211,0.0005318696535455414,0.0
new25,candidate,group_aoi,ridge100,0.06,9.0,674.0,0.11834299901630765,0.11781112936276211,0.0005318696535455414,0.0
new25,candidate,group_aoi,ridge30,0.01,9.0,674.0,0.11831809419140474,0.11781112936276211,0.0005069648286426254,0.0
new25,candidate,group_aoi,ridge30,0.02,9.0,674.0,0.11836056817623056,0.11781112936276211,0.0005494388134684447,0.0
new25,candidate,group_aoi,ridge30,0.03,9.0,674.0,0.11836056817623056,0.11781112936276211,0.0005494388134684447,0.0
new25,candidate,group_aoi,ridge30,0.04,9.0,674.0,0.11836056817623056,0.11781112936276211,0.0005494388134684447,0.0
new25,candidate,group_aoi,ridge30,0.06,9.0,674.0,0.11836056817623056,0.11781112936276211,0.0005494388134684447,0.0
new25,candidate,group_aoiyear,hgb8,0.01,9.0,674.0,0.11801168965333922,0.11781112936276211,0.00020056029057710645,2.0
new25,candidate,group_aoiyear,hgb8,0.02,9.0,674.0,0.11825171311776242,0.11781112936276211,0.00044058375500030666,2.0
new25,candidate,group_aoiyear,hgb8,0.03,9.0,674.0,0.11826709879595661,0.11781112936276211,0.0004559694331944947,2.0
new25,candidate,group_aoiyear,hgb8,0.04,9.0,674.0,0.11826709879595661,0.11781112936276211,0.0004559694331944947,2.0
new25,candidate,group_aoiyear,hgb8,0.06,9.0,674.0,0.11826709879595661,0.11781112936276211,0.0004559694331944947,2.0
new25,candidate,group_aoiyear,ridge100,0.01,9.0,674.0,0.11830701543156344,0.11781112936276211,0.0004958860688013267,0.0
new25,candidate,group_aoiyear,ridge100,0.02,9.0,674.0,0.11834299901630765,0.11781112936276211,0.0005318696535455414,0.0
new25,candidate,group_aoiyear,ridge100,0.03,9.0,674.0,0.11834299901630765,0.11781112936276211,0.0005318696535455414,0.0
new25,candidate,group_aoiyear,ridge100,0.04,9.0,674.0,0.11834299901630765,0.11781112936276211,0.0005318696535455414,0.0
new25,candidate,group_aoiyear,ridge100,0.06,9.0,674.0,0.11834299901630765,0.11781112936276211,0.0005318696535455414,0.0
new25,candidate,group_aoiyear,ridge30,0.01,9.0,674.0,0.11831809419140474,0.11781112936276211,0.0005069648286426254,0.0
new25,candidate,group_aoiyear,ridge30,0.02,9.0,674.0,0.11836056817623056,0.11781112936276211,0.0005494388134684447,0.0
new25,candidate,group_aoiyear,ridge30,0.03,9.0,674.0,0.11836056817623056,0.11781112936276211,0.0005494388134684447,0.0
new25,candidate,group_aoiyear,ridge30,0.04,9.0,674.0,0.11836056817623056,0.11781112936276211,0.0005494388134684447,0.0
new25,candidate,group_aoiyear,ridge30,0.06,9.0,674.0,0.11836056817623056,0.11781112936276211,0.0005494388134684447,0.0
new25,compact,group_aoi,hgb8,0.01,9.0,674.0,0.11825997994740405,0.11781112936276211,0.0004488505846419327,1.0
new25,compact,group_aoi,hgb8,0.02,9.0,674.0,0.11854350707125638,0.11781112936276211,0.0007323777084942695,2.0
new25,compact,group_aoi,hgb8,0.03,9.0,674.0,0.11865460645728544,0.11781112936276211,0.0008434770945233289,2.0
new25,compact,group_aoi,hgb8,0.04,9.0,674.0,0.11866509382336207,0.11781112936276211,0.0008539644605999597,2.0
