radius,method,policy,pred,seed,n,rmse
1,median,dist502,bucket_0.005_0,70404,2644,0.06835000444386644
1,median,dist502,bucket_0.005_0,-1,10576,0.06679129811071893
1,median,dist502,bucket_0.005_0.005,0,2644,0.07040250224427752
1,median,dist502,bucket_0.005_0.005,1,2644,0.06301560500727957
1,median,dist502,bucket_0.005_0.005,2,2644,0.06517190774194262
1,median,dist502,bucket_0.005_0.005,70404,2644,0.06832938850260613
1,median,dist502,bucket_0.005_0.005,-1,10576,0.06679027191244497
1,median,dist502,bucket_0.005_0.01,0,2644,0.07040215908647487
1,median,dist502,bucket_0.005_0.01,1,2644,0.0630275747552857
1,median,dist502,bucket_0.005_0.01,2,2644,0.06518901133995024
1,median,dist502,bucket_0.005_0.01,70404,2644,0.06831255305067549
1,median,dist502,bucket_0.005_0.01,-1,10576,0.06679287253770412
1,median,dist502,bucket_0.005_0.02,0,2644,0.07041058251522661
1,median,dist502,bucket_0.005_0.02,1,2644,0.06306329536683335
1,median,dist502,bucket_0.005_0.02,2,2644,0.06523464432101227
1,median,dist502,bucket_0.005_0.02,70404,2644,0.06829023417090582
1,median,dist502,bucket_0.005_0.02,-1,10576,0.06680895197401343
1,median,dist502,bucket_0.005_0.03,0,2644,0.07043114798349664
1,median,dist502,bucket_0.005_0.03,1,2644,0.06311470068511661
1,median,dist502,bucket_0.005_0.03,2,2644,0.06529548395430736
1,median,dist502,bucket_0.005_0.03,70404,2644,0.06828306264311787
1,median,dist502,bucket_0.005_0.03,-1,10576,0.06683952595133405
1,median,dist502,bucket_0.005_0.05,0,2644,0.07050865626774412
1,median,dist502,bucket_0.005_0.05,1,2644,0.06326440084150656
1,median,dist502,bucket_0.005_0.05,2,2644,0.06546260298744556
1,median,dist502,bucket_0.005_0.05,70404,2644,0.06831417064936521
1,median,dist502,bucket_0.005_0.05,-1,10576,0.0669440686766203
1,median,dist502,bucket_0.01_0,0,2644,0.07040794334415537
1,median,dist502,bucket_0.01_0,1,2644,0.06302881148338291
1,median,dist502,bucket_0.01_0,2,2644,0.06515397415162
1,median,dist502,bucket_0.01_0,70404,2644,0.06835291397837782
1,median,dist502,bucket_0.01_0,-1,10576,0.06679646465204409
1,median,dist502,bucket_0.01_0.005,0,2644,0.07040456363208814
1,median,dist502,bucket_0.01_0.005,1,2644,0.06303684825436194
1,median,dist502,bucket_0.01_0.005,2,2644,0.06516726587999142
1,median,dist502,bucket_0.01_0.005,70404,2644,0.06833229891492777
1,median,dist502,bucket_0.01_0.005,-1,10576,0.06679543853314523
1,median,dist502,bucket_0.01_0.01,0,2644,0.07040422048433291
1,median,dist502,bucket_0.01_0.01,1,2644,0.0630488139693611
1,median,dist502,bucket_0.01_0.01,2,2644,0.065184370695968
1,median,dist502,bucket_0.01_0.01,70404,2644,0.06831546418023017
1,median,dist502,bucket_0.01_0.01,-1,10576,0.0667980389572541
1,median,dist502,bucket_0.01_0.02,0,2644,0.07041264366648067
1,median,dist502,bucket_0.01_0.02,1,2644,0.06308452255454139
1,median,dist502,bucket_0.01_0.02,2,2644,0.06523000692348721
1,median,dist502,bucket_0.01_0.02,70404,2644,0.06829314625184661
1,median,dist502,bucket_0.01_0.02,-1,10576,0.06681411715021669
1,median,dist502,bucket_0.01_0.03,0,2644,0.07043320853292466
1,median,dist502,bucket_0.01_0.03,1,2644,0.06313591058963064
1,median,dist502,bucket_0.01_0.03,2,2644,0.06529085087802441
1,median,dist502,bucket_0.01_0.03,70404,2644,0.06828597502989114
1,median,dist502,bucket_0.01_0.03,-1,10576,0.06684468876504629
1,median,dist502,bucket_0.01_0.05,0,2644,0.07051071455213129
1,median,dist502,bucket_0.01_0.05,1,2644,0.06328556057462706
1,median,dist502,bucket_0.01_0.05,2,2644,0.0654579817397476
1,median,dist502,bucket_0.01_0.05,70404,2644,0.06831708170999072
1,median,dist502,bucket_0.01_0.05,-1,10576,0.06694922342848274
1,median,dist502,bucket_0.02_0,0,2644,0.07043633327096986
1,median,dist502,bucket_0.02_0,1,2644,0.06309811793664713
1,median,dist502,bucket_0.02_0,2,2644,0.0651723124555183
1,median,dist502,bucket_0.02_0,70404,2644,0.06838583005593744
1,median,dist502,bucket_0.02_0,-1,10576,0.0668331908467743
1,median,dist502,bucket_0.02_0.005,0,2644,0.07043295492118791
1,median,dist502,bucket_0.02_0.005,1,2644,0.0631061458812267
1,median,dist502,bucket_0.02_0.005,2,2644,0.06518560044460149
1,median,dist502,bucket_0.02_0.005,70404,2644,0.06836522491810496
1,median,dist502,bucket_0.02_0.005,-1,10576,0.06683216529175727
1,median,dist502,bucket_0.02_0.01,0,2644,0.07043261191175508
1,median,dist502,bucket_0.02_0.01,1,2644,0.06311809845901818
1,median,dist502,bucket_0.02_0.01,2,2644,0.06520270045081805
1,median,dist502,bucket_0.02_0.01,70404,2644,0.06834839829333494
1,median,dist502,bucket_0.02_0.01,-1,10576,0.06683476428689204
1,median,dist502,bucket_0.02_0.02,0,2644,0.07044103169891908
1,median,dist502,bucket_0.02_0.02,1,2644,0.06315376786917509
1,median,dist502,bucket_0.02_0.02,2,2644,0.06524832385807261
1,median,dist502,bucket_0.02_0.02,70404,2644,0.06832609112249984
1,median,dist502,bucket_0.02_0.02,-1,10576,0.06685083364710169
1,median,dist502,bucket_0.02_0.03,0,2644,0.07046158828005362
1,median,dist502,bucket_0.02_0.03,1,2644,0.06320509960534075
1,median,dist502,bucket_0.02_0.03,2,2644,0.06530915074800896
1,median,dist502,bucket_0.02_0.03,70404,2644,0.06831892335866364
1,median,dist502,bucket_0.02_0.03,-1,10576,0.06688138847875011
1,median,dist502,bucket_0.02_0.05,0,2644,0.0705390631165277
1,median,dist502,bucket_0.02_0.05,1,2644,0.06335458615904616
1,median,dist502,bucket_0.02_0.05,2,2644,0.06547623489855588
1,median,dist502,bucket_0.02_0.05,70404,2644,0.06835001504369687
1,median,dist502,bucket_0.02_0.05,-1,10576,0.0669858658705438
1,median,dist502,bucket_0.03_0,0,2644,0.0704970424466181
1,median,dist502,bucket_0.03_0,1,2644,0.06320307277639739
1,median,dist502,bucket_0.03_0,2,2644,0.06522745026789867
1,median,dist502,bucket_0.03_0,70404,2644,0.06845482608790335
1,median,dist502,bucket_0.03_0,-1,10576,0.06690505378010533
1,median,dist502,bucket_0.03_0.005,0,2644,0.07049366700627245
1,median,dist502,bucket_0.03_0.005,1,2644,0.06321108739148709
1,median,dist502,bucket_0.03_0.005,2,2644,0.06524072702671789
1,median,dist502,bucket_0.03_0.005,70404,2644,0.0684342417243635
1,median,dist502,bucket_0.03_0.005,-1,10576,0.06690402932665711
1,median,dist502,bucket_0.03_0.01,0,2644,0.07049332429225509
1,median,dist502,bucket_0.03_0.01,1,2644,0.06322302012964792
1,median,dist502,bucket_0.03_0.01,2,2644,0.06525781258769403
1,median,dist502,bucket_0.03_0.01,70404,2644,0.06841743207363081
1,median,dist502,bucket_0.03_0.01,-1,10576,0.0669066255302257
1,median,dist502,bucket_0.03_0.02,0,2644,0.07050173682874245
1,median,dist502,bucket_0.03_0.02,1,2644,0.06325863037803779
1,median,dist502,bucket_0.03_0.02,2,2644,0.06530339749155029
1,median,dist502,bucket_0.03_0.02,70404,2644,0.06839514741826123
1,median,dist502,bucket_0.03_0.02,-1,10576,0.06692267763523731
1,median,dist502,bucket_0.03_0.03,0,2644,0.07052227571490394
1,median,dist502,bucket_0.03_0.03,1,2644,0.0633098770915929
1,median,dist502,bucket_0.03_0.03,2,2644,0.06536417313083405
