width,radius,source_profile,agg,mode,n,rmse_pooled,base_rmse_pooled,delta_pooled,wins,coverage
12,16,False,exp,fixed020,10576.0000000000,0.0657878642,0.0666343245,-0.0008464603,4.0000000000,0.9932866868
8,8,False,inv1,loo,10576.0000000000,0.0657882941,0.0666343245,-0.0008460304,4.0000000000,0.9922465961
32,4,False,inv1,loo,10576.0000000000,0.0657900698,0.0666343245,-0.0008442547,4.0000000000,0.9895990923
16,8,True,inv2,loo,10576.0000000000,0.0657904494,0.0666343245,-0.0008438751,4.0000000000,0.9922465961
24,8,False,inv2,loo,10576.0000000000,0.0657920772,0.0666343245,-0.0008422473,4.0000000000,0.9922465961
8,32,False,exp,loo,10576.0000000000,0.0657941326,0.0666343245,-0.0008401919,4.0000000000,0.9948940998
12,32,False,exp,fixed020,10576.0000000000,0.0657943517,0.0666343245,-0.0008399727,4.0000000000,0.9948940998
16,16,True,inv2,loo,10576.0000000000,0.0657952443,0.0666343245,-0.0008390801,4.0000000000,0.9932866868
16,4,True,median,loo,10576.0000000000,0.0657968026,0.0666343245,-0.0008375218,4.0000000000,0.9895990923
16,32,True,inv1,loo,10576.0000000000,0.0657969718,0.0666343245,-0.0008373527,4.0000000000,0.9948940998
20,4,False,mean,loo,10576.0000000000,0.0657969920,0.0666343245,-0.0008373325,4.0000000000,0.9895990923
12,16,False,inv2,fixed020,10576.0000000000,0.0657975292,0.0666343245,-0.0008367953,4.0000000000,0.9932866868
16,32,True,exp,loo,10576.0000000000,0.0657979928,0.0666343245,-0.0008363316,4.0000000000,0.9948940998
24,32,False,inv2,loo,10576.0000000000,0.0658006206,0.0666343245,-0.0008337039,4.0000000000,0.9948940998
12,32,False,inv1,fixed020,10576.0000000000,0.0658012406,0.0666343245,-0.0008330839,4.0000000000,0.9948940998
16,8,True,mean,loo,10576.0000000000,0.0658015457,0.0666343245,-0.0008327788,4.0000000000,0.9922465961
20,4,False,exp,fixed020,10576.0000000000,0.0658020893,0.0666343245,-0.0008322351,4.0000000000,0.9895990923
16,4,True,inv2,loo,10576.0000000000,0.0658032551,0.0666343245,-0.0008310694,4.0000000000,0.9895990923
32,4,False,mean,loo,10576.0000000000,0.0658033298,0.0666343245,-0.0008309947,4.0000000000,0.9895990923
16,16,False,mean,loo,10576.0000000000,0.0658045302,0.0666343245,-0.0008297943,4.0000000000,0.9932866868
12,32,False,inv2,fixed020,10576.0000000000,0.0658049156,0.0666343245,-0.0008294088,4.0000000000,0.9948940998
12,8,False,inv2,fixed020,10576.0000000000,0.0658053247,0.0666343245,-0.0008289997,4.0000000000,0.9922465961
24,16,False,inv2,fixed020,10576.0000000000,0.0658060930,0.0666343245,-0.0008282315,4.0000000000,0.9932866868
12,16,False,inv2,loo,10576.0000000000,0.0658083512,0.0666343245,-0.0008259732,4.0000000000,0.9932866868
12,8,False,mean,loo,10576.0000000000,0.0658130404,0.0666343245,-0.0008212841,4.0000000000,0.9922465961
32,4,False,exp,fixed020,10576.0000000000,0.0658131139,0.0666343245,-0.0008212105,4.0000000000,0.9895990923
16,8,False,median,loo,10576.0000000000,0.0658148319,0.0666343245,-0.0008194925,4.0000000000,0.9922465961
24,4,False,inv2,loo,10576.0000000000,0.0658158633,0.0666343245,-0.0008184612,4.0000000000,0.9895990923
12,32,False,inv2,loo,10576.0000000000,0.0658164418,0.0666343245,-0.0008178827,4.0000000000,0.9948940998
12,8,False,inv2,loo,10576.0000000000,0.0658190079,0.0666343245,-0.0008153165,4.0000000000,0.9922465961
24,8,False,inv2,fixed020,10576.0000000000,0.0658190527,0.0666343245,-0.0008152717,4.0000000000,0.9922465961
32,8,False,inv1,loo,10576.0000000000,0.0658195953,0.0666343245,-0.0008147291,4.0000000000,0.9922465961
16,2,False,inv1,fixed020,10576.0000000000,0.0658212891,0.0666343245,-0.0008130354,4.0000000000,0.9712556732
20,4,False,exp,loo,10576.0000000000,0.0658229938,0.0666343245,-0.0008113307,4.0000000000,0.9895990923
20,4,False,inv1,fixed020,10576.0000000000,0.0658234315,0.0666343245,-0.0008108930,4.0000000000,0.9895990923
24,32,False,inv2,fixed020,10576.0000000000,0.0658241553,0.0666343245,-0.0008101692,4.0000000000,0.9948940998
12,4,False,inv2,fixed020,10576.0000000000,0.0658250629,0.0666343245,-0.0008092615,4.0000000000,0.9895990923
32,8,False,exp,loo,10576.0000000000,0.0658260066,0.0666343245,-0.0008083179,4.0000000000,0.9922465961
32,4,False,mean,fixed020,10576.0000000000,0.0658274103,0.0666343245,-0.0008069142,4.0000000000,0.9895990923
20,8,False,exp,fixed020,10576.0000000000,0.0658292167,0.0666343245,-0.0008051077,4.0000000000,0.9922465961
32,4,False,inv1,fixed020,10576.0000000000,0.0658294006,0.0666343245,-0.0008049238,4.0000000000,0.9895990923
16,16,False,mean,fixed020,10576.0000000000,0.0658304129,0.0666343245,-0.0008039116,4.0000000000,0.9932866868
16,2,False,inv2,fixed020,10576.0000000000,0.0658335590,0.0666343245,-0.0008007654,4.0000000000,0.9712556732
16,2,False,inv1,loo,10576.0000000000,0.0658336530,0.0666343245,-0.0008006714,4.0000000000,0.9712556732
8,16,False,inv2,loo,10576.0000000000,0.0658351133,0.0666343245,-0.0007992112,4.0000000000,0.9932866868
