year,method,alpha,threshold,n,rmse
2020,mod8,1.0,0.5,222,0.06562201920945901
2020,mod8,1.0,0.6,222,0.06562201920945901
2020,mod8,1.0,0.7,222,0.06562201920945901
2020,mod8,1.0,0.8,222,0.06464909338586854
2020,mod8,1.0,0.9,222,0.06441202134109263
2020,mod10,0.1,-1.0,222,0.06429115559844353
2020,mod10,0.2,-1.0,222,0.06432911608252219
2020,mod10,0.3,-1.0,222,0.06438810870985337
2020,mod10,0.5,-1.0,222,0.06456893925311372
2020,mod10,0.75,-1.0,222,0.06491183120008798
2020,mod10,1.0,-1.0,222,0.0653826180271736
2020,mod10,1.0,0.5,222,0.06531631126489153
2020,mod10,1.0,0.6,222,0.06531631126489153
2020,mod10,1.0,0.7,222,0.06531631126489153
2020,mod10,1.0,0.8,222,0.06437263616472294
2020,mod10,1.0,0.9,222,0.06428833495278427
2020,mod12,0.1,-1.0,222,0.06426553161247438
2020,mod12,0.2,-1.0,222,0.0642789991439099
2020,mod12,0.3,-1.0,222,0.06431465317042732
2020,mod12,0.5,-1.0,222,0.06445235051845534
2020,mod12,0.75,-1.0,222,0.0647481363893778
2020,mod12,1.0,-1.0,222,0.06517954045803705
2020,mod12,1.0,0.5,222,0.06513838645590424
2020,mod12,1.0,0.6,222,0.06513838645590424
2020,mod12,1.0,0.7,222,0.06513838645590424
2020,mod12,1.0,0.8,222,0.06422085986871452
2020,mod12,1.0,0.9,222,0.06418592717093516
2020,mod16,0.1,-1.0,222,0.06423483445432669
2020,mod16,0.2,-1.0,222,0.06422046407609147
2020,mod16,0.3,-1.0,222,0.06423117020751905
2020,mod16,0.5,-1.0,222,0.06432773259100243
2020,mod16,0.75,-1.0,222,0.06458865002057267
2020,mod16,1.0,-1.0,222,0.06500355808197213
2020,mod16,1.0,0.5,222,0.06507145662392128
2020,mod16,1.0,0.6,222,0.06507145662392128
2020,mod16,1.0,0.7,222,0.06507145662392128
2020,mod16,1.0,0.8,222,0.06414779017676073
2020,mod16,1.0,0.9,222,0.06410200962173944
2021,base,1.0,0.0,130,0.09026033289207216
2021,mod6,1.0,0.0,130,0.10960265380098162
2021,mod8,1.0,0.0,130,0.10978884428931082
2021,mod10,1.0,0.0,130,0.11016172182887854
2021,mod12,1.0,0.0,130,0.11273000735366476
2021,mod16,1.0,0.0,130,0.11749123987013856
2021,mod6,0.1,-1.0,130,0.09001799555856671
2021,mod6,0.2,-1.0,130,0.08979707983168558
2021,mod6,0.3,-1.0,130,0.08959774416543986
2021,mod6,0.5,-1.0,130,0.08926437564882864
2021,mod6,0.75,-1.0,130,0.08897130765987557
2021,mod6,1.0,-1.0,130,0.08881685993774381
2021,mod6,1.0,0.5,130,0.08873841208581816
2021,mod6,1.0,0.6,130,0.08873841208581816
2021,mod6,1.0,0.7,130,0.08831398078833483
2021,mod6,1.0,0.8,130,0.09015602948165598
2021,mod6,1.0,0.9,130,0.08992671155949458
2021,mod8,0.1,-1.0,130,0.09008311195118639
2021,mod8,0.2,-1.0,130,0.08992403007498112
2021,mod8,0.3,-1.0,130,0.08978318368233595
2021,mod8,0.5,-1.0,130,0.08955653035841393
2021,mod8,0.75,-1.0,130,0.08937708869233288
2021,mod8,1.0,-1.0,130,0.08931369208152368
2021,mod8,1.0,0.5,130,0.0889673871248434
2021,mod8,1.0,0.6,130,0.0889673871248434
2021,mod8,1.0,0.7,130,0.08823787793892784
2021,mod8,1.0,0.8,130,0.08988860342838302
2021,mod8,1.0,0.9,130,0.09032079730940631
2021,mod10,0.1,-1.0,130,0.09006195749572914
2021,mod10,0.2,-1.0,130,0.08988390307084645
2021,mod10,0.3,-1.0,130,0.08972629059338223
2021,mod10,0.5,-1.0,130,0.08947280958917879
2021,mod10,0.75,-1.0,130,0.08927257717072419
2021,mod10,1.0,-1.0,130,0.08920270929503256
2021,mod10,1.0,0.5,130,0.08875710059866025
2021,mod10,1.0,0.6,130,0.08875710059866025
2021,mod10,1.0,0.7,130,0.08817733317782205
2021,mod10,1.0,0.8,130,0.08977982263419992
2021,mod10,1.0,0.9,130,0.09078776564415611
2021,mod12,0.1,-1.0,130,0.09018753524419364
2021,mod12,0.2,-1.0,130,0.0901437469733723
2021,mod12,0.3,-1.0,130,0.090129010361358
2021,mod12,0.5,-1.0,130,0.09018672100359201
2021,mod12,0.75,-1.0,130,0.09042193378132513
2021,mod12,1.0,-1.0,130,0.09083697611939018
2021,mod12,1.0,0.5,130,0.0904860693474552
2021,mod12,1.0,0.6,130,0.0904860693474552
2021,mod12,1.0,0.7,130,0.08975048532419432
2021,mod12,1.0,0.8,130,0.0912033110384425
2021,mod12,1.0,0.9,130,0.09219825522550985
2021,mod16,0.1,-1.0,130,0.09027672994560787
2021,mod16,0.2,-1.0,130,0.09034076848228795
2021,mod16,0.3,-1.0,130,0.09045234731438483
2021,mod16,0.5,-1.0,130,0.0908173503100945
2021,mod16,0.75,-1.0,130,0.09153636433409058
2021,mod16,1.0,-1.0,130,0.09254085395783516
2021,mod16,1.0,0.5,130,0.09250363010918744
2021,mod16,1.0,0.6,130,0.09250363010918744
2021,mod16,1.0,0.7,130,0.09091240749755884
2021,mod16,1.0,0.8,130,0.0921938717772921
2021,mod16,1.0,0.9,130,0.0933747404143188
2022,base,1.0,0.0,192,0.07224060509795764
2022,mod6,1.0,0.0,192,0.08926122440395473
2022,mod8,1.0,0.0,192,0.08987247002017767
2022,mod10,1.0,0.0,192,0.09001526379741749
2022,mod12,1.0,0.0,192,0.09172382557661805
2022,mod16,1.0,0.0,192,0.09488479886088808
2022,mod6,0.1,-1.0,192,0.07224125511926838
2022,mod6,0.2,-1.0,192,0.0722644220740568
2022,mod6,0.3,-1.0,192,0.07231008432016718
2022,mod6,0.5,-1.0,192,0.07246870364771513
2022,mod6,0.75,-1.0,192,0.0727923193201401
2022,mod6,1.0,-1.0,192,0.07325344358385442
2022,mod6,1.0,0.5,192,0.07360211702629987
2022,mod6,1.0,0.6,192,0.07360211702629987
2022,mod6,1.0,0.7,192,0.07322916013309623
2022,mod6,1.0,0.8,192,0.0727735620165215
2022,mod6,1.0,0.9,192,0.07221624261753043
2022,mod8,0.1,-1.0,192,0.07226488689162687
2022,mod8,0.2,-1.0,192,0.07231177116827
2022,mod8,0.3,-1.0,192,0.07238121400623865
