group,seed,split,model,cap,n,rmse,baseline_rmse,delta_rmse,improved,train_n
group_aoiyear,0,2,ridge30,0.06,547,0.06766208019547522,0.06898995501249078,-0.001327874817015559,1,2097
group_aoiyear,0,2,ridge30,0.08,547,0.06766208019547522,0.06898995501249078,-0.001327874817015559,1,2097
group_aoiyear,0,3,ridge30,0.02,535,0.09475383619585033,0.09542867390983333,-0.0006748377139829953,1,2109
group_aoiyear,0,3,ridge30,0.04,535,0.09466330457246855,0.09542867390983333,-0.0007653693373647769,1,2109
group_aoiyear,0,3,ridge30,0.06,535,0.09464215887897853,0.09542867390983333,-0.0007865150308547925,1,2109
group_aoiyear,0,3,ridge30,0.08,535,0.09464215887897853,0.09542867390983333,-0.0007865150308547925,1,2109
group_aoiyear,0,1,ridge100,0.02,545,0.08869031685313362,0.08854949557261499,0.0001408212805186354,0,2099
group_aoiyear,0,1,ridge100,0.04,545,0.088736402110767,0.08854949557261499,0.00018690653815200964,0,2099
group_aoiyear,0,1,ridge100,0.06,545,0.08873702866736378,0.08854949557261499,0.00018753309474879576,0,2099
group_aoiyear,0,1,ridge100,0.08,545,0.08873702866736378,0.08854949557261499,0.00018753309474879576,0,2099
group_aoiyear,0,2,ridge100,0.02,547,0.0677291423104737,0.06898995501249078,-0.0012608127020170834,1,2097
group_aoiyear,0,2,ridge100,0.04,547,0.06758972742560308,0.06898995501249078,-0.001400227586887695,1,2097
group_aoiyear,0,2,ridge100,0.06,547,0.0676203233002261,0.06898995501249078,-0.001369631712264674,1,2097
group_aoiyear,0,2,ridge100,0.08,547,0.0676203233002261,0.06898995501249078,-0.001369631712264674,1,2097
group_aoiyear,0,3,ridge100,0.02,535,0.0947507392099116,0.09542867390983333,-0.0006779346999217228,1,2109
group_aoiyear,0,3,ridge100,0.04,535,0.09464933977188823,0.09542867390983333,-0.0007793341379450924,1,2109
group_aoiyear,0,3,ridge100,0.06,535,0.0946454701802179,0.09542867390983333,-0.0007832037296154198,1,2109
group_aoiyear,0,3,ridge100,0.08,535,0.0946454701802179,0.09542867390983333,-0.0007832037296154198,1,2109
group_aoiyear,0,1,hgb8,0.02,545,0.08837078741096945,0.08854949557261499,-0.00017870816164554382,1,2099
group_aoiyear,0,1,hgb8,0.04,545,0.08832915820655024,0.08854949557261499,-0.00022033736606474896,1,2099
group_aoiyear,0,1,hgb8,0.06,545,0.08832915820655024,0.08854949557261499,-0.00022033736606474896,1,2099
group_aoiyear,0,1,hgb8,0.08,545,0.08832915820655024,0.08854949557261499,-0.00022033736606474896,1,2099
group_aoiyear,0,2,hgb8,0.02,547,0.06852578168389334,0.06898995501249078,-0.0004641733285974392,1,2097
group_aoiyear,0,2,hgb8,0.04,547,0.06857418281593693,0.06898995501249078,-0.00041577219655385134,1,2097
group_aoiyear,0,2,hgb8,0.06,547,0.06857418281593693,0.06898995501249078,-0.00041577219655385134,1,2097
group_aoiyear,0,2,hgb8,0.08,547,0.06857418281593693,0.06898995501249078,-0.00041577219655385134,1,2097
group_aoiyear,0,3,hgb8,0.02,535,0.09490062918381939,0.09542867390983333,-0.0005280447260139348,1,2109
group_aoiyear,0,3,hgb8,0.04,535,0.09487285173344362,0.09542867390983333,-0.0005558221763897059,1,2109
group_aoiyear,0,3,hgb8,0.06,535,0.09487285173344362,0.09542867390983333,-0.0005558221763897059,1,2109
group_aoiyear,0,3,hgb8,0.08,535,0.09487285173344362,0.09542867390983333,-0.0005558221763897059,1,2109
group_aoiyear,0,1,hgb16,0.02,545,0.08828331352426391,0.08854949557261499,-0.00026618204835107684,1,2099
group_aoiyear,0,1,hgb16,0.04,545,0.08825589622977642,0.08854949557261499,-0.0002935993428385686,1,2099
group_aoiyear,0,1,hgb16,0.06,545,0.08825589622977642,0.08854949557261499,-0.0002935993428385686,1,2099
group_aoiyear,0,1,hgb16,0.08,545,0.08825589622977642,0.08854949557261499,-0.0002935993428385686,1,2099
group_aoiyear,0,2,hgb16,0.02,547,0.06833215230995125,0.06898995501249078,-0.0006578027025395256,1,2097
group_aoiyear,0,2,hgb16,0.04,547,0.06834729197022359,0.06898995501249078,-0.0006426630422671914,1,2097
group_aoiyear,0,2,hgb16,0.06,547,0.06835309468800058,0.06898995501249078,-0.0006368603244902016,1,2097
group_aoiyear,0,2,hgb16,0.08,547,0.06835309468800058,0.06898995501249078,-0.0006368603244902016,1,2097
group_aoiyear,0,3,hgb16,0.02,535,0.09487897522734656,0.09542867390983333,-0.0005496986824867628,1,2109
group_aoiyear,0,3,hgb16,0.04,535,0.09485727245185306,0.09542867390983333,-0.000571401457980264,1,2109
group_aoiyear,0,3,hgb16,0.06,535,0.09485727245185306,0.09542867390983333,-0.000571401457980264,1,2109
group_aoiyear,0,3,hgb16,0.08,535,0.09485727245185306,0.09542867390983333,-0.000571401457980264,1,2109
group_aoiyear,1,1,ridge30,0.02,532,0.06521076364786155,0.06564734417311302,-0.00043658052525147317,1,2112
group_aoiyear,1,1,ridge30,0.04,532,0.06526010371955766,0.06564734417311302,-0.00038724045355535697,1,2112
group_aoiyear,1,1,ridge30,0.06,532,0.06524816771641338,0.06564734417311302,-0.00039917645669963753,1,2112
group_aoiyear,1,1,ridge30,0.08,532,0.06522141917268627,0.06564734417311302,-0.0004259250004267495,1,2112
group_aoiyear,1,2,ridge30,0.02,540,0.09092656836478481,0.09069029969892455,0.0002362686658602675,0,2104
group_aoiyear,1,2,ridge30,0.04,540,0.09106098508460508,0.09069029969892455,0.00037068538568053866,0,2104
group_aoiyear,1,2,ridge30,0.06,540,0.09097936645018842,0.09069029969892455,0.00028906675126387504,0,2104
group_aoiyear,1,2,ridge30,0.08,540,0.09099627492056928,0.09069029969892455,0.00030597522164473034,0,2104
group_aoiyear,1,3,ridge30,0.02,536,0.06842831303003949,0.06819689364449892,0.0002314193855405683,0,2108
group_aoiyear,1,3,ridge30,0.04,536,0.0689938103674911,0.06819689364449892,0.0007969167229921748,0,2108
group_aoiyear,1,3,ridge30,0.06,536,0.06906938230562365,0.06819689364449892,0.000872488661124729,0,2108
group_aoiyear,1,3,ridge30,0.08,536,0.06908929763610351,0.06819689364449892,0.00089240399160459,0,2108
group_aoiyear,1,1,ridge100,0.02,532,0.06521182921915267,0.06564734417311302,-0.0004355149539603531,1,2112
group_aoiyear,1,1,ridge100,0.04,532,0.06516410737403866,0.06564734417311302,-0.00048323679907436023,1,2112
group_aoiyear,1,1,ridge100,0.06,532,0.06512434231829971,0.06564734417311302,-0.0005230018548133125,1,2112
group_aoiyear,1,1,ridge100,0.08,532,0.06510166362938355,0.06564734417311302,-0.000545680543729471,1,2112
group_aoiyear,1,2,ridge100,0.02,540,0.09085351504723742,0.09069029969892455,0.00016321534831287288,0,2104
group_aoiyear,1,2,ridge100,0.04,540,0.090879595228933,0.09069029969892455,0.00018929553000845978,0,2104
group_aoiyear,1,2,ridge100,0.06,540,0.09084538153688575,0.09069029969892455,0.00015508183796120178,0,2104
group_aoiyear,1,2,ridge100,0.08,540,0.09084558502806463,0.09069029969892455,0.0001552853291400813,0,2104
group_aoiyear,1,3,ridge100,0.02,536,0.06831032058902589,0.06819689364449892,0.00011342694452697033,0,2108
group_aoiyear,1,3,ridge100,0.04,536,0.06884753516530405,0.06819689364449892,0.0006506415208051286,0,2108
group_aoiyear,1,3,ridge100,0.06,536,0.06891314822469151,0.06819689364449892,0.0007162545801925879,0,2108
group_aoiyear,1,3,ridge100,0.08,536,0.06891541747095946,0.06819689364449892,0.0007185238264605376,0,2108
group_aoiyear,1,1,hgb8,0.02,532,0.06574582426215383,0.06564734417311302,9.84800890408144e-05,0,2112
group_aoiyear,1,1,hgb8,0.04,532,0.06575000547204922,0.06564734417311302,0.00010266129893619913,0,2112
group_aoiyear,1,1,hgb8,0.06,532,0.06575000547204922,0.06564734417311302,0.00010266129893619913,0,2112
group_aoiyear,1,1,hgb8,0.08,532,0.06575000547204922,0.06564734417311302,0.00010266129893619913,0,2112
group_aoiyear,1,2,hgb8,0.02,540,0.09079347004645057,0.09069029969892455,0.0001031703475260215,0,2104
group_aoiyear,1,2,hgb8,0.04,540,0.09070004168017765,0.09069029969892455,9.741981253100218e-06,0,2104
group_aoiyear,1,2,hgb8,0.06,540,0.09070004168017765,0.09069029969892455,9.741981253100218e-06,0,2104
group_aoiyear,1,2,hgb8,0.08,540,0.09070004168017765,0.09069029969892455,9.741981253100218e-06,0,2104
group_aoiyear,1,3,hgb8,0.02,536,0.06881602890140343,0.06819689364449892,0.0006191352569045044,0,2108
group_aoiyear,1,3,hgb8,0.04,536,0.06881090987386061,0.06819689364449892,0.0006140162293616913,0,2108
group_aoiyear,1,3,hgb8,0.06,536,0.06880671916424642,0.06819689364449892,0.0006098255197475033,0,2108
group_aoiyear,1,3,hgb8,0.08,536,0.06880671916424642,0.06819689364449892,0.0006098255197475033,0,2108
group_aoiyear,1,1,hgb16,0.02,532,0.06572828476957564,0.06564734417311302,8.094059646261698e-05,0,2112
group_aoiyear,1,1,hgb16,0.04,532,0.06581223392859362,0.06564734417311302,0.00016488975548059615,0,2112
group_aoiyear,1,1,hgb16,0.06,532,0.06581418533796672,0.06564734417311302,0.00016684116485370104,0,2112
group_aoiyear,1,1,hgb16,0.08,532,0.06581418533796672,0.06564734417311302,0.00016684116485370104,0,2112
group_aoiyear,1,2,hgb16,0.02,540,0.09090776305828051,0.09069029969892455,0.00021746335935596273,0,2104
group_aoiyear,1,2,hgb16,0.04,540,0.09077296733604943,0.09069029969892455,8.266763712488912e-05,0,2104
group_aoiyear,1,2,hgb16,0.06,540,0.09077288015361491,0.09069029969892455,8.258045469036746e-05,0,2104
group_aoiyear,1,2,hgb16,0.08,540,0.09077288015361491,0.09069029969892455,8.258045469036746e-05,0,2104
group_aoiyear,1,3,hgb16,0.02,536,0.06893842923520234,0.06819689364449892,0.0007415355907034182,0,2108
group_aoiyear,1,3,hgb16,0.04,536,0.06897072026632739,0.06819689364449892,0.000773826621828469,0,2108
group_aoiyear,1,3,hgb16,0.06,536,0.0689647581776302,0.06819689364449892,0.0007678645331312822,0,2108
group_aoiyear,1,3,hgb16,0.08,536,0.0689647581776302,0.06819689364449892,0.0007678645331312822,0,2108
group_aoiyear,2,1,ridge30,0.02,537,0.08692027246231726,0.0861174477993536,0.0008028246629636637,0,2107
group_aoiyear,2,1,ridge30,0.04,537,0.08733772326637236,0.0861174477993536,0.0012202754670187638,0,2107
group_aoiyear,2,1,ridge30,0.06,537,0.08744586133764762,0.0861174477993536,0.001328413538294021,0,2107
group_aoiyear,2,1,ridge30,0.08,537,0.08749388699147818,0.0861174477993536,0.0013764391921245872,0,2107
group_aoiyear,2,2,ridge30,0.02,535,0.06586268193254474,0.06637313009396066,-0.000510448161415919,1,2109
group_aoiyear,2,2,ridge30,0.04,535,0.06584895387115336,0.06637313009396066,-0.0005241762228073016,1,2109
group_aoiyear,2,2,ridge30,0.06,535,0.06582513620215362,0.06637313009396066,-0.0005479938918070415,1,2109
group_aoiyear,2,2,ridge30,0.08,535,0.06578050316283077,0.06637313009396066,-0.0005926269311298943,1,2109
group_aoiyear,2,3,ridge30,0.02,507,0.06583977468364369,0.06568027664827263,0.00015949803537106122,0,2137
group_aoiyear,2,3,ridge30,0.04,507,0.06586368714018594,0.06568027664827263,0.0001834104919133106,0,2137
group_aoiyear,2,3,ridge30,0.06,507,0.06581821955569607,0.06568027664827263,0.00013794290742344395,0,2137
