a,b,w_b,rmse,mae
lag_k12_d2,lag_k16_d3,0.6000000000000001,0.06775021621106304,0.048239695046245715
lag_k16_d3,lag_k24_d2,0.45,0.06776076565949701,0.04825422151791499
base_k6,hgb,0.2,0.06776877677658749,0.04788903765468978
lag_k12_d2,lag_k16_d3,0.55,0.06778201451764744,0.04825288293553951
base_k8,hgb,0.2,0.06778613785731963,0.048126780319383715
base_k8,lag_k16_d3,0.7000000000000001,0.06780473738149763,0.048466023899031443
base_k12,lag_k16_d3,0.75,0.06780962576239707,0.04855610732024343
lag_k12_d2,lag_k16_d3,0.5,0.06781677623496153,0.04826728708531154
base_k6,lag_k16_d3,0.65,0.06781959718155185,0.04839190389378945
lag_k16_d3,lag_k24_d2,0.5,0.06783323416413377,0.0482882425858377
lag_k12_d2,lag_k16_d3,0.45,0.06785449680855804,0.04828675509977114
lag_k12_d2,lag_k24_d2,0.35000000000000003,0.06788473254917228,0.048319870938077616
lag_k12_d2,lag_k24_d2,0.4,0.06788603330857344,0.048319653912139694
lag_k12_d2,lag_k16_d3,0.4,0.06789517130687485,0.04831194185998141
base_k8,lag_k16_d3,0.65,0.06789662079306853,0.048559285577965586
lag_k12_d2,lag_k24_d2,0.30000000000000004,0.06789957313296745,0.04832719481091964
lag_k12_d2,lag_k24_d2,0.45,0.06790347448355995,0.04832685676401098
base_k12,lag_k16_d3,0.7000000000000001,0.06791455273186771,0.04867783326792076
lag_k16_d3,lag_k24_d2,0.55,0.06791659911514052,0.048325025485546104
base_k6,lag_k16_d3,0.6000000000000001,0.06792349055356008,0.04847999201942656
lag_k12_d2,lag_k24_d2,0.25,0.06793054448090625,0.04834064767536811
lag_k12_d2,lag_k24_d2,0.5,0.06793704364316165,0.04834733117458466
lag_k12_d2,lag_k16_d3,0.35000000000000003,0.0679387944244277,0.04833854802306285
lag_k12_d2,lag_k24_d2,0.2,0.06797762454493544,0.04836708168809363
lag_k12_d2,lag_k16_d3,0.30000000000000004,0.06798536048523174,0.04836789731716276
lag_k12_d2,lag_k24_d2,0.55,0.06798671689729449,0.04837539632782837
base_k8,lag_k16_d3,0.6000000000000001,0.06800500769064598,0.04866303577985877
lag_k16_d3,lag_k24_d2,0.6000000000000001,0.06801082044324107,0.04837487705858439
lag_k12_d2,lag_k16_d3,0.25,0.06803486344644685,0.04840035239238709
base_k12,lag_k16_d3,0.65,0.06804049321989153,0.04882218108658507
lag_k12_d2,lag_k24_d2,0.15000000000000002,0.06804077988632021,0.048405387646663044
base_k6,lag_k16_d3,0.55,0.06804543463807937,0.04857543487426016
lag_k12_d2,lag_k24_d2,0.6000000000000001,0.06805245898157923,0.04841267282730231
lag_k12_d2,lag_k16_d3,0.2,0.06808729690224107,0.048434936646268974
lag_k16_d3,lag_k24_d2,0.65,0.06811585309716393,0.0484307186962765
lag_k12_d2,lag_k24_d2,0.1,0.06811996579397103,0.048450828990014155
base_k12,lag_k12_d2,0.8,0.0681284872847817,0.048664230350862134
base_k8,lag_k16_d3,0.55,0.0681298193086924,0.04877159718197494
lag_k12_d2,lag_k24_d2,0.65,0.06813422338203334,0.04845663332917602
base_k12,lag_k12_d2,0.8500000000000001,0.06813803080508943,0.04861408053968434
lag_k12_d2,lag_k16_d3,0.15000000000000002,0.06814265408786688,0.048471739443992315
base_k12,lag_k12_d2,0.75,0.06814557727196327,0.0487340221939397
base_k6,lag_k12_d2,0.8,0.06816230282565618,0.048553299581198445
base_k8,lag_k12_d2,0.8,0.06816651483591693,0.04860904552918127
base_k6,lag_k12_d2,0.75,0.06816935939346974,0.04858746540593195
base_k12,lag_k12_d2,0.9,0.0681741966478306,0.04858224530402931
base_k6,lag_k12_d2,0.8500000000000001,0.06817447650799273,0.048533913396787705
base_k8,lag_k12_d2,0.75,0.06817449141023273,0.04865573469694113
base_k8,lag_k12_d2,0.8500000000000001,0.06817771441864547,0.048573541122042735
base_k6,lag_k16_d3,0.5,0.06818533258835549,0.04867847116029209
base_k12,lag_k16_d3,0.6000000000000001,0.06818733079205948,0.04897257441300164
