radius,method,pred,seed,n,rmse
1,median,bucket_0.01_0.05,0,2644,0.06958916714891612
1,median,bucket_0.01_0.05,1,2644,0.06180502489502042
1,median,bucket_0.01_0.05,2,2644,0.06420858702838471
1,median,bucket_0.01_0.05,70404,2644,0.06712137415502026
1,median,bucket_0.01_0.05,-1,10576,0.06574673908908668
1,median,bucket_0.02_0,0,2644,0.06964014679247056
1,median,bucket_0.02_0,1,2644,0.0619390901299564
1,median,bucket_0.02_0,2,2644,0.06429008954788813
1,median,bucket_0.02_0,70404,2644,0.06715937261236124
1,median,bucket_0.02_0,-1,10576,0.06582134508494407
1,median,bucket_0.02_0.005,0,2644,0.06964014679247056
1,median,bucket_0.02_0.005,1,2644,0.0619390901299564
1,median,bucket_0.02_0.005,2,2644,0.06429008954788813
1,median,bucket_0.02_0.005,70404,2644,0.06715937261236124
1,median,bucket_0.02_0.005,-1,10576,0.06582134508494407
1,median,bucket_0.02_0.01,0,2644,0.06964014679247056
1,median,bucket_0.02_0.01,1,2644,0.0619390901299564
1,median,bucket_0.02_0.01,2,2644,0.06429008954788813
1,median,bucket_0.02_0.01,70404,2644,0.06715937261236124
1,median,bucket_0.02_0.01,-1,10576,0.06582134508494407
1,median,bucket_0.02_0.02,0,2644,0.06964014679247056
1,median,bucket_0.02_0.02,1,2644,0.0619390901299564
1,median,bucket_0.02_0.02,2,2644,0.06429008954788813
1,median,bucket_0.02_0.02,70404,2644,0.06715937261236124
1,median,bucket_0.02_0.02,-1,10576,0.06582134508494407
1,median,bucket_0.02_0.03,0,2644,0.06964014679247056
1,median,bucket_0.02_0.03,1,2644,0.0619390901299564
1,median,bucket_0.02_0.03,2,2644,0.06429008954788813
1,median,bucket_0.02_0.03,70404,2644,0.06715937261236124
1,median,bucket_0.02_0.03,-1,10576,0.06582134508494407
1,median,bucket_0.02_0.05,0,2644,0.06964014679247056
1,median,bucket_0.02_0.05,1,2644,0.0619390901299564
1,median,bucket_0.02_0.05,2,2644,0.06429008954788813
1,median,bucket_0.02_0.05,70404,2644,0.06715937261236124
1,median,bucket_0.02_0.05,-1,10576,0.06582134508494407
1,median,bucket_0.03_0,0,2644,0.06973587812773467
1,median,bucket_0.03_0,1,2644,0.06212484006168594
1,median,bucket_0.03_0,2,2644,0.06442400768368764
1,median,bucket_0.03_0,70404,2644,0.06724915924586489
1,median,bucket_0.03_0,-1,10576,0.06594598288796645
1,median,bucket_0.03_0.005,0,2644,0.06973587812773467
1,median,bucket_0.03_0.005,1,2644,0.06212484006168594
1,median,bucket_0.03_0.005,2,2644,0.06442400768368764
1,median,bucket_0.03_0.005,70404,2644,0.06724915924586489
1,median,bucket_0.03_0.005,-1,10576,0.06594598288796645
1,median,bucket_0.03_0.01,0,2644,0.06973587812773467
1,median,bucket_0.03_0.01,1,2644,0.06212484006168594
1,median,bucket_0.03_0.01,2,2644,0.06442400768368764
1,median,bucket_0.03_0.01,70404,2644,0.06724915924586489
1,median,bucket_0.03_0.01,-1,10576,0.06594598288796645
1,median,bucket_0.03_0.02,0,2644,0.06973587812773467
1,median,bucket_0.03_0.02,1,2644,0.06212484006168594
1,median,bucket_0.03_0.02,2,2644,0.06442400768368764
1,median,bucket_0.03_0.02,70404,2644,0.06724915924586489
1,median,bucket_0.03_0.02,-1,10576,0.06594598288796645
1,median,bucket_0.03_0.03,0,2644,0.06973587812773467
1,median,bucket_0.03_0.03,1,2644,0.06212484006168594
