method,n,rmse,mae
hgb+doy8_ridge*0.05,2644,0.07211110989593231,0.04379218569468321
hgb+doy16_ridge*0.05,2644,0.07212106645683235,0.04380236891836844
hgb+doy16_none*0.05,2644,0.07212590199608117,0.04381252476274511
hgb+season24_mean*0.05,2644,0.07212661460368285,0.04451099625116455
hgb+season24_trim*0.05,2644,0.07212977324194386,0.044516123586098945
hgb+season16_mean*0.05,2644,0.0721518352299221,0.04454974221752887
joint40+date0_none*0.3,2644,0.07216096012875234,0.043589236674130484
hgb+season16_trim*0.05,2644,0.07216116955733289,0.0445606086715157
hgb+season24_median*0.05,2644,0.07216442615306254,0.044541260291847413
hgb+season8_mean*0.05,2644,0.07216789199717444,0.04459957091446651
hgb+date0_ridge*0.2,2644,0.07217177342390867,0.04360589076096918
hgb+season8_trim*0.05,2644,0.07217249153651369,0.0446086716728774
hgb+season16_median*0.05,2644,0.07219306717810009,0.044587323226503356
hgb+season8_median*0.05,2644,0.0722027322053036,0.04462991673619011
joint40+date0_ridge*0.3,2644,0.0722741478386509,0.04374057284220806
hgb+year_doy8_ridge*0.1,2644,0.07236948203997841,0.04396618780500053
hgb+year_doy8_none*0.1,2644,0.07237607437826739,0.04395413568860202
joint40+year_doy8_ridge*0.2,2644,0.07239406446273579,0.04403332641917324
hgb+doy8_none*0.1,2644,0.07242443680768035,0.04402809336559058
hgb+doy8_ridge*0.1,2644,0.07242927015512922,0.04402582969369533
joint40+year_doy8_none*0.2,2644,0.07243198925317734,0.04403046720578381
hgb+doy16_ridge*0.1,2644,0.0724513739355909,0.044043979667271506
hgb+doy16_none*0.1,2644,0.07245869629372709,0.044064534681384174
joint40+doy8_none*0.2,2644,0.07251713209632983,0.04423047781225373
joint40+doy8_ridge*0.2,2644,0.07252212944551625,0.04418018098134746
joint40+doy16_none*0.2,2644,0.07256281332411034,0.04419868368957459
joint40+doy16_ridge*0.2,2644,0.07256408528097388,0.044193389002015776
hgb+date0_none*0.3,2644,0.07263107348480931,0.04373397633279832
ext40+date0_none*0.4,2644,0.07267054261823905,0.04368130531273786
hgb+year_doy8_ridge*0.15,2644,0.0727758824245833,0.04429271317579608
hgb+year_doy8_none*0.15,2644,0.07278416772181388,0.044281702889818135
joint40+season24_mean*0.1,2644,0.0727894442731745,0.04601144856158221
joint40+season16_mean*0.1,2644,0.07279397163171916,0.046071324785932705
joint40+season24_trim*0.1,2644,0.07280005181683756,0.0460063450046518
joint40+season16_trim*0.1,2644,0.07281894697687473,0.04607686271249868
joint40+season8_mean*0.1,2644,0.07283926382240057,0.04611428867854083
joint40+season8_trim*0.1,2644,0.07285665502194616,0.04612230651664946
joint40+season24_median*0.1,2644,0.07285959993168384,0.046031823045092776
hgb+doy8_none*0.15,2644,0.07285989376575791,0.04439202949854335
ext40+date0_ridge*0.4,2644,0.07286124547773204,0.04398798239425922
hgb+doy8_ridge*0.15,2644,0.0728702066129041,0.04438680245509562
hgb+date0_ridge*0.3,2644,0.0728762120083955,0.0440266407752913
joint40+season16_median*0.1,2644,0.07288009944334312,0.04611519628326672
hgb+doy16_ridge*0.15,2644,0.072906557128388,0.0444159636232492
hgb+doy16_none*0.15,2644,0.07291403696804721,0.04444801912503578
joint40+season8_median*0.1,2644,0.07291597617532762,0.04615810091650895
hgb+season24_mean*0.1,2644,0.07307100236297905,0.046042519313662794
hgb+season24_trim*0.1,2644,0.07308215953639495,0.04604956409851015
hgb+season16_mean*0.1,2644,0.07312027220101135,0.04614571624860556
hgb+season16_trim*0.1,2644,0.07314522184912985,0.046162836586023284
hgb+season24_median*0.1,2644,0.07315976904548542,0.046100236513046844
hgb+season8_mean*0.1,2644,0.07318998856485455,0.04624727492341518
hgb+season8_trim*0.1,2644,0.0732054013988167,0.04627112003833932
hgb+season16_median*0.1,2644,0.07322031808874234,0.04622176275219522
ext40+year_doy8_ridge*0.3,2644,0.07326535314433297,0.04470041546691942
hgb+season8_median*0.1,2644,0.07327798845339158,0.046323732340738485
ext40+year_doy8_none*0.3,2644,0.07329211117350126,0.044688443502696226
hgb+year_doy8_ridge*0.2,2644,0.0733000384594455,0.04472114835509732
hgb+year_doy8_none*0.2,2644,0.0733089574123768,0.044711343509783105
joint40+date0_none*0.4,2644,0.07334739674505633,0.04447532985530656
hgb+doy8_none*0.2,2644,0.07341395115477042,0.04487422963724537
ext40+doy8_none*0.3,2644,0.07342946933307504,0.04498901233955153
hgb+doy8_ridge*0.2,2644,0.07343170759441145,0.04486365012496539
joint40+date0_ridge*0.4,2644,0.07345431592527697,0.044641418801012404
ext40+doy8_ridge*0.3,2644,0.07346900348971894,0.04495428555860661
hgb+doy16_ridge*0.2,2644,0.07348429552190781,0.04490408402346004
hgb+doy16_none*0.2,2644,0.07348964616816324,0.04494282777316883
ext40+doy16_none*0.3,2644,0.07353545459446553,0.04498510832968618
ext40+doy16_ridge*0.3,2644,0.07355331169510929,0.04500121937865594
ext40+season24_mean*0.15,2644,0.07362140456079155,0.04717777332633684
ext40+season24_trim*0.15,2644,0.07364749865294913,0.04718082162432358
ext40+season16_mean*0.15,2644,0.07369285648405266,0.04725100788079203
hgb+date0_none*0.4,2644,0.07369695424652588,0.044488034479506215
ext40+season16_trim*0.15,2644,0.07374014923536307,0.04726435402526485
ext40+season24_median*0.15,2644,0.07376102374988128,0.047231563864937355
ext40+season8_mean*0.15,2644,0.07378507465511948,0.0472887206769354
ext40+season8_trim*0.15,2644,0.07381937453861773,0.047313277325437574
joint40+year_doy8_ridge*0.3,2644,0.07383569686705682,0.04525171634721409
ext40+season16_median*0.15,2644,0.07386453106605478,0.04735459556050653
joint40+year_doy8_none*0.3,2644,0.0738800580195097,0.04522157685181774
ext40+season8_median*0.15,2644,0.07394336772042658,0.047397186177186426
hgb+date0_ridge*0.4,2644,0.0739528113869282,0.04480182939886365
joint40+doy8_none*0.3,2644,0.07402329523279828,0.04556064790931254
joint40+doy8_ridge*0.3,2644,0.07404525136630821,0.04550537026856954
joint40+doy16_none*0.3,2644,0.07410816860671511,0.04552156941138976
joint40+doy16_ridge*0.3,2644,0.07412232542410273,0.04553328560132492
ext40+date0_none*0.5,2644,0.07434981268386406,0.045063982854641964
ext40+date0_ridge*0.5,2644,0.07451474426344822,0.04534773625069658
hgb+year_doy8_ridge*0.3,2644,0.07469114485484357,0.04594371817047579
hgb+year_doy8_none*0.3,2644,0.07469824148469945,0.04590599747992612
joint40+season24_mean*0.15,2644,0.07470862249659961,0.04831429236047476
joint40+season16_mean*0.15,2644,0.07471813768570641,0.04838477454675552
hgb+season24_mean*0.15,2644,0.07472265087568702,0.04810871711406159
