method,n,rmse,mae
joint40+season24_median*0.4,2644,0.0929027161680179,0.0638849207927579
hgb+season8_trim*0.4,2644,0.09295912283053964,0.06358466627012846
joint40+season16_median*0.4,2644,0.09308575130704487,0.0638276275877574
ext40+season8_median*0.4,2644,0.09323925780654638,0.06350521684783902
joint40+season8_mean*0.4,2644,0.093332962919753,0.06394395106516379
hgb+season8_median*0.4,2644,0.09343205390397197,0.06386805608159257
joint40+season8_trim*0.4,2644,0.09350450787176398,0.06395981670270555
joint40+season8_median*0.4,2644,0.09394652084617236,0.06423358753564667
hgb+season24_mean*0.5,2644,0.10142803142367454,0.07051933345130545
ext40+season24_mean*0.5,2644,0.10152316697291189,0.07037579255022491
hgb+season16_mean*0.5,2644,0.10159069371132787,0.0704029830070639
hgb+season24_trim*0.5,2644,0.10160990496287738,0.07050711358012454
ext40+season16_mean*0.5,2644,0.10168407470751459,0.07022980819100402
ext40+season24_trim*0.5,2644,0.10170793419415873,0.07035471994704572
hgb+season16_trim*0.5,2644,0.1018681556190292,0.07039255966159888
ext40+season16_trim*0.5,2644,0.10196191604724271,0.07022609308559762
hgb+season24_median*0.5,2644,0.10215329193958823,0.07085581713990226
joint40+season24_mean*0.5,2644,0.10216403643697244,0.0709904655278955
ext40+season24_median*0.5,2644,0.10222861011592613,0.07066529624928759
joint40+season16_mean*0.5,2644,0.10223667078555136,0.0708184234092695
joint40+season24_trim*0.5,2644,0.10234343076768775,0.0709276322387169
hgb+season16_median*0.5,2644,0.10248597059051118,0.07072965492584765
joint40+season16_trim*0.5,2644,0.10251221440037032,0.07076231736979041
ext40+season16_median*0.5,2644,0.1025715058132432,0.07057616750755095
joint40+season24_median*0.5,2644,0.10284681199299385,0.07120688032026705
ext40+season8_mean*0.5,2644,0.1029250851112574,0.07071163439676742
hgb+season8_mean*0.5,2644,0.10292858815197095,0.07090908525521349
joint40+season16_median*0.5,2644,0.10309813185026268,0.07105989058316904
ext40+season8_trim*0.5,2644,0.10316277130335656,0.07072103832986384
hgb+season8_trim*0.5,2644,0.10316355398055427,0.07094887415574988
joint40+season8_mean*0.5,2644,0.10351787515749619,0.07127749712019257
joint40+season8_trim*0.5,2644,0.10375522062718068,0.07127872605924677
ext40+season8_median*0.5,2644,0.10378253308659019,0.0710533989317808
hgb+season8_median*0.5,2644,0.10378783409289914,0.07129897540050864
joint40+season8_median*0.5,2644,0.10434953977364103,0.07158586508460128
