lag_weight,method,alpha,cap,baseline_rmse_exact,baseline_rmse_random,baseline_rmse_random2025,delta_rmse_exact,delta_rmse_random,delta_rmse_random2025,folds_exact,folds_random,folds_random2025,rmse_exact,rmse_random,rmse_random2025,wins_exact,wins_random,wins_random2025,worst_delta,mean_delta
0.325000000,source_year_doy,100.000000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000176695,0.000064823,0.000108573,6,3,3,0.061974754,0.071420220,0.061598460,2,0,0,0.000176695,0.000116697
0.325000000,source,100.000000000,0.020000000,0.061798059,0.071355396,0.061489887,0.000177076,0.000013219,0.000045128,6,3,3,0.061975135,0.071368615,0.061535015,2,2,0,0.000177076,0.000078474
0.325000000,source,100.000000000,0.040000000,0.061798059,0.071355396,0.061489887,0.000177076,0.000013219,0.000045128,6,3,3,0.061975135,0.071368615,0.061535015,2,2,0,0.000177076,0.000078474
0.300000000,source_year_doy,100.000000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000177707,0.000066737,0.000105017,6,3,3,0.061978865,0.071335042,0.061618390,2,0,0,0.000177707,0.000116487
0.300000000,source,100.000000000,0.020000000,0.061801158,0.071268305,0.061513373,0.000178038,0.000015422,0.000043675,6,3,3,0.061979195,0.071283727,0.061557048,2,2,0,0.000178038,0.000079045
0.300000000,source,100.000000000,0.040000000,0.061801158,0.071268305,0.061513373,0.000178038,0.000015422,0.000043675,6,3,3,0.061979195,0.071283727,0.061557048,2,2,0,0.000178038,0.000079045
0.350000000,source_year_doy,100.000000000,0.020000000,0.061807288,0.071430462,0.061470550,0.000178215,0.000061191,0.000104977,6,3,3,0.061985502,0.071491653,0.061575527,2,0,1,0.000178215,0.000114794
0.350000000,source_year_doy,100.000000000,0.040000000,0.061807288,0.071430462,0.061470550,0.000178215,0.000061191,0.000104977,6,3,3,0.061985502,0.071491653,0.061575527,2,0,1,0.000178215,0.000114794
0.350000000,source_year,100.000000000,0.020000000,0.061807288,0.071430462,0.061470550,0.000178286,0.000041166,0.000075373,6,3,3,0.061985573,0.071471628,0.061545923,2,1,0,0.000178286,0.000098275
0.350000000,source_year,100.000000000,0.040000000,0.061807288,0.071430462,0.061470550,0.000178286,0.000041166,0.000075373,6,3,3,0.061985573,0.071471628,0.061545923,2,1,0,0.000178286,0.000098275
0.325000000,source_year,100.000000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000181391,0.000044744,0.000078681,6,3,3,0.061979450,0.071400140,0.061568568,2,1,0,0.000181391,0.000101606
0.400000000,source,0.100000000,0.040000000,0.061853690,0.071666238,0.061472745,0.000181890,0.000011458,0.000043935,6,3,3,0.062035580,0.071677696,0.061516681,1,1,1,0.000181890,0.000079095
0.400000000,source_year,1.000000000,0.020000000,0.061853690,0.071666238,0.061472745,0.000181958,0.000060129,0.000096042,6,3,3,0.062035647,0.071726367,0.061568788,2,1,0,0.000181958,0.000112710
0.300000000,source_year,100.000000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000182588,0.000046899,0.000075833,6,3,3,0.061983746,0.071315204,0.061589206,2,1,0,0.000182588,0.000101773
0.325000000,source_year,100.000000000,0.020000000,0.061798059,0.071355396,0.061489887,0.000186445,0.000044744,0.000078681,6,3,3,0.061984504,0.071400140,0.061568568,2,1,0,0.000186445,0.000103290
0.325000000,source_year,100.000000000,0.040000000,0.061798059,0.071355396,0.061489887,0.000186445,0.000044744,0.000078681,6,3,3,0.061984504,0.071400140,0.061568568,2,1,0,0.000186445,0.000103290
0.400000000,source_year,10.000000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000187368,0.000041399,0.000090944,6,3,3,0.062041058,0.071707637,0.061563689,2,1,0,0.000187368,0.000106571
0.325000000,source_year_doy,100.000000000,0.020000000,0.061798059,0.071355396,0.061489887,0.000187593,0.000065050,0.000108573,6,3,3,0.061985653,0.071420446,0.061598460,2,0,0,0.000187593,0.000120406
0.325000000,source_year_doy,100.000000000,0.040000000,0.061798059,0.071355396,0.061489887,0.000187593,0.000065050,0.000108573,6,3,3,0.061985653,0.071420446,0.061598460,2,0,0,0.000187593,0.000120406
0.300000000,source_year,100.000000000,0.020000000,0.061801158,0.071268305,0.061513373,0.000187660,0.000046899,0.000075833,6,3,3,0.061988818,0.071315204,0.061589206,2,1,0,0.000187660,0.000103464
0.300000000,source_year,100.000000000,0.040000000,0.061801158,0.071268305,0.061513373,0.000187660,0.000046899,0.000075833,6,3,3,0.061988818,0.071315204,0.061589206,2,1,0,0.000187660,0.000103464
0.300000000,source_year_doy,100.000000000,0.020000000,0.061801158,0.071268305,0.061513373,0.000188690,0.000066941,0.000105017,6,3,3,0.061989848,0.071335247,0.061618390,2,0,0,0.000188690,0.000120216
0.300000000,source_year_doy,100.000000000,0.040000000,0.061801158,0.071268305,0.061513373,0.000188690,0.000066941,0.000105017,6,3,3,0.061989848,0.071335247,0.061618390,2,0,0,0.000188690,0.000120216
0.350000000,source_year_doy,1.000000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000188695,0.000068866,0.000103955,6,3,3,0.061995983,0.071499328,0.061574505,1,0,1,0.000188695,0.000120505
0.325000000,source,0.010000000,0.040000000,0.061798059,0.071355396,0.061489887,0.000189208,0.000027696,0.000044658,6,3,3,0.061987267,0.071383092,0.061534545,1,1,0,0.000189208,0.000087187
0.400000000,source,10.000000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000190167,-0.000003313,0.000042193,6,3,3,0.062043857,0.071662925,0.061514939,2,1,1,0.000190167,0.000076349
0.400000000,source_year_doy,1.000000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000190282,0.000060406,0.000113091,6,3,3,0.062043972,0.071726644,0.061585836,1,1,1,0.000190282,0.000121260
0.350000000,source,0.010000000,0.040000000,0.061807288,0.071430462,0.061470550,0.000190835,0.000019698,0.000039932,6,3,3,0.061998123,0.071450160,0.061510482,1,1,1,0.000190835,0.000083489
0.400000000,source_year,0.100000000,0.020000000,0.061853690,0.071666238,0.061472745,0.000191124,0.000062870,0.000097188,6,3,3,0.062044813,0.071729108,0.061569933,2,1,0,0.000191124,0.000117060
0.350000000,source_year,1.000000000,0.020000000,0.061807288,0.071430462,0.061470550,0.000192044,0.000068314,0.000089218,6,3,3,0.061999331,0.071498776,0.061559768,2,1,0,0.000192044,0.000116525
0.350000000,source_year,10.000000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000192154,0.000049480,0.000083960,6,3,3,0.061999442,0.071479942,0.061554509,2,1,0,0.000192154,0.000108531
0.350000000,source,10.000000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000193660,0.000004315,0.000038310,6,3,3,0.062000947,0.071434777,0.061508860,2,1,1,0.000193660,0.000078762
