protocol,partition,kind,scale,n,rmse,mae,corr_abs
exact,exact2020,median,0.5,222,0.055039616512151904,0.0376361389119286,0.004836408600214189
exact,exact2021,median,0.5,130,0.07690620403699121,0.056532382503811006,0.004324155973628224
exact,exact2022,median,0.5,192,0.06666373338226586,0.04771092718645755,0.0031492845433334867
exact,exact2023,median,0.5,169,0.07059889115417196,0.044609586641584174,0.00452003262182821
exact,exact2024,median,0.5,152,0.05030402480620971,0.035036141582283416,0.004240073670715497
exact,exact2019,median,0.75,249,0.05710248428303176,0.03917060553359965,0.006940331310529903
exact,exact2020,median,0.75,222,0.055084445082698906,0.037979179534294284,0.007254612900321283
exact,exact2021,median,0.75,130,0.07684436190181236,0.05649006758394645,0.006486233960442336
exact,exact2022,median,0.75,192,0.06677449371052874,0.047807870171236944,0.004723926815000231
exact,exact2023,median,0.75,169,0.0705882395689496,0.04462125540737969,0.006780048932742316
exact,exact2024,median,0.75,152,0.050020443702819696,0.03499910935470486,0.006360110506073246
exact,exact2019,median,1.0,249,0.057276802486771736,0.03932073587623706,0.009253775080706536
exact,exact2020,median,1.0,222,0.05524946808688664,0.0384245704108155,0.009672817200428377
exact,exact2021,median,1.0,130,0.07684706703252878,0.05655151968150404,0.008648311947256447
exact,exact2022,median,1.0,192,0.06693690857509055,0.04790816812891905,0.0062985690866669735
exact,exact2023,median,1.0,169,0.07065673109035263,0.04475395366974207,0.00904006524365642
exact,exact2024,median,1.0,152,0.049833621428934785,0.035009696116098867,0.008480147341430993
exact,exact2019,doy,0.25,249,0.057071715262212795,0.039173376154868524,0.00316922844526056
exact,exact2020,doy,0.25,222,0.05513234161366856,0.037559328957363206,0.0035490686994766674
exact,exact2021,doy,0.25,130,0.07674849471006734,0.05638530131055248,0.002741879974701235
exact,exact2022,doy,0.25,192,0.06640098280720358,0.04753071500410779,0.002149283218733384
exact,exact2023,doy,0.25,169,0.07066482537069459,0.04460592311743484,0.0028838976729640958
exact,exact2024,doy,0.25,152,0.05054850749480377,0.03506006077498165,0.002428117951757
exact,exact2019,doy,0.5,249,0.057176561436391604,0.039237748864489115,0.00633845689052112
exact,exact2020,doy,0.5,222,0.05523845836294213,0.03802783219125083,0.007098137398953335
exact,exact2021,doy,0.5,130,0.07638474690773774,0.05607749747552307,0.00548375994940247
exact,exact2022,doy,0.5,192,0.06631373746618505,0.04746049221520162,0.004298566437466768
exact,exact2023,doy,0.5,169,0.07062131777648328,0.044460982114646434,0.0057677953459281915
exact,exact2024,doy,0.5,152,0.050093246055510215,0.034817477468364035,0.004856235903514
exact,exact2019,doy,0.75,249,0.057494422890622184,0.03956258037966482,0.00950768533578168
exact,exact2020,doy,0.75,222,0.05562764903763178,0.0388832355344198,0.010647206098430003
exact,exact2021,doy,0.75,130,0.07613308848130299,0.0558636247448881,0.008225639924103703
exact,exact2022,doy,0.75,192,0.06633678447193705,0.04741118732011957,0.006447849656200151
exact,exact2023,doy,0.75,169,0.07072696765885256,0.044551174892425355,0.008651693018892289
exact,exact2024,doy,0.75,152,0.04979282789570278,0.03464698581367776,0.007284353855271001
exact,exact2019,doy,1.0,249,0.05802179883871063,0.04010493038633522,0.01267691378104224
exact,exact2020,doy,1.0,222,0.05629404282181715,0.040095288817919024,0.01419627479790667
exact,exact2021,doy,1.0,130,0.07599463300055811,0.0557183802161877,0.01096751989880494
exact,exact2022,doy,1.0,192,0.06647000910026184,0.04745359060540616,0.008597132874933536
exact,exact2023,doy,1.0,169,0.0709811089928777,0.045032933285831585,0.011535590691856383
exact,exact2024,doy,1.0,152,0.04965006383049062,0.03462336908820523,0.009712471807028
exact,exact2019,canon,0.25,249,0.05700722432382986,0.0391943921128106,0.0027521435590228153
exact,exact2020,canon,0.25,222,0.05528863658536811,0.037629066034943155,0.0028399443477689673
exact,exact2021,canon,0.25,130,0.07704329183781586,0.056500774775820765,0.00309711594433312
exact,exact2022,canon,0.25,192,0.06641269650673845,0.047399557626683984,0.0021818114203779903
exact,exact2023,canon,0.25,169,0.07054100605323346,0.04484853423707438,0.0033069963384311893
exact,exact2024,canon,0.25,152,0.05015593472282318,0.034621002643555165,0.0029794583441943236
exact,exact2019,canon,0.5,249,0.05702786976735706,0.03919302315676256,0.005504287118045631
exact,exact2020,canon,0.5,222,0.05545131556142556,0.037809630980439844,0.005679888695537935
exact,exact2021,canon,0.5,130,0.0770332638055318,0.056375792533949795,0.00619423188866624
exact,exact2022,canon,0.5,192,0.066340828102855,0.04720022490130895,0.004363622840755981
exact,exact2023,canon,0.5,169,0.07041248197856674,0.044828860925068374,0.006613992676862379
exact,exact2024,canon,0.5,152,0.049406571786879794,0.033884768577847474,0.005958916688388647
exact,exact2019,canon,0.75,249,0.05724278203106592,0.03946597499504909,0.008256430677068443
exact,exact2020,canon,0.75,222,0.05579734717709152,0.038261024393411,0.0085198330433069
exact,exact2021,canon,0.75,130,0.07719272989074516,0.05638825665420063,0.009291347832999362
exact,exact2022,canon,0.75,192,0.06638285053679709,0.047060668120177625,0.006545434261133971
