dataset,partition,method,n,rmse,mae,rmse_2025,mae_2025,n_2025,rmse_shared,mae_shared,n_shared,rmse_new,mae_new,n_new,rmse_S2,mae_S2,n_S2,rmse_L8,mae_L8,n_L8,rmse_MOD,mae_MOD,n_MOD
random_private_like,random2,shock_shock_crop_a1.00,2644,0.06799659186362188,0.04076383344012469,0.07725631339809244,0.03796813531339214,756.0,0.05023055674556564,0.0330023195209191,377,0.07051833578277508,0.04205456601513152,2267.0,0.06277464206993531,0.03763982849488379,1186,0.07401299199462999,0.0414099241621803,1025,0.06686897007863743,0.04779114723908241,433
random_private_like,random2,shock_shock_near_a0.35,2644,0.06835748352308471,0.04103547367649587,0.07742408308252935,0.03840030477431882,756.0,0.050823100036045184,0.03323527692202159,377,0.07085386639106296,0.042332639171174656,2267.0,0.0631760035404004,0.037641215996395666,1186,0.07436567642843027,0.042051791653424965,1025,0.06715355990522306,0.04792661382025225,433
random_private_like,random2,shock_shock_near_a0.60,2644,0.0683248473363336,0.04101157697702581,0.07738913289397044,0.03837397798740905,756.0,0.05075426650185636,0.03321256981049379,377,0.07082535223045189,0.04230854464433176,2267.0,0.06314372280671277,0.037618850037928316,1186,0.07434894446633353,0.04204589935713148,1025,0.06707772495718463,0.047855904252225155,433
random_private_like,random2,shock_shock_near_a1.00,2644,0.06827778782152329,0.040977322067976135,0.07733579677052792,0.03833357547855088,756.0,0.05064746969820337,0.033177368450642356,377,0.0707851250971194,0.04227444712917368,2267.0,0.0630951633963857,0.03758618567502398,1186,0.07432756784135576,0.04204068468464179,1025,0.0669662712070243,0.0477485485805834,433
random_private_like,random2,shock_shock_date_filled_a0.35,2644,0.06818828140343024,0.0408654241699432,0.0773881470258194,0.03830202132403651,756.0,0.05062708960145276,0.03312563983419373,377,0.07068685386951186,0.04215254313535014,2267.0,0.06306487850023274,0.03761855825535364,1186,0.07421010313297402,0.041778140347515536,1025,0.0667956907274476,0.047598100596482625,433
random_private_like,random2,shock_shock_date_filled_a0.60,2644,0.06806904984450803,0.04076140897261728,0.07735765365978398,0.03825426048491409,756.0,0.050462302241439494,0.03310948683503226,377,0.07057232931164105,0.04203391653585925,2267.0,0.06298466970053197,0.03761521202847496,1186,0.07410663915943458,0.04159987453533313,1025,0.06653179324332231,0.04739411653374673,433
random_private_like,random2,shock_shock_date_filled_a1.00,2644,0.06794326475299751,0.040666135390719435,0.07736374387951629,0.03824425348339309,756.0,0.050279353349745266,0.03315801273294064,377,0.0704525743493326,0.041914729233676035,2267.0,0.06291421578081775,0.037668517109725956,1186,0.07398902925196123,0.04138793846648779,1025,0.06623849563588771,0.04716804561842316,433
random_private_like,random2,joint_robust_shock,2644,0.06802888890018574,0.04065831046129802,0.07717516067338173,0.03798139356309619,756.0,0.05022519958612092,0.03279975833395001,377,0.07055529026938027,0.04196518040042911,2267.0,0.06325533633863618,0.0380478016435301,1186,0.0735441270463462,0.04065120515469438,1025,0.06705313704081012,0.04782539220989263,433
exact_hidden_doy,exact2019,hgb,249,0.057749371318698485,0.03972701940527716,,,,0.057749371318698485,0.03972701940527716,249,,,,0.06102478493183751,0.038211240528530394,120,0.059016477013579864,0.04328307198790298,73,0.04804659273399362,0.0383395484530973,56
exact_hidden_doy,exact2019,lagblend20,249,0.05718105612325281,0.039427367948714015,,,,0.05718105612325281,0.039427367948714015,249,,,,0.06061464160081571,0.03885605355275332,120,0.05820691054248676,0.04221849007597963,73,0.04742008404148021,0.03701318602415856,56
exact_hidden_doy,exact2019,interp_blend0.05,249,0.057934730103568616,0.03991193902957657,,,,0.057934730103568616,0.03991193902957657,249,,,,0.06096515725272225,0.03841856303063366,120,0.05870999750742746,0.04287714132110888,73,0.0496632767629641,0.03924667746870674,56
exact_hidden_doy,exact2019,robust_blend0.05,249,0.05767467580238226,0.03982538710240352,,,,0.05767467580238226,0.03982538710240352,249,,,,0.060535881313641855,0.038170581667065995,120,0.058608813245140536,0.042953951191876304,73,0.04959839599184387,0.03929309199006405,56
exact_hidden_doy,exact2019,interp_blend0.10,249,0.05831595804221232,0.040274013032680606,,,,0.05831595804221232,0.040274013032680606,249,,,,0.06105406972027796,0.038809741700680196,120,0.0585149719301734,0.04252697226813881,73,0.05167254667696635,0.04047484402645917,56
exact_hidden_doy,exact2019,robust_blend0.10,249,0.057725093720694794,0.039988492500867494,,,,0.057725093720694794,0.039988492500867494,249,,,,0.060123484601843136,0.03818553821673221,120,0.058262722041278074,0.04265715101865257,73,0.05143175919628745,0.04037317897047329,56
exact_hidden_doy,exact2019,interp_blend0.15,249,0.05888925129705847,0.04089294017233446,,,,0.05888925129705847,0.04089294017233446,249,,,,0.06129087589238102,0.03940924771872742,120,0.05843251626530325,0.04232193335959075,73,0.054030622216403756,0.04220948645381901,56
exact_hidden_doy,exact2019,robust_blend0.15,249,0.05790029823899193,0.04027771070031579,,,,0.05790029823899193,0.04027771070031579,249,,,,0.05978917793985153,0.03832747469641736,120,0.05797930603293567,0.04236035084542883,73,0.05351775388158293,0.04174191766236152,56
exact_hidden_doy,exact2019,interp_blend0.20,249,0.059649072247726045,0.04161709863880585,,,,0.059649072247726045,0.04161709863880585,249,,,,0.06167387221173341,0.040062904961443574,120,0.05846310681652131,0.042257868162238296,73,0.05669399641814104,0.044112224818679165,56
exact_hidden_doy,exact2019,robust_blend0.20,249,0.05819916238412322,0.04067499013454951,,,,0.05819916238412322,0.04067499013454951,249,,,,0.0595342768544711,0.03849964960569327,120,0.05775948783713807,0.04208159322914297,73,0.05582806878692927,0.04350282651950355,56
exact_hidden_doy,exact2019,interp_blend0.30,249,0.06169904748539505,0.04360698362533959,,,,0.06169904748539505,0.04360698362533959,249,,,,0.06286672910625304,0.04156050488091938,120,0.058862070257912256,0.042723855851823894,73,0.06277695853318332,0.0491435153538587,56
exact_hidden_doy,exact2019,robust_blend0.30,249,0.05915959819975582,0.041771360504975395,,,,0.05915959819975582,0.041771360504975395,249,,,,0.059266470586051063,0.03895194758678004,120,0.057513350847800654,0.04208276066370842,73,0.06101735248850015,0.04740702726561703,56
exact_hidden_doy,exact2019,interp_blend0.40,249,0.06439746023060884,0.046293454040770114,,,,0.06439746023060884,0.046293454040770114,249,,,,0.06460090381873852,0.04344480108231681,120,0.05970282496843208,0.04377805293651815,73,0.06964383647196459,0.05567671539121281,56
exact_hidden_doy,exact2019,robust_blend0.40,249,0.060583274225581595,0.04339795977051533,,,,0.060583274225581595,0.04339795977051533,249,,,,0.0593244186325951,0.03951800132230956,120,0.057527611207665856,0.04234938440265963,73,0.06681510289379337,0.053079049335482464,56
exact_hidden_doy,exact2019,shock_shock_date_a0.35,249,0.05761030103593562,0.03941272803325207,,,,0.05761030103593562,0.03941272803325207,249,,,,0.061209348536411134,0.038205718224702326,120,0.058825895113281075,0.0429317672595672,73,0.047096434970471335,0.03741185863155499,56
exact_hidden_doy,exact2019,shock_shock_date_a0.60,249,0.05758316197154121,0.039241462586051434,,,,0.05758316197154121,0.039241462586051434,249,,,,0.06137845541639035,0.03822211239614332,120,0.05874459243104383,0.0427191521992774,73,0.04660699272898066,0.036892367604327826,56
exact_hidden_doy,exact2019,shock_shock_date_a1.00,249,0.05766509014800484,0.03912395156834158,,,,0.05766509014800484,0.03912395156834158,249,,,,0.061712923000157155,0.038351112851933614,120,0.058710053662462965,0.04245980553751019,73,0.046165592807539624,0.03643151060797813,56
exact_hidden_doy,exact2019,shock_shock_crop_a0.35,249,0.0573839703664632,0.03915108624472006,,,,0.0573839703664632,0.03915108624472006,249,,,,0.061175839856408475,0.038101833323867504,120,0.058299324042897484,0.04244206786739122,73,0.046813816531485426,0.037109455745564915,56
exact_hidden_doy,exact2019,shock_shock_crop_a0.60,249,0.05725209714380974,0.03885160817174595,,,,0.05725209714380974,0.03885160817174595,249,,,,0.06134965617427689,0.03809556996804565,120,0.05790460848754846,0.04191209831299854,73,0.046243595647402505,0.03648212253125659,56
exact_hidden_doy,exact2019,shock_shock_crop_a1.00,249,0.057266898478646744,0.03861183427920023,,,,0.057266898478646744,0.03861183427920023,249,,,,0.06174071649750764,0.03822314759272607,120,0.05748232032082042,0.04124497790361783,73,0.0458952878326415,0.0360122435255291,56
exact_hidden_doy,exact2019,shock_shock_near_a0.35,249,0.05764554962440045,0.0396766271757974,,,,0.05764554962440045,0.0396766271757974,249,,,,0.06094747359166012,0.03825041314450141,120,0.058816562457025136,0.04306763499586153,73,0.048022068701444195,0.038312379191705236,56
exact_hidden_doy,exact2019,shock_shock_near_a0.60,249,0.05759686857542127,0.03964528960846536,,,,0.05759686857542127,0.03964528960846536,249,,,,0.06091751332865525,0.03827919943151719,120,0.05868913819039402,0.04291375143011762,73,0.048047022318262675,0.03831195225584331,56
exact_hidden_doy,exact2019,shock_shock_near_a1.00,249,0.057563285686107496,0.03965102210378602,,,,0.057563285686107496,0.03965102210378602,249,,,,0.060913447708704736,0.03838847565936301,120,0.05851213482880982,0.04266753772492741,73,0.048160400737012964,0.03842423519284748,56
exact_hidden_doy,exact2019,shock_shock_date_filled_a0.35,249,0.05757154709875918,0.039405808660929964,,,,0.05757154709875918,0.039405808660929964,249,,,,0.06113244302305471,0.03819060126089583,120,0.058822843201839115,0.042925623463313585,73,0.04710473561902816,0.03742149450789584,56
exact_hidden_doy,exact2019,shock_shock_date_filled_a0.60,249,0.057515322936022066,0.03922763091162023,,,,0.057515322936022066,0.03922763091162023,249,,,,0.06124637979163261,0.03819512435368474,120,0.058738277677372115,0.04270861997712837,73,0.04661722396239898,0.03690242707537318,56
exact_hidden_doy,exact2019,shock_shock_date_filled_a1.00,249,0.057548526760679806,0.03909693304829888,,,,0.057548526760679806,0.03909693304829888,249,,,,0.061492395797184664,0.03830455189556949,120,0.05869665233453326,0.04243789482285586,73,0.046171642229993586,0.03643971034802867,56
