protocol,partition,method,n,rmse,mae,rmse_2025,mae_2025,n_2025,rmse_hidden_doy,mae_hidden_doy,n_hidden_doy,rmse_non_hidden_doy,mae_non_hidden_doy,n_non_hidden_doy,rmse_canon,mae_canon,n_canon,rmse_noncanon,mae_noncanon,n_noncanon,rmse_shared,mae_shared,n_shared,rmse_private_only,mae_private_only,n_private_only,dataset
crossfit,random2,hgb_raw,2644,0.06840733265091457,0.04107291079828163,0.07747509680779392,0.03843913305804587,756,0.06840733265091457,0.04107291079828163,2644,,,0,0.0692837479889246,0.049412752525745736,592,0.06815239293779579,0.03866687458840895,2052,0.05092214757724868,0.03326782137769139,377,0.07089813715998901,0.04237088993880326,2267,random_private_like
crossfit,random2,hgb_clip_01,2644,0.06840733265091457,0.04107291079828163,0.07747509680779392,0.03843913305804587,756,0.06840733265091457,0.04107291079828163,2644,,,0,0.0692837479889246,0.049412752525745736,592,0.06815239293779579,0.03866687458840895,2052,0.05092214757724868,0.03326782137769139,377,0.07089813715998901,0.04237088993880326,2267,random_private_like
crossfit,random2,hgb_clip_02_11,2644,0.06840733265091457,0.04107291079828163,0.07747509680779392,0.03843913305804587,756,0.06840733265091457,0.04107291079828163,2644,,,0,0.0692837479889246,0.049412752525745736,592,0.06815239293779579,0.03866687458840895,2052,0.05092214757724868,0.03326782137769139,377,0.07089813715998901,0.04237088993880326,2267,random_private_like
crossfit,random2,hgb_clip_calib_q01_q99,2644,0.06845912281007169,0.04116920623814113,0.07748242710410931,0.03846446383110768,756,0.06845912281007169,0.04116920623814113,2644,,,0,0.06937121425055043,0.049564413482389644,592,0.06819371794207989,0.038747197130638636,2052,0.05095485173631778,0.03335022277897151,377,0.07095251155793846,0.042469495944407985,2267,random_private_like
crossfit,random2,hgb_affine,2644,0.06843747783882309,0.04116851628730237,0.0774602372290256,0.038488563564984736,756,0.06843747783882309,0.04116851628730237,2644,,,0,0.06930046157509478,0.049467496840465384,592,0.06818647785841757,0.03877426848638985,2052,0.0509066185665364,0.033306539992191325,377,0.07093391327870048,0.04247595566236054,2267,random_private_like
crossfit,random2,hgb_affine_winsor,2644,0.06845440672523055,0.04124604500101061,0.0774735830597242,0.03856527861667235,756,0.06845440672523055,0.04124604500101061,2644,,,0,0.06929290933269036,0.0495267561909715,592,0.06821058374354134,0.038857067893575487,2052,0.0509711276813245,0.033389718223018984,377,0.0709452601763076,0.04255254486660515,2267,random_private_like
crossfit,random2,hgb_bias_median,2644,0.06839323593165682,0.041050245900791836,0.07750568740528448,0.03845991648928903,756,0.06839323593165682,0.041050245900791836,2644,,,0,0.0692597886485316,0.04941853958746556,592,0.06814118811821018,0.038636001328418136,2052,0.05101019372358242,0.03330670767521263,377,0.07087174488686118,0.042337989134600115,2267,random_private_like
crossfit,random2,hgb_shrink_0.90,2644,0.07180663948490915,0.04691622064161333,0.08014565001339553,0.04428041957199595,756,0.07180663948490915,0.04691622064161333,2644,,,0,0.07193073556633582,0.05341204075606797,592,0.07177079800530922,0.045042182869801856,2052,0.055302167691685195,0.03947190662667976,377,0.07419613377986889,0.04815420316637291,2267,random_private_like
crossfit,random2,hgb_shrink_0.95,2644,0.06935308292389056,0.043134177606077476,0.07811513542322124,0.040375486375775635,756,0.06935308292389056,0.043134177606077476,2644,,,0,0.06990150443299806,0.05082156652414298,592,0.06919405595587189,0.040916373395797366,2052,0.05220982682649927,0.03535827861197009,377,0.07180818014251629,0.044427302405715095,2267,random_private_like
crossfit,random2,hgb_shrink_0.98,2644,0.0685984779071303,0.041648261210598475,0.07756037699014273,0.0389448908836589,756,0.0685984779071303,0.041648261210598475,2644,,,0,0.06935712964629216,0.04982714113275175,592,0.06837804316966235,0.03928866232467511,2052,0.051207674576531984,0.03380628002971186,377,0.07107910725255907,0.04295237541668328,2267,random_private_like
crossfit,random2,hgb_peer_0.05,2644,0.06899946069708379,0.0426782845619904,0.07815521107021214,0.03966919177670066,756,0.06899946069708379,0.0426782845619904,2644,,,0,0.0690101103987064,0.050025738775666746,592,0.06899638796302036,0.04055855118260619,2052,0.05157264441829383,0.03428036560363735,377,0.07148672031838552,0.04407485070548361,2267,random_private_like
crossfit,random2,hgb_peer_0.10,2644,0.07090049064810372,0.045445224250562445,0.07994269014504811,0.0421093781596695,756,0.07090049064810372,0.045445224250562445,2644,,,0,0.0697523472110581,0.0514037875925845,592,0.07122828915378748,0.04372618453395569,2052,0.05359438443157957,0.036510891932833515,377,0.07338374826233621,0.04693099543882173,2267,random_private_like
