protocol,partition,method,source,n,rmse,mae
exact_hidden_doy,exact2023,base_hard,landsat,48,0.08646301271906771,0.05498952079392707
exact_hidden_doy,exact2023,base_hard,modis,67,0.06388282478824217,0.04868955185667932
exact_hidden_doy,exact2023,base_oracle_source,all,169,0.07125523303877902,0.046251906492887046
exact_hidden_doy,exact2023,base_route_accuracy,all,169,0.8757396449704142,0.2865883597358864
exact_hidden_doy,exact2023,lag_soft,all,169,0.07164623276650431,0.04974751823762285
exact_hidden_doy,exact2023,lag_soft,s2,54,0.08095097067056288,0.05576166210029451
exact_hidden_doy,exact2023,lag_soft,landsat,48,0.08227749171912128,0.05220815643190757
exact_hidden_doy,exact2023,lag_soft,modis,67,0.05307029118602599,0.043137452537474544
exact_hidden_doy,exact2023,lag_hard,all,169,0.07611684641587227,0.051126386189587446
exact_hidden_doy,exact2023,lag_hard,s2,54,0.08861832199666421,0.05622757438614997
exact_hidden_doy,exact2023,lag_hard,landsat,48,0.08435307208469649,0.05401333376918208
exact_hidden_doy,exact2023,lag_hard,modis,67,0.056454118669333093,0.04494671982488717
exact_hidden_doy,exact2023,lag_oracle_source,all,169,0.06384781478023727,0.04297608730671419
exact_hidden_doy,exact2023,lag_route_accuracy,all,169,0.8757396449704142,0.2865883597358864
exact_hidden_doy,exact2024,base_soft,all,152,0.05923181948845261,0.042563748165052644
exact_hidden_doy,exact2024,base_soft,s2,62,0.05983099648330292,0.04373899022781823
exact_hidden_doy,exact2024,base_soft,landsat,51,0.042574787361058505,0.031286021485429034
exact_hidden_doy,exact2024,base_soft,modis,39,0.07491712681432684,0.05544321105657412
exact_hidden_doy,exact2024,base_hard,all,152,0.0653748144230225,0.04390936183393646
exact_hidden_doy,exact2024,base_hard,s2,62,0.062190162210225365,0.040725969921655114
exact_hidden_doy,exact2024,base_hard,landsat,51,0.04461234155366423,0.03255336994627894
exact_hidden_doy,exact2024,base_hard,modis,39,0.08891542593356246,0.0638202819578333
exact_hidden_doy,exact2024,base_oracle_source,all,152,0.05134835368619356,0.034427922648314825
exact_hidden_doy,exact2024,base_route_accuracy,all,152,0.7236842105263158,0.6333422271167247
exact_hidden_doy,exact2024,lag_soft,all,152,0.05729233537701778,0.04112259978748164
exact_hidden_doy,exact2024,lag_soft,s2,62,0.058889200089026546,0.042910093767798314
exact_hidden_doy,exact2024,lag_soft,landsat,51,0.04357306495129866,0.030569631010270187
