route,policy,slice,n,rmse,rmse_base
crop_hier_n1_p67,cohort_year_dist_src,shared2025,1508,0.0504649529,0.0513951813
crop_hier_n1_p67,cohort_year_dist_src,near,6890,0.0645546644,0.0662006592
crop_hier_n1_p67,cohort_year_dist_src,mid,1711,0.0717950618,0.0729940242
crop_hier_n1_p67,cohort_year_dist_src,far,1975,0.0698085848,0.0700986011
crop_hier_n1_p67,confidence_src,all,10576,0.0668339035,0.0680787938
crop_hier_n1_p67,confidence_src,seed0,2644,0.0705282881,0.0713661302
crop_hier_n1_p67,confidence_src,seed1,2644,0.0630098251,0.0644679552
crop_hier_n1_p67,confidence_src,seed2,2644,0.0651727693,0.0668046092
crop_hier_n1_p67,confidence_src,seed70404,2644,0.0683748147,0.0694751110
crop_hier_n1_p67,confidence_src,new2025,1516,0.0776813385,0.0797533421
crop_hier_n1_p67,confidence_src,shared2025,1508,0.0505981087,0.0513951813
crop_hier_n1_p67,confidence_src,near,6890,0.0645967169,0.0662006592
crop_hier_n1_p67,confidence_src,mid,1711,0.0717240096,0.0729940242
crop_hier_n1_p67,confidence_src,far,1975,0.0700396338,0.0700986011
soft_all_r1_l0_p4,fixed040,all,10576,0.0669633799,0.0680787938
soft_all_r1_l0_p4,fixed040,seed0,2644,0.0705322115,0.0713661302
soft_all_r1_l0_p4,fixed040,seed1,2644,0.0633068339,0.0644679552
soft_all_r1_l0_p4,fixed040,seed2,2644,0.0654247829,0.0668046092
soft_all_r1_l0_p4,fixed040,seed70404,2644,0.0683624653,0.0694751110
soft_all_r1_l0_p4,fixed040,new2025,1516,0.0781618131,0.0797533421
soft_all_r1_l0_p4,fixed040,shared2025,1508,0.0505909066,0.0513951813
soft_all_r1_l0_p4,fixed040,near,6890,0.0647864956,0.0662006592
soft_all_r1_l0_p4,fixed040,mid,1711,0.0718148147,0.0729940242
soft_all_r1_l0_p4,fixed040,far,1975,0.0700097516,0.0700986011
soft_all_r1_l0_p4,predsrc_ls045,all,10576,0.0669608994,0.0680787938
soft_all_r1_l0_p4,predsrc_ls045,seed0,2644,0.0705354460,0.0713661302
soft_all_r1_l0_p4,predsrc_ls045,seed1,2644,0.0633066039,0.0644679552
soft_all_r1_l0_p4,predsrc_ls045,seed2,2644,0.0654218921,0.0668046092
soft_all_r1_l0_p4,predsrc_ls045,seed70404,2644,0.0683523884,0.0694751110
soft_all_r1_l0_p4,predsrc_ls045,new2025,1516,0.0780964537,0.0797533421
soft_all_r1_l0_p4,predsrc_ls045,shared2025,1508,0.0506286383,0.0513951813
soft_all_r1_l0_p4,predsrc_ls045,near,6890,0.0647645086,0.0662006592
soft_all_r1_l0_p4,predsrc_ls045,mid,1711,0.0718450882,0.0729940242
soft_all_r1_l0_p4,predsrc_ls045,far,1975,0.0700411011,0.0700986011
soft_all_r1_l0_p4,predsrc_ls050,all,10576,0.0669677800,0.0680787938
soft_all_r1_l0_p4,predsrc_ls050,seed0,2644,0.0705480639,0.0713661302
soft_all_r1_l0_p4,predsrc_ls050,seed1,2644,0.0633159223,0.0644679552
soft_all_r1_l0_p4,predsrc_ls050,seed2,2644,0.0654280792,0.0668046092
soft_all_r1_l0_p4,predsrc_ls050,seed70404,2644,0.0683517766,0.0694751110
soft_all_r1_l0_p4,predsrc_ls050,new2025,1516,0.0780365801,0.0797533421
soft_all_r1_l0_p4,predsrc_ls050,shared2025,1508,0.0506748728,0.0513951813
soft_all_r1_l0_p4,predsrc_ls050,near,6890,0.0647522887,0.0662006592
soft_all_r1_l0_p4,predsrc_ls050,mid,1711,0.0718843492,0.0729940242
soft_all_r1_l0_p4,predsrc_ls050,far,1975,0.0700808330,0.0700986011
soft_all_r1_l0_p4,predsrc_ls055,all,10576,0.0669840188,0.0680787938
soft_all_r1_l0_p4,predsrc_ls055,seed0,2644,0.0705700602,0.0713661302
soft_all_r1_l0_p4,predsrc_ls055,seed1,2644,0.0633347849,0.0644679552
soft_all_r1_l0_p4,predsrc_ls055,seed2,2644,0.0654433417,0.0668046092
soft_all_r1_l0_p4,predsrc_ls055,seed70404,2644,0.0683606301,0.0694751110
soft_all_r1_l0_p4,predsrc_ls055,new2025,1516,0.0779822050,0.0797533421
soft_all_r1_l0_p4,predsrc_ls055,shared2025,1508,0.0507295870,0.0513951813
soft_all_r1_l0_p4,predsrc_ls055,near,6890,0.0647498415,0.0662006592
soft_all_r1_l0_p4,predsrc_ls055,mid,1711,0.0719325831,0.0729940242
soft_all_r1_l0_p4,predsrc_ls055,far,1975,0.0701289332,0.0700986011
soft_all_r1_l0_p4,predsrc_ls050_nonls035,all,10576,0.0669987143,0.0680787938
soft_all_r1_l0_p4,predsrc_ls050_nonls035,seed0,2644,0.0705563072,0.0713661302
soft_all_r1_l0_p4,predsrc_ls050_nonls035,seed1,2644,0.0633510181,0.0644679552
soft_all_r1_l0_p4,predsrc_ls050_nonls035,seed2,2644,0.0654897333,0.0668046092
soft_all_r1_l0_p4,predsrc_ls050_nonls035,seed70404,2644,0.0683729604,0.0694751110
soft_all_r1_l0_p4,predsrc_ls050_nonls035,new2025,1516,0.0780883265,0.0797533421
soft_all_r1_l0_p4,predsrc_ls050_nonls035,shared2025,1508,0.0506852498,0.0513951813
soft_all_r1_l0_p4,predsrc_ls050_nonls035,near,6890,0.0647929028,0.0662006592
soft_all_r1_l0_p4,predsrc_ls050_nonls035,mid,1711,0.0719602469,0.0729940242
soft_all_r1_l0_p4,predsrc_ls050_nonls035,far,1975,0.0700407157,0.0700986011
soft_all_r1_l0_p4,peer050_fallback025,all,10576,0.0669422094,0.0680787938
soft_all_r1_l0_p4,peer050_fallback025,seed0,2644,0.0706035006,0.0713661302
soft_all_r1_l0_p4,peer050_fallback025,seed1,2644,0.0632620176,0.0644679552
soft_all_r1_l0_p4,peer050_fallback025,seed2,2644,0.0653137239,0.0668046092
soft_all_r1_l0_p4,peer050_fallback025,seed70404,2644,0.0683536238,0.0694751110
soft_all_r1_l0_p4,peer050_fallback025,new2025,1516,0.0780046863,0.0797533421
soft_all_r1_l0_p4,peer050_fallback025,shared2025,1508,0.0507278310,0.0513951813
soft_all_r1_l0_p4,peer050_fallback025,near,6890,0.0647361200,0.0662006592
soft_all_r1_l0_p4,peer050_fallback025,mid,1711,0.0717849448,0.0729940242
soft_all_r1_l0_p4,peer050_fallback025,far,1975,0.0700903935,0.0700986011
soft_all_r1_l0_p4,peer050_purity80_040_fallback025,all,10576,0.0669405658,0.0680787938
