base,peer_config,peer_weight,exact_rmse,exact_baseline_rmse,exact_delta_rmse,exact_coverage,exact_improved_runs,exact_runs,random_rmse,random_baseline_rmse,random_delta_rmse,random_coverage,random_improved_runs,random_runs,random2025_rmse,random2025_baseline_rmse,random2025_delta_rmse,random2025_coverage,random2025_improved_runs,random2025_runs,worst_delta,mean_delta,all_three_improve
hgb,n8_c80_r100_k3,0.08,0.06304109443950703,0.06340553155480409,-0.0003644371152970588,0.6606822262118492,5.0,6.0,0.0693416383994029,0.06982641959795943,-0.0004847811985565359,0.5881240544629349,3.0,3.0,0.06303515754230452,0.06339685499406654,-0.0003616974517620247,0.8161375661375662,3.0,3.0,-0.0003616974517620247,-0.0004036385885385398,True
hgb,n16_c80_r100_k3,0.08,0.06304622382111634,0.06340553155480409,-0.0003593077336877526,0.6552962298025135,5.0,6.0,0.06940920227271644,0.06982641959795943,-0.0004172173252429967,0.5187846696923852,3.0,3.0,0.06301830154643596,0.06339685499406654,-0.0003785534476305752,0.7993827160493827,3.0,3.0,-0.0003593077336877526,-0.00038502616885377483,True
hgb,n8_c80_r100_k3,0.15,0.06288846922824212,0.06340553155480409,-0.0005170623265619706,0.6606822262118492,5.0,6.0,0.06914379489849622,0.06982641959795943,-0.0006826246994632162,0.5881240544629349,3.0,3.0,0.06303774354753729,0.06339685499406654,-0.0003591114465292533,0.8161375661375662,3.0,3.0,-0.0003591114465292533,-0.00051959949085148,True
hgb,n16_c80_r100_k2,0.1,0.06304727270291602,0.06340553155480409,-0.00035825885188807416,0.6552962298025135,6.0,6.0,0.06933935157945843,0.06982641959795943,-0.00048706801850099957,0.5187846696923852,3.0,3.0,0.06298622402422716,0.06339685499406654,-0.0004106309698393845,0.7993827160493827,3.0,3.0,-0.00035825885188807416,-0.00041865261340948606,True
hgb,n16_c80_r080_k2,0.15,0.06303698449312059,0.06340553155480409,-0.0003685470616835024,0.4919210053859964,5.0,6.0,0.06935710557357432,0.06982641959795943,-0.0004693140243851174,0.41427130610186585,3.0,3.0,0.06303903612899724,0.06339685499406654,-0.0003578188650693037,0.6860670194003528,3.0,3.0,-0.0003578188650693037,-0.0003985599837126412,True
hgb_lag30,n16_c60_r080_k2,0.15,0.062158577735372714,0.0625196365651102,-0.0003610588297374845,0.5771992818671454,4.0,6.0,0.06911873433737709,0.0695855664035088,-0.0004668320661317116,0.4716338880484115,3.0,3.0,0.061894614449125765,0.06225159263760085,-0.0003569781884750836,0.7407407407407407,3.0,3.0,-0.0003569781884750836,-0.0003949563614480932,True
hgb_lag20,n16_c60_r125_k2,0.1,0.06225007166422116,0.06260634739886303,-0.0003562757346418713,0.8994614003590664,6.0,6.0,0.06892740730725123,0.06944909527214516,-0.0005216879648939216,0.6855774079677257,3.0,3.0,0.06205742642613025,0.062438112899989955,-0.00038068647385970655,0.9338624338624338,3.0,3.0,-0.0003562757346418713,-0.0004195500577984998,True
hgb,n16_c60_r125_k1,0.08,0.06304950005062247,0.06340553155480409,-0.0003560315041816198,0.8994614003590664,5.0,6.0,0.0692975675831461,0.06982641959795943,-0.0005288520148133274,0.6855774079677257,3.0,3.0,0.06291682641896797,0.06339685499406654,-0.00048002857509857333,0.9338624338624338,3.0,3.0,-0.0003560315041816198,-0.0004549706980311735,True
hgb,n12_c40_r080_k3,0.15,0.06303114239963772,0.06340553155480409,-0.0003743891551663686,0.5951526032315978,4.0,6.0,0.06928958056687118,0.06982641959795943,-0.0005368390310882543,0.5360564800806858,3.0,3.0,0.06304175871464852,0.06339685499406654,-0.0003550962794180157,0.7614638447971781,3.0,3.0,-0.0003550962794180157,-0.00042210815522421286,True
hgb,n16_c80_r125_k1,0.08,0.06305044151211982,0.06340553155480409,-0.00035509004268427513,0.7100538599640933,5.0,6.0,0.06939862751117908,0.06982641959795943,-0.00042779208678035696,0.5680786686838124,3.0,3.0,0.06301682529194014,0.06339685499406654,-0.00038002970212640264,0.8337742504409171,3.0,3.0,-0.00035509004268427513,-0.0003876372771970116,True
hgb_lag30,n16_c60_r125_k2,0.1,0.062166034710305164,0.0625196365651102,-0.0003536018548050343,0.8994614003590664,6.0,6.0,0.06906353840907688,0.0695855664035088,-0.00052202799443192,0.6855774079677257,3.0,3.0,0.061886580469892497,0.06225159263760085,-0.00036501216770835204,0.9338624338624338,3.0,3.0,-0.0003536018548050343,-0.0004135473389817688,True
hgb,n12_c60_r125_k1,0.1,0.06305279157999173,0.06340553155480409,-0.0003527399748123605,0.8994614003590664,5.0,6.0,0.069140478692921,0.06982641959795943,-0.0006859409050384291,0.7489914271306102,3.0,3.0,0.06298265424209248,0.06339685499406654,-0.0004142007519740559,0.9382716049382716,3.0,3.0,-0.0003527399748123605,-0.0004842938772749485,True
hgb,n12_c40_r125_k2,0.1,0.0630389855122488,0.06340553155480409,-0.000366546042555288,0.9201077199281867,6.0,6.0,0.06914150628532466,0.06982641959795943,-0.0006849133126347745,0.8009329299041856,3.0,3.0,0.06304431355480487,0.06339685499406654,-0.0003525414392616666,0.9572310405643739,3.0,3.0,-0.0003525414392616666,-0.00046800026481724305,True
hgb,n16_c60_r080_k3,0.1,0.06305462091300296,0.06340553155480409,-0.00035091064180113596,0.5771992818671454,5.0,6.0,0.06943142522471275,0.06982641959795943,-0.0003949943732466793,0.4716338880484115,3.0,3.0,0.0629995126740068,0.06339685499406654,-0.0003973423200597376,0.7407407407407407,3.0,3.0,-0.00035091064180113596,-0.0003810824450358509,True
