seed,policy,alpha_history,alpha_shared25,alpha_new25,n,rmse,baseline_rmse,delta,wins
1,global_0.050,0.05,0.05,0.05,2644,0.06281310721026391,0.06302249906578815,-0.000209391855524238,1
1,global_0.100,0.1,0.1,0.1,2644,0.0626621634204065,0.06302249906578815,-0.0003603356453816542,1
1,global_0.125,0.125,0.125,0.125,2644,0.06260874805018929,0.06302249906578815,-0.0004137510155988594,1
1,global_0.150,0.15,0.15,0.15,2644,0.06257009069715441,0.06302249906578815,-0.000452408368633736,1
1,global_0.175,0.175,0.175,0.175,2644,0.0625462187253544,0.06302249906578815,-0.00047628034043374623,1
1,global_0.200,0.2,0.2,0.2,2644,0.06253714906662527,0.06302249906578815,-0.00048534999916287347,1
1,global_0.225,0.225,0.225,0.225,2644,0.06254288816064098,0.06302249906578815,-0.00047961090514717086,1
1,global_0.250,0.25,0.25,0.25,2644,0.06256343193207414,0.06302249906578815,-0.00045906713371400565,1
1,h0.10_s0.10_n0.05,0.1,0.1,0.05,2644,0.06265685698869697,0.06302249906578815,-0.00036564207709118,1
1,h0.10_s0.10_n0.10,0.1,0.1,0.1,2644,0.0626621634204065,0.06302249906578815,-0.0003603356453816542,1
1,h0.10_s0.10_n0.15,0.1,0.1,0.15,2644,0.06267570349130332,0.06302249906578815,-0.00034679557448483167,1
1,h0.10_s0.15_n0.05,0.1,0.15,0.05,2644,0.06264487981412528,0.06302249906578815,-0.0003776192516628668,1
1,h0.10_s0.15_n0.10,0.1,0.15,0.1,2644,0.062650187260294,0.06302249906578815,-0.0003723118054941438,1
1,h0.10_s0.15_n0.15,0.1,0.15,0.15,2644,0.06266372991894074,0.06302249906578815,-0.00035876914684740413,1
1,h0.10_s0.20_n0.05,0.1,0.2,0.05,2644,0.0626403831346447,0.06302249906578815,-0.00038211593114344244,1
1,h0.10_s0.20_n0.10,0.1,0.2,0.1,2644,0.06264569096177955,0.06302249906578815,-0.00037680810400859965,1
1,h0.10_s0.20_n0.15,0.1,0.2,0.15,2644,0.06265923459221975,0.06302249906578815,-0.00036326447356839486,1
1,h0.15_s0.10_n0.05,0.15,0.1,0.05,2644,0.06256320748010132,0.06302249906578815,-0.0004592915856868329,1
1,h0.15_s0.10_n0.10,0.15,0.1,0.1,2644,0.06256852185421924,0.06302249906578815,-0.00045397721156890947,1
1,h0.15_s0.10_n0.15,0.15,0.1,0.15,2644,0.0625820821851267,0.06302249906578815,-0.0004404168806614456,1
1,h0.15_s0.15_n0.05,0.15,0.15,0.05,2644,0.06255121237372127,0.06302249906578815,-0.00047128669206687734,1
1,h0.15_s0.15_n0.10,0.15,0.15,0.1,2644,0.06255652776686128,0.06302249906578815,-0.00046597129892686495,1
1,h0.15_s0.15_n0.15,0.15,0.15,0.15,2644,0.06257009069715441,0.06302249906578815,-0.000452408368633736,1
1,h0.15_s0.20_n0.05,0.15,0.2,0.05,2644,0.0625467089601944,0.06302249906578815,-0.0004757901055937458,1
1,h0.15_s0.20_n0.10,0.15,0.2,0.1,2644,0.06255202473601448,0.06302249906578815,-0.0004704743297736652,1
1,h0.15_s0.20_n0.15,0.15,0.2,0.15,2644,0.06256558864247191,0.06302249906578815,-0.0004569104233162341,1
1,h0.20_s0.10_n0.05,0.2,0.1,0.05,2644,0.06251294178820994,0.06302249906578815,-0.0005095572775782042,1
1,h0.20_s0.10_n0.10,0.2,0.1,0.1,2644,0.0625182604351707,0.06302249906578815,-0.0005042386306174512,1
1,h0.20_s0.10_n0.15,0.2,0.1,0.15,2644,0.06253183166551154,0.06302249906578815,-0.0004906674002766037,1
1,h0.20_s0.15_n0.05,0.2,0.15,0.05,2644,0.06250093703489815,0.06302249906578815,-0.0005215620308900021,1
1,h0.20_s0.15_n0.10,0.2,0.15,0.1,2644,0.06250625670334137,0.06302249906578815,-0.000516242362446781,1
1,h0.20_s0.15_n0.15,0.2,0.15,0.15,2644,0.06251983053934208,0.06302249906578815,-0.0005026685264460651,1
1,h0.20_s0.20_n0.05,0.2,0.2,0.05,2644,0.062496429998594186,0.06302249906578815,-0.0005260690671939627,1
1,h0.20_s0.20_n0.10,0.2,0.2,0.1,2644,0.06250175005064168,0.06302249906578815,-0.0005207490151464683,1
1,h0.20_s0.20_n0.15,0.2,0.2,0.15,2644,0.06251532486516351,0.06302249906578815,-0.000507174200624641,1
2,global_loo,0.16383859296407777,0.16383859296407777,0.16383859296407777,2644,0.06474083427691131,0.06514008799161364,-0.0003992537147023273,1
2,scope_loo,0.1699238696587639,0.19336508209255898,0.09712087269973808,2644,0.06476925353427215,0.06514008799161364,-0.00037083445734148457,1
2,global_0.000,0.0,0.0,0.0,2644,0.06514008799161364,0.06514008799161364,0.0,0
2,global_0.050,0.05,0.05,0.05,2644,0.06495569334023407,0.06514008799161364,-0.0001843946513795658,1
2,global_0.100,0.1,0.1,0.1,2644,0.06482610984601524,0.06514008799161364,-0.00031397814559840087,1
2,global_0.125,0.125,0.125,0.125,2644,0.0647819805039128,0.06514008799161364,-0.00035810748770083445,1
2,global_0.150,0.15,0.15,0.15,2644,0.06475166658030108,0.06514008799161364,-0.00038842141131255337,1
