mode,cohort,method,n,cov,rmse_pooled,mae_pooled
all,2025,peer_only,250,250,0.1240267627406988,0.0787235926197016
all,all,blend_peer_0.02,2644,625,0.0731024563430202,0.0433420954815117
all,all,blend_peer_0.05,2644,625,0.0731219067971739,0.0434301091210402
all,all,blend_peer_0.00,2644,625,0.0731269990910926,0.0433295713449096
all,all,blend_peer_0.10,2644,625,0.073304115224904,0.0436796636236692
all,all,blend_peer_0.15,2644,625,0.0736722346737419,0.0440376030708664
all,all,blend_peer_0.20,2644,625,0.0742234990579485,0.0445029154959168
all,all,blend_peer_0.25,2644,625,0.0749538675496678,0.0450648091088634
all,all,blend_peer_0.30,2644,625,0.0758581670393274,0.0456828666286393
all,all,blend_peer_0.40,2644,625,0.07816325473897351,0.0470815719094573
all,all,blend_peer_0.50,2644,625,0.0810816037512503,0.0487257792607057
all,all,peer_only,625,625,0.1594047861631327,0.1050276566435467
all,exact_comp,blend_peer_0.02,789,625,0.0571479932731586,0.0388373606390952
all,exact_comp,blend_peer_0.05,789,625,0.0572313204074211,0.0391323011497584
all,exact_comp,blend_peer_0.00,789,625,0.0572531197838577,0.0387953912890623
all,exact_comp,blend_peer_0.10,789,625,0.0580071630356196,0.0399685775818891
all,exact_comp,blend_peer_0.15,789,625,0.0595494794987909,0.0411680603428391
all,exact_comp,blend_peer_0.20,789,625,0.0618009115708239,0.0427273582539075
all,exact_comp,blend_peer_0.25,789,625,0.0646874597635786,0.0446103071926031
all,exact_comp,blend_peer_0.30,789,625,0.0681284437486746,0.046681465725287
all,exact_comp,blend_peer_0.40,789,625,0.076362474379341,0.0513686352594856
all,exact_comp,blend_peer_0.50,789,625,0.08595685317729101,0.05687850121221181
all,historical_private_only,blend_peer_0.00,1888,375,0.0799353682192319,0.0471107842022873
all,historical_private_only,blend_peer_0.02,1888,375,0.0799558409105979,0.0471479215144253
all,historical_private_only,blend_peer_0.05,1888,375,0.0800386197431659,0.04727699635820231
all,historical_private_only,blend_peer_0.10,1888,375,0.0803148701909484,0.0475985191020678
all,historical_private_only,blend_peer_0.15,1888,375,0.0807623443353247,0.0480275291277891
all,historical_private_only,blend_peer_0.20,1888,375,0.0813782177037387,0.0485558899548505
all,historical_private_only,blend_peer_0.25,1888,375,0.0821587033495995,0.0491570118215677
all,historical_private_only,blend_peer_0.30,1888,375,0.0830991631780295,0.0498105209896931
all,historical_private_only,blend_peer_0.40,1888,375,0.0854379785958444,0.0512808248968569
all,historical_private_only,blend_peer_0.50,1888,375,0.0883456060797743,0.0529298117758434
all,historical_private_only,peer_only,375,375,0.1791499869817607,0.12256369932611
all,private_only_2025,blend_peer_0.25,379,99,0.0550486705573608,0.0346000130644523
all,private_only_2025,blend_peer_0.20,379,99,0.0550508089669437,0.0345425924780368
all,private_only_2025,blend_peer_0.30,379,99,0.0551743175152616,0.0347426722321946
all,private_only_2025,blend_peer_0.15,379,99,0.0551807178878744,0.0346146882756391
all,private_only_2025,blend_peer_0.10,379,99,0.0554374990980976,0.0347149030547573
all,private_only_2025,blend_peer_0.40,379,99,0.0558046372833968,0.0351651165152492
all,private_only_2025,blend_peer_0.05,379,99,0.055819401705913305,0.0348389455924484
all,private_only_2025,blend_peer_0.02,379,99,0.0561075735100212,0.0349172588362965
all,private_only_2025,blend_peer_0.00,379,99,0.056323880621676,0.034972699503793
all,private_only_2025,blend_peer_0.50,379,99,0.0569249352664073,0.035938787160116
all,private_only_2025,peer_only,99,99,0.0984822492692072,0.063902113798494
