year,cross,k,degree,rmse,mae
2021,False,4,1,0.12382847296305127,0.08323876180730184
2021,False,4,2,0.16873174669345464,0.10797913120578895
2021,False,8,0,0.11597060062281433,0.08311063493938264
2021,False,8,1,0.11795228638051482,0.08418375524027724
2021,False,8,2,0.13222944971192085,0.08640359401995557
2021,False,16,0,0.11374794312613615,0.08369533095933349
2021,False,16,1,0.1154089237790309,0.08597279268280823
2021,False,16,2,0.12033575989017387,0.08580065752957919
2021,True,4,0,0.12184820908177646,0.08465122446255362
2021,True,4,1,0.12382847296305127,0.08323876180730184
2021,True,4,2,0.16873174669345464,0.10797913120578895
2021,True,8,0,0.11597060062281433,0.08311063493938264
2021,True,8,1,0.11795228638051482,0.08418375524027724
2021,True,8,2,0.13222944971192085,0.08640359401995557
2021,True,16,0,0.11374794312613615,0.08369533095933349
2021,True,16,1,0.1154089237790309,0.08597279268280823
2021,True,16,2,0.12033575989017387,0.08580065752957919
2022,False,4,0,0.08401289129756385,0.061511301236374195
2022,False,4,1,0.08657121365885041,0.06279175305040104
2022,False,4,2,0.10781083048750584,0.07823047492304258
2022,False,8,0,0.0803982118012434,0.059226851934139596
2022,False,8,1,0.08166651809984474,0.05954824024326912
2022,False,8,2,0.08809604048498582,0.06388960182942398
2022,False,16,0,0.07809723179857173,0.058860774792286186
2022,False,16,1,0.07836174414052327,0.05934427569201822
2022,False,16,2,0.08123526231122577,0.0596836803606001
2022,True,4,0,0.08401289129756385,0.061511301236374195
2022,True,4,1,0.08657121365885041,0.06279175305040104
2022,True,4,2,0.10781083048750584,0.07823047492304258
2022,True,8,0,0.0803982118012434,0.059226851934139596
2022,True,8,1,0.08166651809984474,0.05954824024326912
2022,True,8,2,0.08809604048498582,0.06388960182942398
2022,True,16,0,0.07809723179857173,0.058860774792286186
2022,True,16,1,0.07836174414052327,0.05934427569201822
2022,True,16,2,0.08123526231122577,0.0596836803606001
2023,False,4,0,0.09389904057246812,0.06809877348665405
2023,False,4,1,0.09853373309968673,0.07143276487482968
2023,False,4,2,0.1342657065684273,0.08414707945887007
2023,False,8,0,0.08816097329908104,0.06426556952516127
2023,False,8,1,0.08990211844594655,0.06482359130580995
2023,False,8,2,0.09669839677257133,0.06890852843802445
2023,False,16,0,0.08759386816502798,0.06453845557656425
2023,False,16,1,0.08897953897817304,0.06491978636588505
2023,False,16,2,0.08961500415701742,0.06495072622994573
2023,True,4,0,0.09389904057246812,0.06809877348665405
2023,True,4,1,0.09853373309968673,0.07143276487482968
2023,True,4,2,0.1342657065684273,0.08414707945887007
2023,True,8,0,0.08816097329908104,0.06426556952516127
2023,True,8,1,0.08990211844594655,0.06482359130580995
2023,True,8,2,0.09669839677257133,0.06890852843802445
2023,True,16,0,0.08759386816502798,0.06453845557656425
2023,True,16,1,0.08897953897817304,0.06491978636588505
2023,True,16,2,0.08961500415701742,0.06495072622994573
2024,False,4,0,0.07759613692458467,0.054093616238226325
2024,False,4,1,0.0787614477494487,0.05612534210820959
2024,False,4,2,0.115237816134941,0.07243350431549724
2024,False,8,0,0.07140032568756013,0.05067331315777996
2024,False,8,1,0.07115084348434231,0.05052156393910484
2024,False,8,2,0.08332665256810277,0.058644821170319716
2024,False,16,0,0.07386407466733819,0.051975889790971355
2024,False,16,1,0.06941308651597937,0.04912644278271371
2024,False,16,2,0.07192449330324811,0.051351531483814
2024,True,4,0,0.07759613692458467,0.054093616238226325
2024,True,4,1,0.0787614477494487,0.05612534210820959
2024,True,4,2,0.115237816134941,0.07243350431549724
2024,True,8,0,0.07140032568756013,0.05067331315777996
2024,True,8,1,0.07115084348434231,0.05052156393910484
2024,True,8,2,0.08332665256810277,0.058644821170319716
2024,True,16,0,0.07386407466733819,0.051975889790971355
2024,True,16,1,0.06941308651597937,0.04912644278271371
2024,True,16,2,0.07192449330324811,0.051351531483814
