group,label,weight_archive,n,rmse,mae
year,2022,0.4400000000,495,0.0678012486,0.0417638314
year,2022,0.4600000000,495,0.0678294876,0.0417816980
year,2022,0.4800000000,495,0.0678600093,0.0418016901
year,2022,0.5000000000,495,0.0678928108,0.0418275058
year,2023,0.0000000000,555,0.0578675556,0.0384413950
year,2023,0.0200000000,555,0.0579023767,0.0384451358
year,2023,0.0400000000,555,0.0579396773,0.0384496752
year,2023,0.0600000000,555,0.0579794526,0.0384553320
year,2023,0.0800000000,555,0.0580216974,0.0384626316
year,2023,0.1000000000,555,0.0580664065,0.0384703357
year,2023,0.1200000000,555,0.0581135740,0.0384787748
year,2023,0.1400000000,555,0.0581631940,0.0384882916
year,2023,0.1600000000,555,0.0582152603,0.0385001687
year,2023,0.1800000000,555,0.0582697663,0.0385130024
year,2023,0.2000000000,555,0.0583267052,0.0385286872
year,2023,0.2200000000,555,0.0583860697,0.0385464041
year,2023,0.2400000000,555,0.0584478527,0.0385644926
year,2023,0.2600000000,555,0.0585120463,0.0385836247
year,2023,0.2800000000,555,0.0585786426,0.0386099065
year,2023,0.3000000000,555,0.0586476336,0.0386366993
year,2023,0.3200000000,555,0.0587190106,0.0386654273
year,2023,0.3400000000,555,0.0587927652,0.0387025995
year,2023,0.3600000000,555,0.0588688882,0.0387422240
year,2023,0.3800000000,555,0.0589473705,0.0387820997
year,2023,0.4000000000,555,0.0590282028,0.0388244692
year,2023,0.4200000000,555,0.0591113753,0.0388710551
year,2023,0.4400000000,555,0.0591968783,0.0389201272
year,2023,0.4600000000,555,0.0592847016,0.0389705704
year,2023,0.4800000000,555,0.0593748349,0.0390227415
year,2023,0.5000000000,555,0.0594672677,0.0390783357
year,2024,0.0000000000,519,0.0516905595,0.0329914198
year,2024,0.0200000000,519,0.0517159514,0.0330007811
year,2024,0.0400000000,519,0.0517435544,0.0330118050
year,2024,0.0600000000,519,0.0517733650,0.0330266674
year,2024,0.0800000000,519,0.0518053794,0.0330417058
year,2024,0.1000000000,519,0.0518395934,0.0330575054
year,2024,0.1200000000,519,0.0518760027,0.0330750198
year,2024,0.1400000000,519,0.0519146028,0.0330930628
year,2024,0.1600000000,519,0.0519553887,0.0331127536
year,2024,0.1800000000,519,0.0519983552,0.0331350784
year,2024,0.2000000000,519,0.0520434971,0.0331595688
year,2024,0.2200000000,519,0.0520908086,0.0331876246
