group,label,weight_archive,n,rmse,mae
mask_seed,70404,0.5000000000,2644,0.0701254227,0.0420758979
year,2010,0.0000000000,222,0.0573158325,0.0432812173
year,2010,0.0200000000,222,0.0572952622,0.0432466257
year,2010,0.0400000000,222,0.0572769063,0.0432128931
year,2010,0.0600000000,222,0.0572607668,0.0431802873
year,2010,0.0800000000,222,0.0572468457,0.0431476815
year,2010,0.1000000000,222,0.0572351446,0.0431183408
year,2010,0.1200000000,222,0.0572256648,0.0430895903
year,2010,0.1400000000,222,0.0572184075,0.0430608839
year,2010,0.1600000000,222,0.0572133734,0.0430351835
year,2010,0.1800000000,222,0.0572105633,0.0430126987
year,2010,0.2000000000,222,0.0572099773,0.0429909435
year,2010,0.2200000000,222,0.0572116156,0.0429691884
year,2010,0.2400000000,222,0.0572154779,0.0429474332
year,2010,0.2600000000,222,0.0572215639,0.0429256781
year,2010,0.2800000000,222,0.0572298729,0.0429039229
year,2010,0.3000000000,222,0.0572404037,0.0428825716
year,2010,0.3200000000,222,0.0572531553,0.0428658832
year,2010,0.3400000000,222,0.0572681262,0.0428491948
year,2010,0.3600000000,222,0.0572853145,0.0428359402
year,2010,0.3800000000,222,0.0573047184,0.0428229935
year,2010,0.4000000000,222,0.0573263355,0.0428100468
year,2010,0.4200000000,222,0.0573501633,0.0428011895
year,2010,0.4400000000,222,0.0573761992,0.0427959640
year,2010,0.4600000000,222,0.0574044400,0.0427907386
year,2010,0.4800000000,222,0.0574348826,0.0427855131
year,2010,0.5000000000,222,0.0574675235,0.0427808762
year,2011,0.0000000000,246,0.0758558788,0.0541600806
year,2011,0.0200000000,246,0.0758870331,0.0541646390
year,2011,0.0400000000,246,0.0759206943,0.0541706757
year,2011,0.0600000000,246,0.0759568590,0.0541768982
year,2011,0.0800000000,246,0.0759955238,0.0541852428
year,2011,0.1000000000,246,0.0760366847,0.0541948778
year,2011,0.1200000000,246,0.0760803378,0.0542045129
year,2011,0.1400000000,246,0.0761264787,0.0542147056
year,2011,0.1600000000,246,0.0761751029,0.0542313409
year,2011,0.1800000000,246,0.0762262057,0.0542567882
year,2011,0.2000000000,246,0.0762797821,0.0542844461
year,2011,0.2200000000,246,0.0763358269,0.0543137808
year,2011,0.2400000000,246,0.0763943346,0.0543431154
year,2011,0.2600000000,246,0.0764552996,0.0543742552
year,2011,0.2800000000,246,0.0765187160,0.0544077394
year,2011,0.3000000000,246,0.0765845778,0.0544434193
year,2011,0.3200000000,246,0.0766528786,0.0544808324
year,2011,0.3400000000,246,0.0767236119,0.0545182456
year,2011,0.3600000000,246,0.0767967710,0.0545556587
year,2011,0.3800000000,246,0.0768723489,0.0545930719
year,2011,0.4000000000,246,0.0769503386,0.0546304850
year,2011,0.4200000000,246,0.0770307328,0.0546678982
year,2011,0.4400000000,246,0.0771135238,0.0547053113
year,2011,0.4600000000,246,0.0771987039,0.0547427245
year,2011,0.4800000000,246,0.0772862654,0.0547801377
year,2011,0.5000000000,246,0.0773762001,0.0548175508
year,2012,0.0000000000,174,0.0807755048,0.0574035230
year,2012,0.0200000000,174,0.0807256775,0.0573831150
year,2012,0.0400000000,174,0.0806775778,0.0573655105
year,2012,0.0600000000,174,0.0806312089,0.0573498091
year,2012,0.0800000000,174,0.0805865737,0.0573341077
year,2012,0.1000000000,174,0.0805436751,0.0573211783
year,2012,0.1200000000,174,0.0805025160,0.0573087741
year,2012,0.1400000000,174,0.0804630989,0.0572963700
year,2012,0.1600000000,174,0.0804254264,0.0572839659
year,2012,0.1800000000,174,0.0803895010,0.0572715617
year,2012,0.2000000000,174,0.0803553250,0.0572591576
year,2012,0.2200000000,174,0.0803229007,0.0572467535
year,2012,0.2400000000,174,0.0802922302,0.0572343493
year,2012,0.2600000000,174,0.0802633154,0.0572238121
year,2012,0.2800000000,174,0.0802361584,0.0572142765
year,2012,0.3000000000,174,0.0802107608,0.0572246257
year,2012,0.3200000000,174,0.0801871243,0.0572408765
year,2012,0.3400000000,174,0.0801652506,0.0572573258
year,2012,0.3600000000,174,0.0801451410,0.0572750589
year,2012,0.3800000000,174,0.0801267968,0.0572947361
year,2012,0.4000000000,174,0.0801102194,0.0573144132
year,2012,0.4200000000,174,0.0800954098,0.0573340904
year,2012,0.4400000000,174,0.0800823689,0.0573537676
year,2012,0.4600000000,174,0.0800710976,0.0573734448
year,2012,0.4800000000,174,0.0800615967,0.0573931220
year,2012,0.5000000000,174,0.0800538668,0.0574127992
year,2013,0.0000000000,234,0.0706254467,0.0543816421
year,2013,0.0200000000,234,0.0706261443,0.0543928096
year,2013,0.0400000000,234,0.0706289920,0.0544042578
year,2013,0.0600000000,234,0.0706339895,0.0544285202
year,2013,0.0800000000,234,0.0706411363,0.0544550461
year,2013,0.1000000000,234,0.0706504318,0.0544815720
year,2013,0.1200000000,234,0.0706618751,0.0545085517
year,2013,0.1400000000,234,0.0706754653,0.0545387624
year,2013,0.1600000000,234,0.0706912010,0.0545689731
year,2013,0.1800000000,234,0.0707090808,0.0545991838
