seed,radius,crop,method,pred,n,rmse,coverage
0,2,0,median,blend0.01,2644,0.0713564126411862,0.9803328290468987
0,2,0,median,blend0.02,2644,0.07139791450593604,0.9803328290468987
0,2,0,median,blend0.03,2644,0.07149054658647729,0.9803328290468987
0,2,0,median,blend0.05,2644,0.07182830094107588,0.9803328290468987
0,2,0,median,blend0.08,2644,0.07271004606169679,0.9803328290468987
0,2,0,median,blend0.1,2644,0.07354095600227577,0.9803328290468987
0,2,0,median,blend0.15,2644,0.07642006752051998,0.9803328290468987
0,2,0,median,blend0.2,2644,0.08034032826929619,0.9803328290468987
0,2,0,median,blend0.3,2644,0.09073044113729947,0.9803328290468987
0,2,0,median,blend0.4,2644,0.10363689505856849,0.9803328290468987
0,2,0,mean,mix,2644,0.19643789596831035,0.9803328290468987
0,2,0,mean,blend0.01,2644,0.07135904954447753,0.9803328290468987
0,2,0,mean,blend0.02,2644,0.07139912696509514,0.9803328290468987
0,2,0,mean,blend0.03,2644,0.07148628314131227,0.9803328290468987
0,2,0,mean,blend0.05,2644,0.07180105339624611,0.9803328290468987
0,2,0,mean,blend0.08,2644,0.07261910839925678,0.9803328290468987
0,2,0,mean,blend0.1,2644,0.07338908066673715,0.9803328290468987
0,2,0,mean,blend0.15,2644,0.07605801874749916,0.9803328290468987
0,2,0,mean,blend0.2,2644,0.07969935026629033,0.9803328290468987
0,2,0,mean,blend0.3,2644,0.08939358116878456,0.9803328290468987
0,2,0,mean,blend0.4,2644,0.10150682206158647,0.9803328290468987
0,2,0,mean,hard,2644,0.19886188427831838,0.9803328290468987
0,2,0,mean,blend0.01,2644,0.07135768597111766,0.9803328290468987
0,2,0,mean,blend0.02,2644,0.07139775782463227,0.9803328290468987
0,2,0,mean,blend0.03,2644,0.07148626416729809,0.9803328290468987
0,2,0,mean,blend0.05,2644,0.07180776594463557,0.9803328290468987
0,2,0,mean,blend0.08,2644,0.07264572719955031,0.9803328290468987
0,2,0,mean,blend0.1,2644,0.07343519343959821,0.9803328290468987
0,2,0,mean,blend0.15,2644,0.07617244708918747,0.9803328290468987
0,2,0,mean,blend0.2,2644,0.07990555318681632,0.9803328290468987
0,2,0,mean,blend0.3,2644,0.08983114116296145,0.9803328290468987
0,2,0,mean,blend0.4,2644,0.10221025933416632,0.9803328290468987
0,4,1,median,mix,2644,0.18512169700651518,0.9931921331316188
0,4,1,median,blend0.01,2644,0.07134677740202297,0.9931921331316188
0,4,1,median,blend0.02,2644,0.07136938598320883,0.9931921331316188
0,4,1,median,blend0.03,2644,0.07143391609592334,0.9931921331316188
0,4,1,median,blend0.05,2644,0.0716882145460186,0.9931921331316188
0,4,1,median,blend0.08,2644,0.07237891601071715,0.9931921331316188
0,4,1,median,blend0.1,2644,0.0730410039019897,0.9931921331316188
0,4,1,median,blend0.15,2644,0.07536901868502448,0.9931921331316188
0,4,1,median,blend0.2,2644,0.07858563662906397,0.9931921331316188
0,4,1,median,blend0.3,2644,0.08726549512295542,0.9931921331316188
0,4,1,median,blend0.4,2644,0.09825314913522264,0.9931921331316188
0,4,1,median,hard,2644,0.18657576561913347,0.9931921331316188
0,4,1,median,blend0.01,2644,0.07134913475485974,0.9931921331316188
0,4,1,median,blend0.02,2644,0.07137481119035631,0.9931921331316188
0,4,1,median,blend0.03,2644,0.07144311349231475,0.9931921331316188
0,4,1,median,blend0.05,2644,0.07170703245835726,0.9931921331316188
0,4,1,median,blend0.08,2644,0.07241715744858179,0.9931921331316188
0,4,1,median,blend0.1,2644,0.07309532296727056,0.9931921331316188
0,4,1,median,blend0.15,2644,0.07547322535851503,0.9931921331316188
