seed,config,weight,n,peer_n,coverage,rmse,base_rmse,delta_rmse
70404,n12_c80_r100_k2,0.0800000000,2644,1532,0.5794251135,0.0670157009,0.0671352518,-0.0001195509
70404,n16_c80_r100_k1,0.1200000000,2644,1427,0.5397125567,0.0670161434,0.0671352518,-0.0001191084
70404,n16_c60_r100_k2,0.1000000000,2644,1639,0.6198940998,0.0670174136,0.0671352518,-0.0001178382
70404,n16_c60_r125_k1,0.1000000000,2644,1825,0.6902420575,0.0670179498,0.0671352518,-0.0001173021
70404,n8_c80_r100_k3,0.1000000000,2644,1604,0.6066565809,0.0670191322,0.0671352518,-0.0001161196
70404,n8_c80_r100_k2,0.0500000000,2644,1604,0.6066565809,0.0670193335,0.0671352518,-0.0001159183
70404,n16_c80_r100_k3,0.0800000000,2644,1427,0.5397125567,0.0670193735,0.0671352518,-0.0001158783
70404,n16_c80_r080_k1,0.0800000000,2644,1168,0.4417549168,0.0670197517,0.0671352518,-0.0001155001
70404,n12_c80_r100_k3,0.0800000000,2644,1532,0.5794251135,0.0670197564,0.0671352518,-0.0001154954
70404,n16_c80_r080_k2,0.1000000000,2644,1168,0.4417549168,0.0670210896,0.0671352518,-0.0001141622
70404,n16_c80_r080_k1,0.1000000000,2644,1168,0.4417549168,0.0670211770,0.0671352518,-0.0001140748
70404,n16_c40_r100_k1,0.0500000000,2644,1735,0.6562027231,0.0670214784,0.0671352518,-0.0001137734
70404,n16_c80_r080_k2,0.0800000000,2644,1168,0.4417549168,0.0670228601,0.0671352518,-0.0001123918
70404,n8_c80_r100_k3,0.0500000000,2644,1604,0.6066565809,0.0670240660,0.0671352518,-0.0001111858
70404,n16_c60_r100_k2,0.0500000000,2644,1639,0.6198940998,0.0670253850,0.0671352518,-0.0001098668
70404,n16_c80_r125_k1,0.1000000000,2644,1563,0.5911497731,0.0670259136,0.0671352518,-0.0001093382
70404,n16_c80_r100_k3,0.1000000000,2644,1427,0.5397125567,0.0670259873,0.0671352518,-0.0001092645
70404,n12_c80_r100_k2,0.1000000000,2644,1532,0.5794251135,0.0670263830,0.0671352518,-0.0001088688
70404,n8_c80_r080_k3,0.0800000000,2644,1307,0.4943267776,0.0670268255,0.0671352518,-0.0001084263
70404,n16_c80_r080_k3,0.1000000000,2644,1168,0.4417549168,0.0670271570,0.0671352518,-0.0001080949
70404,n16_c60_r100_k3,0.0800000000,2644,1639,0.6198940998,0.0670281332,0.0671352518,-0.0001071186
70404,n16_c80_r080_k3,0.0800000000,2644,1168,0.4417549168,0.0670281849,0.0671352518,-0.0001070669
70404,n16_c80_r100_k2,0.0500000000,2644,1427,0.5397125567,0.0670288515,0.0671352518,-0.0001064003
70404,n16_c80_r080_k2,0.1200000000,2644,1168,0.4417549168,0.0670298592,0.0671352518,-0.0001053926
70404,n12_c80_r100_k2,0.0500000000,2644,1532,0.5794251135,0.0670301229,0.0671352518,-0.0001051289
70404,n8_c80_r100_k1,0.0800000000,2644,1604,0.6066565809,0.0670305596,0.0671352518,-0.0001046922
70404,n12_c80_r100_k3,0.1000000000,2644,1532,0.5794251135,0.0670306637,0.0671352518,-0.0001045881
70404,n8_c80_r080_k3,0.1000000000,2644,1307,0.4943267776,0.0670309256,0.0671352518,-0.0001043262
70404,n8_c80_r080_k2,0.0800000000,2644,1307,0.4943267776,0.0670314493,0.0671352518,-0.0001038026
70404,n8_c80_r100_k1,0.0500000000,2644,1604,0.6066565809,0.0670318945,0.0671352518,-0.0001033573
70404,n16_c80_r100_k2,0.1200000000,2644,1427,0.5397125567,0.0670322623,0.0671352518,-0.0001029895
70404,n16_c40_r100_k1,0.1000000000,2644,1735,0.6562027231,0.0670331218,0.0671352518,-0.0001021300
70404,n12_c80_r100_k3,0.0500000000,2644,1532,0.5794251135,0.0670332480,0.0671352518,-0.0001020038
70404,n12_c60_r100_k2,0.0800000000,2644,1777,0.6720877458,0.0670343391,0.0671352518,-0.0001009127
