path,rows,finite,unique_keys,min,max,mean,std,sha256
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_cohort_balanced_wide_submission.csv,3112,True,3112,0.05306666,0.90342474,0.37823650736503855,0.20319248879869797,64ce5ddbcac8aec507550f5c9567d606d710761170036d44a2d8450c1eb681e4
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_cohort_history_focus_regular_submission.csv,3112,True,3112,0.05119989,0.90433794,0.37840412397172235,0.20336334457024674,12857775bd96c743f79af7ea3703623c475ed78ceb16c755876805b01ccd4002
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_cohort_history_focus_wide_submission.csv,3112,True,3112,0.05383023,0.90053117,0.3782618730816195,0.20336788217109325,25a3bcb2a24526cdb6a55ab0447b3657b3e892b04a3f31f50ec06f0154170462
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_cohort_holdout_opt_regular_submission.csv,3112,True,3112,0.05119989,0.90433794,0.37843154244537275,0.2034733362201081,990456f5e6c4b0c396b80d9bb10c3209d8536e1e66b0095ca1adac66defb7ba6
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_cohort_holdout_opt_wide_submission.csv,3112,True,3112,0.05383023,0.90053117,0.3783035106587404,0.203501053332348,66048f541ff3f65d5d047018cf7abf2da1998beab233ea75cc3faed60edab7d2
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_cohort_year_adaptive_wide_submission.csv,3112,True,3112,0.05371569,0.90371452,0.37827744529241647,0.2032661622161786,e09bb18f71823a0f91b97d07435e398461922c4788510d000aef45fd215cda40
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extregular20_no2025_submission.csv,3112,True,3112,0.05048738,0.91073458,0.3781611101863754,0.20258842369994606,7db4b8c14d2fca0a152cebf5dd2aaad9ffcdcab0a4ea7359c02f05f04987f3d9
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extregular20_submission.csv,3112,True,3112,0.05048738,0.91073458,0.37820079266709505,0.20270983837933113,e6c61ea5b3c038f80d0df15a4e04e43ec21eaa3f1cae17f24c0743266d9a77f8
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extregular30_no2025_submission.csv,3112,True,3112,0.05072488,0.90860237,0.3782268430141388,0.20277869378448682,36cb8dbb5e0022b547b39692f003d2b91f252112f91bc06e65232b641ff06be5
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extregular30_submission.csv,3112,True,3112,0.05072488,0.90860237,0.3782863666388175,0.20297188902858673,adfc5d9efce23411b6e100ad1738ccf9624a15d29eb36d861aa3c4a59a5f4e17
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extregular40_no2025_submission.csv,3112,True,3112,0.05096238,0.90647016,0.3782925764267352,0.20299042518121946,8eb903363592a8e312caa110b3f392d83a73a6a9b8aa0af644ddf6e5d36a461a
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extregular40_submission.csv,3112,True,3112,0.05096238,0.90647016,0.37837194137853475,0.20326271670400123,6b677f4ce47e0ac105c2115317a7911438932feddb3c8749b3e5ceb7a356882d
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide20_no2025_submission.csv,3112,True,3112,0.05153952,0.90921187,0.37812201313624677,0.20259220196220018,88c2717c4ff8b834386036b79fe64a725e49f64a7c2b6ebc5a69bbe3058ce3c1
