seed,route,policy,alpha,n,rmse,rmse_base
1,fixed_r8,fixed,0.6000000000,2644,0.0634493062,0.0644679552
1,fixed_r8,cohort_year_dist,,2644,0.0632545822,0.0644679552
1,fixed_r16,fixed,0.2000000000,2644,0.0640125806,0.0644679552
1,fixed_r16,fixed,0.3000000000,2644,0.0639754813,0.0644679552
1,fixed_r16,fixed,0.4000000000,2644,0.0640659870,0.0644679552
1,fixed_r16,fixed,0.5000000000,2644,0.0642835586,0.0644679552
1,fixed_r16,fixed,0.6000000000,2644,0.0646269129,0.0644679552
1,fixed_r16,cohort_year_dist,,2644,0.0641816466,0.0644679552
1,fixed_r32,fixed,0.2000000000,2644,0.0638742554,0.0644679552
1,fixed_r32,fixed,0.3000000000,2644,0.0637676587,0.0644679552
1,fixed_r32,fixed,0.4000000000,2644,0.0637889974,0.0644679552
1,fixed_r32,fixed,0.5000000000,2644,0.0639381436,0.0644679552
1,fixed_r32,fixed,0.6000000000,2644,0.0642142066,0.0644679552
1,fixed_r32,cohort_year_dist,,2644,0.0638145031,0.0644679552
1,vote_r2_r4,fixed,0.2000000000,2644,0.0636420194,0.0644679552
1,vote_r2_r4,fixed,0.3000000000,2644,0.0634132713,0.0644679552
1,vote_r2_r4,fixed,0.4000000000,2644,0.0633093496,0.0644679552
1,vote_r2_r4,fixed,0.5000000000,2644,0.0633308689,0.0644679552
1,vote_r2_r4,fixed,0.6000000000,2644,0.0634777015,0.0644679552
1,vote_r2_r4,cohort_year_dist,,2644,0.0632480138,0.0644679552
2,post_mode,fixed,0.2000000000,2644,0.0665316390,0.0668046092
2,post_mode,fixed,0.3000000000,2644,0.0665445532,0.0668046092
2,post_mode,fixed,0.4000000000,2644,0.0666571388,0.0668046092
2,post_mode,fixed,0.5000000000,2644,0.0668688922,0.0668046092
2,post_mode,fixed,0.6000000000,2644,0.0671788756,0.0668046092
2,post_mode,cohort_year_dist,,2644,0.0667255657,0.0668046092
2,fixed_r1,fixed,0.2000000000,2644,0.0658630972,0.0668046092
2,fixed_r1,fixed,0.3000000000,2644,0.0655759232,0.0668046092
2,fixed_r1,fixed,0.4000000000,2644,0.0654135154,0.0668046092
2,fixed_r1,fixed,0.5000000000,2644,0.0653768038,0.0668046092
2,fixed_r1,fixed,0.6000000000,2644,0.0654659997,0.0668046092
2,fixed_r1,cohort_year_dist,,2644,0.0652753826,0.0668046092
2,fixed_r2,fixed,0.2000000000,2644,0.0659284175,0.0668046092
