mode,seed,cohort,method,n,cov,rmse,mae
2025,0,exact_comp,blend_peer_0.15,296,238,0.05236150168647883,0.03619369224255576
2025,0,exact_comp,blend_peer_0.20,296,238,0.053613124833949435,0.03716121275432769
2025,0,exact_comp,blend_peer_0.25,296,238,0.05528095191984513,0.038350311896747064
2025,0,exact_comp,blend_peer_0.30,296,238,0.0573286693633637,0.039717884272622794
2025,0,exact_comp,blend_peer_0.40,296,238,0.06240745378487533,0.043005087859497526
2025,0,exact_comp,blend_peer_0.50,296,238,0.06854712995649836,0.04680611061685151
2025,0,all,peer_only,238,238,0.11625835414576031,0.07608374095959888
2025,0,2025,peer_only,238,238,0.11625835414576031,0.07608374095959888
2025,0,private_only_2025,peer_only,93,93,0.10705004384381188,0.0660164932757591
2025,1,all,blend_peer_0.00,756,237,0.05749994333122227,0.03619167938151187
2025,1,all,blend_peer_0.02,756,237,0.05735869250401288,0.03617656294338149
2025,1,all,blend_peer_0.05,756,237,0.05718667749568156,0.036217520446094706
2025,1,all,blend_peer_0.10,756,237,0.05700727725708689,0.036390511448564936
2025,1,all,blend_peer_0.15,756,237,0.05696300742506162,0.0366973475003663
2025,1,all,blend_peer_0.20,756,237,0.0570541825541199,0.03706058772989303
2025,1,all,blend_peer_0.25,756,237,0.05728015586832859,0.03745014794984654
2025,1,all,blend_peer_0.30,756,237,0.05763934197274602,0.03788075297253416
2025,1,all,blend_peer_0.40,756,237,0.058746673511470775,0.03883328716555283
2025,1,all,blend_peer_0.50,756,237,0.060347439579118686,0.03991249420202168
2025,1,2025,blend_peer_0.00,756,237,0.05749994333122227,0.03619167938151187
2025,1,2025,blend_peer_0.02,756,237,0.05735869250401288,0.03617656294338149
2025,1,2025,blend_peer_0.05,756,237,0.05718667749568156,0.036217520446094706
2025,1,2025,blend_peer_0.10,756,237,0.05700727725708689,0.036390511448564936
2025,1,2025,blend_peer_0.15,756,237,0.05696300742506162,0.0366973475003663
2025,1,2025,blend_peer_0.20,756,237,0.0570541825541199,0.03706058772989303
2025,1,2025,blend_peer_0.25,756,237,0.05728015586832859,0.03745014794984654
2025,1,2025,blend_peer_0.30,756,237,0.05763934197274602,0.03788075297253416
2025,1,2025,blend_peer_0.40,756,237,0.058746673511470775,0.03883328716555283
2025,1,2025,blend_peer_0.50,756,237,0.060347439579118686,0.03991249420202168
2025,1,private_only_2025,blend_peer_0.00,379,97,0.051751867570102854,0.03469082014833004
2025,1,private_only_2025,blend_peer_0.02,379,97,0.051668439382707175,0.034644318072847534
2025,1,private_only_2025,blend_peer_0.05,379,97,0.05157571340991259,0.034608664929478374
2025,1,private_only_2025,blend_peer_0.10,379,97,0.051508077934994546,0.034618335444505474
2025,1,private_only_2025,blend_peer_0.15,379,97,0.05154938829357306,0.03474806833357455
2025,1,private_only_2025,blend_peer_0.20,379,97,0.05169938332701584,0.034920233987892325
2025,1,private_only_2025,blend_peer_0.25,379,97,0.05195712175836862,0.035116545669183395
2025,1,private_only_2025,blend_peer_0.30,379,97,0.052321011348235816,0.035350627157060575
2025,1,private_only_2025,blend_peer_0.40,379,97,0.053357924143307534,0.03587720256954427
2025,1,private_only_2025,blend_peer_0.50,379,97,0.05478654723137739,0.03658087711562695
2025,1,exact_comp,blend_peer_0.00,296,237,0.06327088178305866,0.03609841116883144
2025,1,exact_comp,blend_peer_0.02,296,237,0.06294257559040847,0.03605980296874168
2025,1,exact_comp,blend_peer_0.05,296,237,0.06254153787469674,0.036164410644590306
2025,1,exact_comp,blend_peer_0.10,296,237,0.06212182006918975,0.03660623901576428
2025,1,exact_comp,blend_peer_0.15,296,237,0.06201801503221271,0.0373899148777975
2025,1,exact_comp,blend_peer_0.20,296,237,0.06223170365025411,0.03831765005861574
2025,1,exact_comp,blend_peer_0.25,296,237,0.06275964293031515,0.039312607917686204
2025,1,exact_comp,blend_peer_0.30,296,237,0.06359400689623651,0.04041239642157757
2025,1,exact_comp,blend_peer_0.40,296,237,0.06613137568828703,0.042845220238881994
2025,1,exact_comp,blend_peer_0.50,296,237,0.06971562487085235,0.045601573345538916
2025,1,all,peer_only,237,237,0.1058173499699701,0.0699520706811107
2025,1,2025,peer_only,237,237,0.1058173499699701,0.0699520706811107
2025,1,private_only_2025,peer_only,97,97,0.09645666070369205,0.06406855312726142
