case,k,alpha,n,coverage,rmse,mae
2020,1,0.0,220,0.990990990990991,,
2020,1,0.25,221,0.9954954954954955,,
2020,1,0.5,221,0.9954954954954955,,
2020,1,0.75,221,0.9954954954954955,,
2020,2,0.0,222,1.0,,
2020,2,0.25,222,1.0,,
2020,2,0.5,222,1.0,,
2020,2,0.75,222,1.0,,
2020,3,0.0,222,1.0,,
2020,3,0.25,222,1.0,,
2020,3,0.5,222,1.0,,
2020,3,0.75,222,1.0,,
2020,5,0.0,222,1.0,,
2020,5,0.25,222,1.0,,
2020,5,0.5,222,1.0,,
2020,5,0.75,222,1.0,,
2020,8,0.0,222,1.0,,
2020,8,0.25,222,1.0,,
2020,8,0.5,222,1.0,,
2020,8,0.75,222,1.0,,
2021,1,0.0,130,1.0,,
2021,1,0.25,130,1.0,,
2021,1,0.5,130,1.0,,
2021,1,0.75,130,1.0,,
2021,2,0.0,130,1.0,,
2021,2,0.25,130,1.0,,
2021,2,0.5,130,1.0,,
2021,2,0.75,130,1.0,,
2021,3,0.0,130,1.0,,
2021,3,0.25,130,1.0,,
2021,3,0.5,130,1.0,,
2021,3,0.75,130,1.0,,
2021,5,0.0,130,1.0,,
2021,5,0.25,130,1.0,,
2021,5,0.5,130,1.0,,
2021,5,0.75,130,1.0,,
2021,8,0.0,130,1.0,,
2021,8,0.25,130,1.0,,
2021,8,0.5,130,1.0,,
2021,8,0.75,130,1.0,,
2022,1,0.0,192,1.0,,
2022,1,0.25,192,1.0,,
2022,1,0.5,192,1.0,,
2022,1,0.75,192,1.0,,
2022,2,0.0,192,1.0,,
2022,2,0.25,192,1.0,,
2022,2,0.5,192,1.0,,
2022,2,0.75,192,1.0,,
2022,3,0.0,192,1.0,,
2022,3,0.25,192,1.0,,
2022,3,0.5,192,1.0,,
2022,3,0.75,192,1.0,,
2022,5,0.0,192,1.0,,
2022,5,0.25,192,1.0,,
2022,5,0.5,192,1.0,,
2022,5,0.75,192,1.0,,
2022,8,0.0,192,1.0,,
2022,8,0.25,192,1.0,,
2022,8,0.5,192,1.0,,
2022,8,0.75,192,1.0,,
2023,1,0.0,167,0.9881656804733728,,
2023,1,0.25,167,0.9881656804733728,,
2023,1,0.5,167,0.9881656804733728,,
2023,1,0.75,167,0.9881656804733728,,
2023,2,0.0,168,0.9940828402366864,,
2023,2,0.25,168,0.9940828402366864,,
2023,2,0.5,168,0.9940828402366864,,
2023,2,0.75,168,0.9940828402366864,,
2023,3,0.0,168,0.9940828402366864,,
2023,3,0.25,168,0.9940828402366864,,
2023,3,0.5,168,0.9940828402366864,,
2023,3,0.75,168,0.9940828402366864,,
2023,5,0.0,168,0.9940828402366864,,
2023,5,0.25,168,0.9940828402366864,,
2023,5,0.5,168,0.9940828402366864,,
2023,5,0.75,168,0.9940828402366864,,
2023,8,0.0,169,1.0,,
2023,8,0.25,169,1.0,,
2023,8,0.5,169,1.0,,
2023,8,0.75,169,1.0,,
2024,1,0.0,151,0.993421052631579,,
2024,1,0.25,151,0.993421052631579,,
2024,1,0.5,151,0.993421052631579,,
2024,1,0.75,151,0.993421052631579,,
2024,2,0.0,151,0.993421052631579,,
2024,2,0.25,151,0.993421052631579,,
2024,2,0.5,151,0.993421052631579,,
2024,2,0.75,151,0.993421052631579,,
2024,3,0.0,151,0.993421052631579,,
2024,3,0.25,151,0.993421052631579,,
2024,3,0.5,151,0.993421052631579,,
2024,3,0.75,151,0.993421052631579,,
2024,5,0.0,151,0.993421052631579,,
2024,5,0.25,151,0.993421052631579,,
2024,5,0.5,151,0.993421052631579,,
2024,5,0.75,151,0.993421052631579,,
2024,8,0.0,152,1.0,,
2024,8,0.25,152,1.0,,
2024,8,0.5,152,1.0,,
2024,8,0.75,152,1.0,,
