protocol,candidate,n,rmse_pooled,mae_pooled,parts
exact_hidden_doy,delta_z_w14_w0.125,1114,0.06428492801967522,0.04465483323937856,6
exact_hidden_doy,state_z_interp_w0.100,1114,0.06438926600187468,0.044529324059239254,6
exact_hidden_doy,delta_z_interp_w0.100,1114,0.06438926600187468,0.044529324059239254,6
exact_hidden_doy,state_z_w7_w0.125,1114,0.0643917807986867,0.04465684284019487,6
exact_hidden_doy,delta_z_w7_w0.125,1114,0.0643917807986867,0.04465684284019487,6
exact_hidden_doy,state_z_w60_w0.100,1114,0.06440476112890663,0.04518944413085141,6
exact_hidden_doy,delta_z_w60_w0.100,1114,0.06440476112890663,0.04518944413085141,6
exact_hidden_doy,state_local_peer_w0.175,1111,0.06445229232655406,0.046248033851945355,6
exact_hidden_doy,delta_local_peer_w0.175,1111,0.06445229232655406,0.046248033851945355,6
exact_hidden_doy,state_z_w30_w0.125,1114,0.06453604829341357,0.04517729925560614,6
exact_hidden_doy,delta_z_w30_w0.125,1114,0.06453604829341357,0.04517729925560614,6
exact_hidden_doy,state_peer30_w0.100,1114,0.06464739216653125,0.04584896389001806,6
exact_hidden_doy,delta_peer30_w0.100,1114,0.06464739216653125,0.04584896389001806,6
exact_hidden_doy,gate_w0.200,1114,0.0647199461904707,0.04582218668948583,6
exact_hidden_doy,state_peer_w0.150,1111,0.06476827996169084,0.046478182827558064,6
exact_hidden_doy,delta_peer_w0.150,1111,0.06476827996169084,0.046478182827558064,6
exact_hidden_doy,state_z_w14_w0.150,1114,0.0648387574907663,0.045196467851262204,6
exact_hidden_doy,delta_z_w14_w0.150,1114,0.0648387574907663,0.045196467851262204,6
exact_hidden_doy,state_z_w7_w0.150,1114,0.06497073015877453,0.04520685088646039,6
exact_hidden_doy,delta_z_w7_w0.150,1114,0.06497073015877453,0.04520685088646039,6
exact_hidden_doy,state_z_interp_w0.125,1114,0.06506526054174755,0.045146195568289645,6
exact_hidden_doy,delta_z_interp_w0.125,1114,0.06506526054174755,0.04514619556828964,6
exact_hidden_doy,state_z_w60_w0.125,1114,0.0651845357396226,0.046020849172054595,6
exact_hidden_doy,delta_z_w60_w0.125,1114,0.06518453573962261,0.046020849172054595,6
exact_hidden_doy,state_z_w30_w0.150,1114,0.06519702223622749,0.04584264711584235,6
exact_hidden_doy,delta_z_w30_w0.150,1114,0.06519702223622749,0.04584264711584235,6
exact_hidden_doy,gate_w0.225,1114,0.06526198857249756,0.04636923102407526,6
exact_hidden_doy,state_local_peer_w0.200,1111,0.06529063976351944,0.0470873275371708,6
exact_hidden_doy,delta_local_peer_w0.200,1111,0.06529063976351944,0.0470873275371708,6
exact_hidden_doy,delta_z_w14_w0.175,1114,0.06546155100889876,0.04577281862422461,6
