dataset,partition,lag_weight,mode,n,rmse,baseline_rmse,delta_rmse,coverage,map_global
exact,exact_2021,0.400000000,doy,130,0.077707889,0.077564748,0.000143140,0.884615385,0.001668267
exact,exact_2021,0.400000000,source_oracle,130,0.077601453,0.077564748,0.000036705,0.884615385,0.001668267
exact,exact_2021,0.400000000,source_soft,130,0.077828384,0.077564748,0.000263636,0.884615385,0.001668267
exact,exact_2021,0.400000000,source_mode,130,0.077762985,0.077564748,0.000198237,0.884615385,0.001668267
exact,exact_2021,0.400000000,source_doy_soft,130,0.077707889,0.077564748,0.000143140,0.884615385,0.001668267
exact,exact_2021,0.400000000,source_doy_mode,130,0.077707889,0.077564748,0.000143140,0.884615385,0.001668267
exact,exact_2022,0.300000000,none,192,0.065849871,0.065849871,0.000000000,0.812500000,0.000000000
exact,exact_2022,0.300000000,global,192,0.065824699,0.065849871,-0.000025173,0.812500000,0.000214830
exact,exact_2022,0.300000000,doy,192,0.065824699,0.065849871,-0.000025173,0.812500000,0.000214830
exact,exact_2022,0.300000000,source_oracle,192,0.065301285,0.065849871,-0.000548587,0.812500000,0.000214830
exact,exact_2022,0.300000000,source_soft,192,0.065817244,0.065849871,-0.000032627,0.812500000,0.000214830
exact,exact_2022,0.300000000,source_mode,192,0.065889198,0.065849871,0.000039327,0.812500000,0.000214830
exact,exact_2022,0.300000000,source_doy_soft,192,0.065824699,0.065849871,-0.000025173,0.812500000,0.000214830
exact,exact_2022,0.300000000,source_doy_mode,192,0.065824699,0.065849871,-0.000025173,0.812500000,0.000214830
exact,exact_2022,0.325000000,none,192,0.065774108,0.065774108,0.000000000,0.812500000,0.000000000
exact,exact_2022,0.325000000,global,192,0.065762234,0.065774108,-0.000011874,0.812500000,0.000101093
exact,exact_2022,0.325000000,doy,192,0.065762234,0.065774108,-0.000011874,0.812500000,0.000101093
exact,exact_2022,0.325000000,source_oracle,192,0.065206846,0.065774108,-0.000567262,0.812500000,0.000101093
exact,exact_2022,0.325000000,source_soft,192,0.065752703,0.065774108,-0.000021406,0.812500000,0.000101093
exact,exact_2022,0.325000000,source_mode,192,0.065828954,0.065774108,0.000054846,0.812500000,0.000101093
exact,exact_2022,0.325000000,source_doy_soft,192,0.065762234,0.065774108,-0.000011874,0.812500000,0.000101093
exact,exact_2022,0.325000000,source_doy_mode,192,0.065762234,0.065774108,-0.000011874,0.812500000,0.000101093
exact,exact_2022,0.350000000,none,192,0.065792207,0.065792207,0.000000000,0.812500000,0.000000000
exact,exact_2022,0.350000000,global,192,0.065760758,0.065792207,-0.000031449,0.812500000,0.000274907
exact,exact_2022,0.350000000,doy,192,0.065760758,0.065792207,-0.000031449,0.812500000,0.000274907
exact,exact_2022,0.350000000,source_oracle,192,0.065212634,0.065792207,-0.000579573,0.812500000,0.000274907
exact,exact_2022,0.350000000,source_soft,192,0.065801117,0.065792207,0.000008910,0.812500000,0.000274907
exact,exact_2022,0.350000000,source_mode,192,0.065890809,0.065792207,0.000098602,0.812500000,0.000274907
exact,exact_2022,0.350000000,source_doy_soft,192,0.065760758,0.065792207,-0.000031449,0.812500000,0.000274907
exact,exact_2022,0.350000000,source_doy_mode,192,0.065760758,0.065792207,-0.000031449,0.812500000,0.000274907
exact,exact_2022,0.400000000,none,192,0.065677096,0.065677096,0.000000000,0.812500000,0.000000000
exact,exact_2022,0.400000000,global,192,0.065686399,0.065677096,0.000009303,0.812500000,-0.000080578
exact,exact_2022,0.400000000,doy,192,0.065686399,0.065677096,0.000009303,0.812500000,-0.000080578
exact,exact_2022,0.400000000,source_oracle,192,0.065177778,0.065677096,-0.000499319,0.812500000,-0.000080578
exact,exact_2022,0.400000000,source_soft,192,0.065693962,0.065677096,0.000016865,0.812500000,-0.000080578
exact,exact_2022,0.400000000,source_mode,192,0.065765237,0.065677096,0.000088140,0.812500000,-0.000080578
exact,exact_2022,0.400000000,source_doy_soft,192,0.065686399,0.065677096,0.000009303,0.812500000,-0.000080578
exact,exact_2022,0.400000000,source_doy_mode,192,0.065686399,0.065677096,0.000009303,0.812500000,-0.000080578
exact,exact_2023,0.300000000,none,169,0.068588656,0.068588656,0.000000000,0.958579882,0.000000000
exact,exact_2023,0.300000000,global,169,0.068841141,0.068588656,0.000252485,0.958579882,0.002396395
exact,exact_2023,0.300000000,doy,169,0.068841141,0.068588656,0.000252485,0.958579882,0.002396395
exact,exact_2023,0.300000000,source_oracle,169,0.069178778,0.068588656,0.000590122,0.958579882,0.002396395
exact,exact_2023,0.300000000,source_soft,169,0.069292059,0.068588656,0.000703404,0.958579882,0.002396395
exact,exact_2023,0.300000000,source_mode,169,0.069312471,0.068588656,0.000723815,0.958579882,0.002396395
exact,exact_2023,0.300000000,source_doy_soft,169,0.068841141,0.068588656,0.000252485,0.958579882,0.002396395
exact,exact_2023,0.300000000,source_doy_mode,169,0.068841141,0.068588656,0.000252485,0.958579882,0.002396395
exact,exact_2023,0.325000000,none,169,0.068476340,0.068476340,0.000000000,0.958579882,0.000000000
exact,exact_2023,0.325000000,global,169,0.068725704,0.068476340,0.000249365,0.958579882,0.002391742
exact,exact_2023,0.325000000,doy,169,0.068725704,0.068476340,0.000249365,0.958579882,0.002391742
exact,exact_2023,0.325000000,source_oracle,169,0.069017119,0.068476340,0.000540779,0.958579882,0.002391742
exact,exact_2023,0.325000000,source_soft,169,0.069137772,0.068476340,0.000661432,0.958579882,0.002391742
exact,exact_2023,0.325000000,source_mode,169,0.069155438,0.068476340,0.000679099,0.958579882,0.002391742
exact,exact_2023,0.325000000,source_doy_soft,169,0.068725704,0.068476340,0.000249365,0.958579882,0.002391742
exact,exact_2023,0.325000000,source_doy_mode,169,0.068725704,0.068476340,0.000249365,0.958579882,0.002391742
exact,exact_2023,0.350000000,none,169,0.068211090,0.068211090,0.000000000,0.958579882,0.000000000
exact,exact_2023,0.350000000,global,169,0.068469016,0.068211090,0.000257926,0.958579882,0.002471707
exact,exact_2023,0.350000000,doy,169,0.068469016,0.068211090,0.000257926,0.958579882,0.002471707
exact,exact_2023,0.350000000,source_oracle,169,0.068734780,0.068211090,0.000523690,0.958579882,0.002471707
exact,exact_2023,0.350000000,source_soft,169,0.068852491,0.068211090,0.000641401,0.958579882,0.002471707
exact,exact_2023,0.350000000,source_mode,169,0.068868870,0.068211090,0.000657780,0.958579882,0.002471707
exact,exact_2023,0.350000000,source_doy_soft,169,0.068469016,0.068211090,0.000257926,0.958579882,0.002471707
exact,exact_2023,0.350000000,source_doy_mode,169,0.068469016,0.068211090,0.000257926,0.958579882,0.002471707
exact,exact_2023,0.400000000,none,169,0.068037563,0.068037563,0.000000000,0.958579882,0.000000000
exact,exact_2023,0.400000000,global,169,0.068308161,0.068037563,0.000270598,0.958579882,0.002635171
exact,exact_2023,0.400000000,doy,169,0.068308161,0.068037563,0.000270598,0.958579882,0.002635171
exact,exact_2023,0.400000000,source_oracle,169,0.068448361,0.068037563,0.000410798,0.958579882,0.002635171
exact,exact_2023,0.400000000,source_soft,169,0.068584447,0.068037563,0.000546884,0.958579882,0.002635171
exact,exact_2023,0.400000000,source_mode,169,0.068594827,0.068037563,0.000557264,0.958579882,0.002635171
exact,exact_2023,0.400000000,source_doy_soft,169,0.068308161,0.068037563,0.000270598,0.958579882,0.002635171
exact,exact_2023,0.400000000,source_doy_mode,169,0.068308161,0.068037563,0.000270598,0.958579882,0.002635171
exact,exact_2024,0.300000000,none,152,0.050743753,0.050743753,0.000000000,0.927631579,0.000000000
exact,exact_2024,0.300000000,global,152,0.050726311,0.050743753,-0.000017442,0.927631579,0.001581203
exact,exact_2024,0.300000000,doy,152,0.050726311,0.050743753,-0.000017442,0.927631579,0.001581203
exact,exact_2024,0.300000000,source_oracle,152,0.050578907,0.050743753,-0.000164846,0.927631579,0.001581203
exact,exact_2024,0.300000000,source_soft,152,0.050696309,0.050743753,-0.000047444,0.927631579,0.001581203
exact,exact_2024,0.300000000,source_mode,152,0.050702563,0.050743753,-0.000041191,0.927631579,0.001581203
exact,exact_2024,0.300000000,source_doy_soft,152,0.050726311,0.050743753,-0.000017442,0.927631579,0.001581203
exact,exact_2024,0.300000000,source_doy_mode,152,0.050726311,0.050743753,-0.000017442,0.927631579,0.001581203
exact,exact_2024,0.325000000,none,152,0.050819725,0.050819725,0.000000000,0.927631579,0.000000000
exact,exact_2024,0.325000000,global,152,0.050800353,0.050819725,-0.000019372,0.927631579,0.001659334
exact,exact_2024,0.325000000,doy,152,0.050800353,0.050819725,-0.000019372,0.927631579,0.001659334
exact,exact_2024,0.325000000,source_oracle,152,0.050641011,0.050819725,-0.000178714,0.927631579,0.001659334
exact,exact_2024,0.325000000,source_soft,152,0.050765154,0.050819725,-0.000054571,0.927631579,0.001659334
exact,exact_2024,0.325000000,source_mode,152,0.050770595,0.050819725,-0.000049130,0.927631579,0.001659334
exact,exact_2024,0.325000000,source_doy_soft,152,0.050800353,0.050819725,-0.000019372,0.927631579,0.001659334
exact,exact_2024,0.325000000,source_doy_mode,152,0.050800353,0.050819725,-0.000019372,0.927631579,0.001659334
exact,exact_2024,0.350000000,none,152,0.050846056,0.050846056,0.000000000,0.927631579,0.000000000
exact,exact_2024,0.350000000,global,152,0.050823457,0.050846056,-0.000022599,0.927631579,0.001575241
exact,exact_2024,0.350000000,doy,152,0.050823457,0.050846056,-0.000022599,0.927631579,0.001575241
exact,exact_2024,0.350000000,source_oracle,152,0.050663245,0.050846056,-0.000182812,0.927631579,0.001575241
exact,exact_2024,0.350000000,source_soft,152,0.050794572,0.050846056,-0.000051485,0.927631579,0.001575241
exact,exact_2024,0.350000000,source_mode,152,0.050801862,0.050846056,-0.000044194,0.927631579,0.001575241
exact,exact_2024,0.350000000,source_doy_soft,152,0.050823457,0.050846056,-0.000022599,0.927631579,0.001575241
