mode,mask_seed,method,weight,cohort,n,rmse,mae,bias
all,0,hgb_seed42+base_k6,0.0,all,2644,0.0738059325387685,0.043621902923299,-0.0008824996213632
all,0,hgb_seed42+base_k6,0.05,all,2644,0.0737270169943468,0.0435653252280606,-0.0008091950278969
all,0,hgb_seed42+base_k6,0.1,all,2644,0.0736962654503142,0.0435544364746376,-0.0007358904344307
all,0,hgb_seed42+base_k6,0.15,all,2644,0.0737137381851762,0.0435928361207034,-0.0006625858409645
all,0,hgb_seed42+base_k6,0.2,all,2644,0.0737794009369368,0.0436947418296949,-0.0005892812474982
all,0,hgb_seed42+base_k6,0.25,all,2644,0.0738931252381767,0.0438595179154358,-0.000515976654032
all,0,hgb_seed42+base_k6,0.3,all,2644,0.0740546896677551,0.0440720034893403,-0.0004426720605657
all,0,hgb_seed42+base_k6,0.35,all,2644,0.0742637819908279,0.0443176034448403,-0.0003693674670995
all,0,hgb_seed42+base_k6,0.4,all,2644,0.0745200021393313,0.0446087749405749,-0.0002960628736333
all,0,hgb_seed42+base_k6,0.45,all,2644,0.0748228659674415,0.0449422255590448,-0.000222758280167
all,0,hgb_seed42+base_k6,0.5,all,2644,0.0751718097014335,0.0453024990319496,-0.0001494536867008
all,0,hgb_seed42+base_k6,0.55,all,2644,0.0755661949913213,0.0457024358709395,-7.614909323462054e-05
all,0,hgb_seed42+base_k6,0.6,all,2644,0.0760053144629722,0.0461485327637927,-2.8444997683846e-06
all,0,hgb_seed42+base_k6,0.65,all,2644,0.0764883976641898,0.0466413984743632,7.046009369785209e-05
all,0,hgb_seed42+base_k6,0.7,all,2644,0.0770146172964991,0.0471622508162426,0.000143764687164
all,0,hgb_seed42+base_k6,0.75,all,2644,0.07758309562584,0.0477220540667982,0.0002170692806303
all,0,hgb_seed42+base_k6,0.8,all,2644,0.0781929109697375,0.0483023621710866,0.0002903738740965
all,0,hgb_seed42+base_k6,0.85,all,2644,0.0788431041653321,0.0489092629215034,0.0003636784675627
all,0,hgb_seed42+base_k6,0.9,all,2644,0.0795326849314202,0.0495476383924783,0.000436983061029
all,0,hgb_seed42+base_k6,0.95,all,2644,0.0802606380478423,0.0502063879112996,0.0005102876544952
all,0,hgb_seed42+base_k6,1.0,all,2644,0.0810259292866424,0.0508817648988916,0.0005835922479615
all,0,hgb_seed_mean_clip,-0.2:1.1,all,2644,0.0734056711745459,0.0433643148125959,-0.000442161286272
all,0,hgb_seed_mean_clip,-0.1:1.0,all,2644,0.0734056711745459,0.0433643148125959,-0.000442161286272
all,0,hgb_seed_mean_clip,0.0:1.0,all,2644,0.0734056711745459,0.0433643148125959,-0.000442161286272
all,0,hgb_seed_mean_clip,-0.05:0.95,all,2644,0.0734056711745459,0.0433643148125959,-0.000442161286272
all,0,lag_k16_d3_clip,-0.2:1.1,all,2644,0.0794589951521615,0.0499405790027258,0.0017917203210387
all,0,lag_k16_d3_clip,-0.1:1.0,all,2644,0.0794458143401162,0.0499364216905432,0.0017958776332212
all,0,lag_k16_d3_clip,0.0:1.0,all,2644,0.079352255568483,0.0498986002079411,0.0018336991158234
all,0,lag_k16_d3_clip,-0.05:0.95,all,2644,0.0793930941765086,0.0499175109492422,0.0018147883745223
all,0,base_k6_clip,-0.2:1.1,all,2644,0.080945731266203,0.0508641939040412,0.0006011632428118
all,0,base_k6_clip,-0.1:1.0,all,2644,0.0808071170215939,0.0508263724214391,0.0006389847254139
all,0,base_k6_clip,0.0:1.0,all,2644,0.0807151361826466,0.050788550938837,0.000676806208016
all,0,base_k6_clip,-0.05:0.95,all,2644,0.0807552855737463,0.050807461680138,0.000657895466715
all,0,hgb_seed_mean,,all,2644,0.0734056711745459,0.0433643148125959,-0.000442161286272
all,0,lag_k16_d3,,all,2644,0.0794589951521615,0.0499405790027258,0.0017917203210387
all,0,base_k6,,all,2644,0.0810259292866424,0.0508817648988916,0.0005835922479615
all,0,blend_hgb80_lag20,,all,2644,0.0731269990910926,0.0433295713449096,4.615035190098572e-06
all,0,hgb_seed_mean,,year_2025,756,0.0530262938516728,0.0341194766271783,0.0011898257831784
all,0,lag_k16_d3,,year_2025,756,0.0579554775800646,0.0392203291239778,0.0046253689240243
all,0,base_k6,,year_2025,756,0.0575945334110775,0.0391970000001011,0.0030848390233654
all,0,blend_hgb80_lag20,,year_2025,756,0.0523932452437234,0.0338865424100829,0.0018769344113476
all,0,hgb_seed_mean,,shared_2025,377,0.0484989452409626,0.0328983597934305,-0.0006161518788569
all,0,lag_k16_d3,,shared_2025,377,0.0558440262058653,0.038665197332071,0.0017833753255833
all,0,base_k6,,shared_2025,377,0.0548898793985497,0.0379821014968145,0.0009547368162858
all,0,blend_hgb80_lag20,,shared_2025,377,0.0481192038306312,0.032794623209775,-0.0001362464379688
all,0,hgb_seed_mean,,private_only_2025,379,0.0571751908445659,0.0353341495726215,0.0029862732200842
all,0,lag_k16_d3,,private_only_2025,379,0.0599820933334894,0.0397725314605183,0.0074523651947691
all,0,base_k6,,private_only_2025,379,0.0601644101978128,0.0404054874294917,0.0052037005855527
all,0,blend_hgb80_lag20,,private_only_2025,379,0.056323880621676,0.034972699503793,0.0038794916150212
all,0,hgb_seed_mean,,shared_all,377,0.0484989452409626,0.0328983597934305,-0.0006161518788569
all,0,lag_k16_d3,,shared_all,377,0.0558440262058653,0.038665197332071,0.0017833753255833
all,0,base_k6,,shared_all,377,0.0548898793985497,0.0379821014968145,0.0009547368162858
all,0,blend_hgb80_lag20,,shared_all,377,0.0481192038306312,0.032794623209775,-0.0001362464379688
all,0,hgb_seed_mean,,private_only_all,2267,0.0767679442871273,0.0451047934373094,-0.0004132268118986
all,0,lag_k16_d3,,private_only_all,2267,0.0827350399002952,0.0518156645297821,0.0017931080860527
all,0,base_k6,,private_only_all,2267,0.084592823620031,0.0530269669732555,0.0005218712500531
all,0,blend_hgb80_lag20,,private_only_all,2267,0.0764970159791367,0.0450815234608981,2.8040167691609404e-05
all,0,hgb_seed_mean,,canonical_modis_doy,589,0.0744351196422397,0.0528941381659055,0.0018088725665973
all,0,lag_k16_d3,,canonical_modis_doy,589,0.0850072961867503,0.06136571715095,0.004385618256523
all,0,base_k6,,canonical_modis_doy,589,0.0863037031187467,0.0634509288296772,0.0043466040827275
all,0,blend_hgb80_lag20,,canonical_modis_doy,589,0.0744477041353149,0.0529554771926396,0.0023242217045824
all,0,hgb_seed_mean,,noncanonical_doy,2055,0.0731079399494086,0.0406328958563432,-0.0010873481180677
all,0,lag_k16_d3,,noncanonical_doy,2055,0.0777958260223871,0.0466659287013613,0.0010482624699437
all,0,base_k6,,noncanonical_doy,2055,0.0794486050487368,0.0472792162102138,-0.0004949546964069
all,0,blend_hgb80_lag20,,noncanonical_doy,2055,0.0727440402092403,0.0405706134158036,-0.0006602260004654
all,0,hgb_seed_mean,,wide_gap_gt35d,142,0.165321792780169,0.0726164005669749,-0.0098267460099086
all,0,lag_k16_d3,,wide_gap_gt35d,142,0.1798113550546652,0.0982563163708893,0.0124367900103926
all,0,base_k6,,wide_gap_gt35d,142,0.1817756546381375,0.0939019774712949,0.0148414703027521
all,0,blend_hgb80_lag20,,wide_gap_gt35d,142,0.1656174894932547,0.0755543216506371,-0.0053740388058483
2025,0,base_k6,,all,756,0.05988922585559129,0.03970485283862908,-0.003207255602781683
2025,0,lag_k16_d3,,all,756,0.05828310888531229,0.03868317158701904,-0.0022894932678699763
2025,0,hgb_seed42,,all,756,0.05451510216322277,0.03500901622501005,-0.0019305775738329518
2025,0,hgb_seed7,,all,756,0.05525290628016175,0.03555638493793876,-0.002348567747960458
2025,0,hgb_seed123,,all,756,0.0551406260378742,0.03555224112274465,-0.0032121253316397176
2025,0,hgb_seed_mean,,all,756,0.054687231466628114,0.03518914290136333,-0.0024970902178110426
2025,0,hgb_seed_mean+lag_k16_d3,0.0,all,756,0.054687231466628114,0.03518914290136333,-0.0024970902178110426
2025,0,hgb_seed_mean+lag_k16_d3,0.05,all,756,0.05442705712457142,0.03501054903961369,-0.0024867103703140035
2025,0,hgb_seed_mean+lag_k16_d3,0.1,all,756,0.05421293329719524,0.03489237979429337,-0.002476330522816926
2025,0,hgb_seed_mean+lag_k16_d3,0.15,all,756,0.05404540733326842,0.03481061639892338,-0.0024659506753198822
2025,0,hgb_seed_mean+lag_k16_d3,0.2,all,756,0.053924913524637665,0.03476183250341118,-0.002455570827822808
2025,0,hgb_seed_mean+lag_k16_d3,0.25,all,756,0.05385176757682498,0.03474593359315447,-0.002445190980325776
2025,0,hgb_seed_mean+lag_k16_d3,0.3,all,756,0.053826162517358486,0.034761155328132,-0.002434811132828722
2025,0,hgb_seed_mean+lag_k16_d3,0.35,all,756,0.05384816616403738,0.03482450085296228,-0.0024244312853316874
2025,0,hgb_seed_mean+lag_k16_d3,0.4,all,756,0.05391772023001765,0.034916127272527644,-0.0024140514378346157
2025,0,hgb_seed_mean+lag_k16_d3,0.45,all,756,0.054034641093127576,0.03504269892713835,-0.0024036715903375423
2025,0,hgb_seed_mean+lag_k16_d3,0.5,all,756,0.0541986222058435,0.035206087296888774,-0.0023932917428405105
2025,0,hgb_seed_mean+lag_k16_d3,0.55,all,756,0.05440923807266899,0.03539579586386294,-0.0023829118953434553
2025,0,hgb_seed_mean+lag_k16_d3,0.6,all,756,0.05466594967594523,0.035624846811782046,-0.0023725320478464023
2025,0,hgb_seed_mean+lag_k16_d3,0.65,all,756,0.054968111191722444,0.03588439087409363,-0.002362152200349351
2025,0,hgb_seed_mean+lag_k16_d3,0.7,all,756,0.05531497780607103,0.03618481776626424,-0.002351772352852294
2025,0,hgb_seed_mean+lag_k16_d3,0.75,all,756,0.05570571442028799,0.03650207578213233,-0.0023413925053552423
2025,0,hgb_seed_mean+lag_k16_d3,0.8,all,756,0.05613940502135033,0.03686558408796762,-0.0023310126578581893
2025,0,hgb_seed_mean+lag_k16_d3,0.85,all,756,0.05661506249149363,0.03728784830857436,-0.002320632810361136
2025,0,hgb_seed_mean+lag_k16_d3,0.9,all,756,0.05713163863717044,0.03773594110349242,-0.002310252962864085
2025,0,hgb_seed_mean+lag_k16_d3,0.95,all,756,0.057688034231621256,0.03819899691834869,-0.002299873115367032
2025,0,hgb_seed_mean+lag_k16_d3,1.0,all,756,0.05828310888531229,0.03868317158701904,-0.0022894932678699763
2025,0,hgb_seed_mean+base_k6,0.0,all,756,0.054687231466628114,0.03518914290136333,-0.0024970902178110426
2025,0,hgb_seed_mean+base_k6,0.05,all,756,0.054518100783256085,0.03511704811647399,-0.0025325984870595876
2025,0,hgb_seed_mean+base_k6,0.1,all,756,0.054395170075858486,0.035083721060579484,-0.0025681067563080987
2025,0,hgb_seed_mean+base_k6,0.15,all,756,0.05431875301578148,0.03509836809409982,-0.002603615025556639
2025,0,hgb_seed_mean+base_k6,0.2,all,756,0.054289046020693385,0.03513690649830051,-0.0026391232948051488
2025,0,hgb_seed_mean+base_k6,0.25,all,756,0.054306125745849865,0.035205991514272485,-0.0026746315640537024
2025,0,hgb_seed_mean+base_k6,0.3,all,756,0.05436994809865783,0.03532875729658303,-0.0027101398333022344
2025,0,hgb_seed_mean+base_k6,0.35,all,756,0.05448034880594132,0.03549216579784401,-0.002745648102550785
2025,0,hgb_seed_mean+base_k6,0.4,all,756,0.05463704551696507,0.03568344348957259,-0.0027811563717992987
2025,0,hgb_seed_mean+base_k6,0.45,all,756,0.054839641379830266,0.035882094451977486,-0.0028166646410478107
2025,0,hgb_seed_mean+base_k6,0.5,all,756,0.05508762998671722,0.036086210687256,-0.002852172910296363
2025,0,hgb_seed_mean+base_k6,0.55,all,756,0.055380401546739774,0.03633335355373828,-0.0028876811795448946
2025,0,hgb_seed_mean+base_k6,0.6,all,756,0.055717250115582755,0.03659708296377704,-0.002923189448793428
