protocol,partition,candidate,n,rmse,mae
exact_hidden_doy,exact2020,factor_abs_w0.100,222,0.07346853876558497,0.05330323589328677
exact_hidden_doy,exact2020,factor_abs_w0.125,222,0.08066001915815164,0.060157994097471704
exact_hidden_doy,exact2020,factor_abs_w0.150,222,0.08845328400625761,0.06767369508703486
exact_hidden_doy,exact2020,factor_abs_w0.175,222,0.09670294965017918,0.07545877061545873
exact_hidden_doy,exact2020,factor_abs_w0.200,222,0.10530180316240388,0.08368152733312317
exact_hidden_doy,exact2020,factor_abs_w0.225,222,0.11417097392120892,0.09227779277667784
exact_hidden_doy,exact2020,factor_abs_w0.250,222,0.12325211998840517,0.10108321223250154
exact_hidden_doy,exact2020,factor_abs_w0.275,222,0.132501664652978,0.10994026398324697
exact_hidden_doy,exact2020,factor_abs_w0.300,222,0.14188667819298395,0.11890247670573512
exact_hidden_doy,exact2020,factor_abs_w0.325,222,0.1513819672884577,0.12799515886278787
exact_hidden_doy,exact2020,factor_abs_w0.350,222,0.16096801809758093,0.13714529511266627
exact_hidden_doy,exact2020,factor_abs_w0.375,222,0.1706295341934031,0.1462954313625445
exact_hidden_doy,exact2020,factor_abs_w0.400,222,0.18035438804339488,0.15544556761242284
exact_hidden_doy,exact2020,factor_abs_w0.425,222,0.19013286115927555,0.16459570386230118
exact_hidden_doy,exact2020,factor_abs_w0.450,222,0.19995708728967915,0.17374584011217947
exact_hidden_doy,exact2020,factor_abs_w0.475,222,0.209820639787385,0.18289597636205784
exact_hidden_doy,exact2020,factor_abs_w0.500,222,0.21971822241875585,0.19204611261193613
exact_hidden_doy,exact2020,factor_z_w0.000,222,0.05531092808775867,0.037629656313872696
exact_hidden_doy,exact2020,factor_z_w0.025,222,0.055042093538872926,0.03754806507713492
exact_hidden_doy,exact2020,factor_z_w0.050,222,0.054939742414541505,0.03757201581956101
exact_hidden_doy,exact2020,factor_z_w0.075,222,0.0550048040832036,0.03773371853201453
exact_hidden_doy,exact2020,factor_z_w0.100,222,0.055236686976215026,0.03795903181577057
exact_hidden_doy,exact2020,factor_z_w0.125,222,0.055633305170611796,0.03826573778981115
exact_hidden_doy,exact2020,factor_z_w0.150,222,0.05619117048545783,0.038699321431840565
exact_hidden_doy,exact2020,factor_z_w0.175,222,0.056905540829223854,0.03932998414392213
exact_hidden_doy,exact2020,factor_z_w0.200,222,0.05777061064095173,0.040069190378481945
exact_hidden_doy,exact2020,factor_z_w0.225,222,0.058779726699022136,0.04086313379767994
exact_hidden_doy,exact2020,factor_z_w0.250,222,0.05992561245424478,0.04172251413631426
exact_hidden_doy,exact2020,factor_z_w0.275,222,0.06120058598936978,0.04260310669791455
exact_hidden_doy,exact2020,factor_z_w0.300,222,0.06259676000472757,0.04354004878912734
exact_hidden_doy,exact2020,factor_z_w0.325,222,0.06410621608672581,0.04449600947415892
exact_hidden_doy,exact2020,factor_z_w0.350,222,0.06572114925233596,0.045476180907296354
exact_hidden_doy,exact2020,factor_z_w0.375,222,0.06743398191831,0.04650827096529052
exact_hidden_doy,exact2020,factor_z_w0.400,222,0.06923744879681376,0.04755911589626441
exact_hidden_doy,exact2020,factor_z_w0.425,222,0.07112465574359685,0.04863061987428953
exact_hidden_doy,exact2020,factor_z_w0.450,222,0.07308911638281196,0.04973097137381235
exact_hidden_doy,exact2020,factor_z_w0.475,222,0.07512477056748065,0.050852187326917105
exact_hidden_doy,exact2020,factor_z_w0.500,222,0.07722598858049204,0.051985344154763746
exact_hidden_doy,exact2020,factor_robust_w0.000,222,0.05531092808775867,0.037629656313872696
exact_hidden_doy,exact2020,factor_robust_w0.025,222,0.05775190312714429,0.03899740475369175
exact_hidden_doy,exact2020,factor_robust_w0.050,222,0.061844773635015844,0.04240468919089422
exact_hidden_doy,exact2020,factor_robust_w0.075,222,0.06728877989239429,0.04746722832437573
exact_hidden_doy,exact2020,factor_robust_w0.100,222,0.07378545883254552,0.05357855643916933
exact_hidden_doy,exact2020,factor_robust_w0.125,222,0.08108216902089446,0.06058846619962392
exact_hidden_doy,exact2020,factor_robust_w0.150,222,0.08898231562180191,0.0682116627600227
exact_hidden_doy,exact2020,factor_robust_w0.175,222,0.09733908267486648,0.07613750938457597
exact_hidden_doy,exact2020,factor_robust_w0.200,222,0.10604457412254738,0.08441577426237018
exact_hidden_doy,exact2020,factor_robust_w0.225,222,0.11501963548873667,0.09317831342012498
exact_hidden_doy,exact2020,factor_robust_w0.250,222,0.12420584349124926,0.10208379072522056
exact_hidden_doy,exact2020,factor_robust_w0.275,222,0.1335596373500056,0.11107070518413392
exact_hidden_doy,exact2020,factor_robust_w0.300,222,0.14304814596155643,0.12016379073376127
exact_hidden_doy,exact2020,factor_robust_w0.325,222,0.15264624973871427,0.12939015189798922
exact_hidden_doy,exact2020,factor_robust_w0.350,222,0.1623345102491475,0.13864759530442153
exact_hidden_doy,exact2020,factor_robust_w0.375,222,0.17209770201443317,0.14790503871085375
exact_hidden_doy,exact2020,factor_robust_w0.400,222,0.1819237615644206,0.15716248211728603
exact_hidden_doy,exact2020,factor_robust_w0.425,222,0.19180302700199792,0.1664199255237183
exact_hidden_doy,exact2020,factor_robust_w0.450,222,0.2017276814787488,0.17567736893015054
exact_hidden_doy,exact2020,factor_robust_w0.475,222,0.21169134121341715,0.18493481233658282
exact_hidden_doy,exact2020,factor_robust_w0.500,222,0.22168874706885938,0.19419225574301507
exact_hidden_doy,exact2020,factor_peer_w0.000,222,0.05531092808775867,0.037629656313872696
exact_hidden_doy,exact2020,factor_peer_w0.025,222,0.05510391523380547,0.037674331624578644
exact_hidden_doy,exact2020,factor_peer_w0.050,222,0.055051257499249266,0.03780095492210489
exact_hidden_doy,exact2020,factor_peer_w0.075,222,0.05515339699775436,0.03803454645499541
