dataset,partition,cohort,lag_weight,peer_weight,alpha,beta,n,coverage,rmse,baseline_rmse,delta_rmse
exact,exact_2020,all,0.250000000,0.100000000,0.275000000,-0.200000000,222,0.941441441,0.055112729,0.055301391,-0.000188662
exact,exact_2021,all,0.250000000,0.100000000,0.275000000,-0.200000000,130,0.884615385,0.076970579,0.077316350,-0.000345771
exact,exact_2022,all,0.250000000,0.100000000,0.275000000,-0.200000000,192,0.812500000,0.066109000,0.066372413,-0.000263413
exact,exact_2023,all,0.250000000,0.100000000,0.275000000,-0.200000000,169,0.958579882,0.068827986,0.070550725,-0.001722739
exact,exact_2024,all,0.250000000,0.100000000,0.275000000,-0.200000000,152,0.927631579,0.050560857,0.051238653,-0.000677796
random,random_0,all,0.250000000,0.100000000,0.275000000,-0.200000000,2644,0.695537065,0.072494673,0.073433179,-0.000938507
random,random_0,year2025,0.250000000,0.100000000,0.275000000,-0.200000000,756,0.940476190,0.051596755,0.052464820,-0.000868065
random,random_1,all,0.250000000,0.100000000,0.275000000,-0.200000000,2644,0.692133132,0.065525671,0.066541457,-0.001015786
random,random_1,year2025,0.250000000,0.100000000,0.275000000,-0.200000000,756,0.933862434,0.054779753,0.055045718,-0.000265964
random,random_2,all,0.250000000,0.100000000,0.275000000,-0.200000000,2644,0.669062027,0.067381780,0.068311653,-0.000929873
random,random_2,year2025,0.250000000,0.100000000,0.275000000,-0.200000000,756,0.927248677,0.075640789,0.076608182,-0.000967393
exact,exact_2019,all,0.250000000,0.100000000,0.300000000,-0.100000000,249,0.879518072,0.056096165,0.057195772,-0.001099607
exact,exact_2020,all,0.250000000,0.100000000,0.300000000,-0.100000000,222,0.941441441,0.055199445,0.055301391,-0.000101946
exact,exact_2021,all,0.250000000,0.100000000,0.300000000,-0.100000000,130,0.884615385,0.077000670,0.077316350,-0.000315680
exact,exact_2022,all,0.250000000,0.100000000,0.300000000,-0.100000000,192,0.812500000,0.065949168,0.066372413,-0.000423245
exact,exact_2023,all,0.250000000,0.100000000,0.300000000,-0.100000000,169,0.958579882,0.069014730,0.070550725,-0.001535995
exact,exact_2024,all,0.250000000,0.100000000,0.300000000,-0.100000000,152,0.927631579,0.050683091,0.051238653,-0.000555562
random,random_0,all,0.250000000,0.100000000,0.300000000,-0.100000000,2644,0.695537065,0.072557893,0.073433179,-0.000875286
random,random_0,year2025,0.250000000,0.100000000,0.300000000,-0.100000000,756,0.940476190,0.051611012,0.052464820,-0.000853809
random,random_1,all,0.250000000,0.100000000,0.300000000,-0.100000000,2644,0.692133132,0.065525113,0.066541457,-0.001016343
random,random_1,year2025,0.250000000,0.100000000,0.300000000,-0.100000000,756,0.933862434,0.054739560,0.055045718,-0.000306158
random,random_2,all,0.250000000,0.100000000,0.300000000,-0.100000000,2644,0.669062027,0.067426627,0.068311653,-0.000885026
random,random_2,year2025,0.250000000,0.100000000,0.300000000,-0.100000000,756,0.927248677,0.075665243,0.076608182,-0.000942939
exact,exact_2019,all,0.250000000,0.100000000,0.300000000,-0.125000000,249,0.879518072,0.056133216,0.057195772,-0.001062556
exact,exact_2020,all,0.250000000,0.100000000,0.300000000,-0.125000000,222,0.941441441,0.055183684,0.055301391,-0.000117707
exact,exact_2021,all,0.250000000,0.100000000,0.300000000,-0.125000000,130,0.884615385,0.076992617,0.077316350,-0.000323734
exact,exact_2022,all,0.250000000,0.100000000,0.300000000,-0.125000000,192,0.812500000,0.065984466,0.066372413,-0.000387947
exact,exact_2023,all,0.250000000,0.100000000,0.300000000,-0.125000000,169,0.958579882,0.068953309,0.070550725,-0.001597416
exact,exact_2024,all,0.250000000,0.100000000,0.300000000,-0.125000000,152,0.927631579,0.050650109,0.051238653,-0.000588544
random,random_0,all,0.250000000,0.100000000,0.300000000,-0.125000000,2644,0.695537065,0.072539290,0.073433179,-0.000893889
random,random_0,year2025,0.250000000,0.100000000,0.300000000,-0.125000000,756,0.940476190,0.051597389,0.052464820,-0.000867432
random,random_1,all,0.250000000,0.100000000,0.300000000,-0.125000000,2644,0.692133132,0.065517881,0.066541457,-0.001023575
random,random_1,year2025,0.250000000,0.100000000,0.300000000,-0.125000000,756,0.933862434,0.054750523,0.055045718,-0.000295195
random,random_2,all,0.250000000,0.100000000,0.300000000,-0.125000000,2644,0.669062027,0.067412077,0.068311653,-0.000899577
random,random_2,year2025,0.250000000,0.100000000,0.300000000,-0.125000000,756,0.927248677,0.075652839,0.076608182,-0.000955343
exact,exact_2019,all,0.250000000,0.100000000,0.300000000,-0.150000000,249,0.879518072,0.056175259,0.057195772,-0.001020512
exact,exact_2020,all,0.250000000,0.100000000,0.300000000,-0.150000000,222,0.941441441,0.055169992,0.055301391,-0.000131398
exact,exact_2021,all,0.250000000,0.100000000,0.300000000,-0.150000000,130,0.884615385,0.076986489,0.077316350,-0.000329861
exact,exact_2022,all,0.250000000,0.100000000,0.300000000,-0.150000000,192,0.812500000,0.066022523,0.066372413,-0.000349890
exact,exact_2023,all,0.250000000,0.100000000,0.300000000,-0.150000000,169,0.958579882,0.068893210,0.070550725,-0.001657515
exact,exact_2024,all,0.250000000,0.100000000,0.300000000,-0.150000000,152,0.927631579,0.050618506,0.051238653,-0.000620147
random,random_0,all,0.250000000,0.100000000,0.300000000,-0.150000000,2644,0.695537065,0.072522522,0.073433179,-0.000910657
random,random_0,year2025,0.250000000,0.100000000,0.300000000,-0.150000000,756,0.940476190,0.051586373,0.052464820,-0.000878448
random,random_1,all,0.250000000,0.100000000,0.300000000,-0.150000000,2644,0.692133132,0.065512547,0.066541457,-0.001028910
random,random_1,year2025,0.250000000,0.100000000,0.300000000,-0.150000000,756,0.933862434,0.054763876,0.055045718,-0.000281842
random,random_2,all,0.250000000,0.100000000,0.300000000,-0.150000000,2644,0.669062027,0.067399596,0.068311653,-0.000912058
random,random_2,year2025,0.250000000,0.100000000,0.300000000,-0.150000000,756,0.927248677,0.075642385,0.076608182,-0.000965797
exact,exact_2019,all,0.250000000,0.100000000,0.300000000,-0.175000000,249,0.879518072,0.056222284,0.057195772,-0.000973488
exact,exact_2020,all,0.250000000,0.100000000,0.300000000,-0.175000000,222,0.941441441,0.055158370,0.055301391,-0.000143020
exact,exact_2021,all,0.250000000,0.100000000,0.300000000,-0.175000000,130,0.884615385,0.076982288,0.077316350,-0.000334063
exact,exact_2022,all,0.250000000,0.100000000,0.300000000,-0.175000000,192,0.812500000,0.066063334,0.066372413,-0.000309079
exact,exact_2023,all,0.250000000,0.100000000,0.300000000,-0.175000000,169,0.958579882,0.068834436,0.070550725,-0.001716289
exact,exact_2024,all,0.250000000,0.100000000,0.300000000,-0.175000000,152,0.927631579,0.050588284,0.051238653,-0.000650369
random,random_0,all,0.250000000,0.100000000,0.300000000,-0.175000000,2644,0.695537065,0.072507588,0.073433179,-0.000925591
random,random_0,year2025,0.250000000,0.100000000,0.300000000,-0.175000000,756,0.940476190,0.051577965,0.052464820,-0.000886856
random,random_1,all,0.250000000,0.100000000,0.300000000,-0.175000000,2644,0.692133132,0.065509111,0.066541457,-0.001032346
random,random_1,year2025,0.250000000,0.100000000,0.300000000,-0.175000000,756,0.933862434,0.054779617,0.055045718,-0.000266100
random,random_2,all,0.250000000,0.100000000,0.300000000,-0.175000000,2644,0.669062027,0.067389185,0.068311653,-0.000922469
random,random_2,year2025,0.250000000,0.100000000,0.300000000,-0.175000000,756,0.927248677,0.075633880,0.076608182,-0.000974303
exact,exact_2019,all,0.250000000,0.100000000,0.300000000,-0.200000000,249,0.879518072,0.056274277,0.057195772,-0.000921494
exact,exact_2020,all,0.250000000,0.100000000,0.300000000,-0.200000000,222,0.941441441,0.055148820,0.055301391,-0.000152571
exact,exact_2021,all,0.250000000,0.100000000,0.300000000,-0.200000000,130,0.884615385,0.076980012,0.077316350,-0.000336338
exact,exact_2022,all,0.250000000,0.100000000,0.300000000,-0.200000000,192,0.812500000,0.066106895,0.066372413,-0.000265518
exact,exact_2023,all,0.250000000,0.100000000,0.300000000,-0.200000000,169,0.958579882,0.068776990,0.070550725,-0.001773735
exact,exact_2024,all,0.250000000,0.100000000,0.300000000,-0.200000000,152,0.927631579,0.050559446,0.051238653,-0.000679207
random,random_0,all,0.250000000,0.100000000,0.300000000,-0.200000000,2644,0.695537065,0.072494491,0.073433179,-0.000938688
random,random_0,year2025,0.250000000,0.100000000,0.300000000,-0.200000000,756,0.940476190,0.051572166,0.052464820,-0.000892654
random,random_1,all,0.250000000,0.100000000,0.300000000,-0.200000000,2644,0.692133132,0.065507574,0.066541457,-0.001033883
random,random_1,year2025,0.250000000,0.100000000,0.300000000,-0.200000000,756,0.933862434,0.054797745,0.055045718,-0.000247973
random,random_2,all,0.250000000,0.100000000,0.300000000,-0.200000000,2644,0.669062027,0.067380845,0.068311653,-0.000930808
random,random_2,year2025,0.250000000,0.100000000,0.300000000,-0.200000000,756,0.927248677,0.075627325,0.076608182,-0.000980858
exact,exact_2019,all,0.250000000,0.100000000,0.325000000,-0.100000000,249,0.879518072,0.056085561,0.057195772,-0.001110210
exact,exact_2020,all,0.250000000,0.100000000,0.325000000,-0.100000000,222,0.941441441,0.055238179,0.055301391,-0.000063212
exact,exact_2021,all,0.250000000,0.100000000,0.325000000,-0.100000000,130,0.884615385,0.077009569,0.077316350,-0.000306781
exact,exact_2022,all,0.250000000,0.100000000,0.325000000,-0.100000000,192,0.812500000,0.065950758,0.066372413,-0.000421655
exact,exact_2023,all,0.250000000,0.100000000,0.325000000,-0.100000000,169,0.958579882,0.068964947,0.070550725,-0.001585777
exact,exact_2024,all,0.250000000,0.100000000,0.325000000,-0.100000000,152,0.927631579,0.050683612,0.051238653,-0.000555041
random,random_0,all,0.250000000,0.100000000,0.325000000,-0.100000000,2644,0.695537065,0.072561620,0.073433179,-0.000871560
random,random_0,year2025,0.250000000,0.100000000,0.325000000,-0.100000000,756,0.940476190,0.051589776,0.052464820,-0.000875044
random,random_1,all,0.250000000,0.100000000,0.325000000,-0.100000000,2644,0.692133132,0.065510792,0.066541457,-0.001030665
random,random_1,year2025,0.250000000,0.100000000,0.325000000,-0.100000000,756,0.933862434,0.054761144,0.055045718,-0.000284574
random,random_2,all,0.250000000,0.100000000,0.325000000,-0.100000000,2644,0.669062027,0.067430060,0.068311653,-0.000881593
random,random_2,year2025,0.250000000,0.100000000,0.325000000,-0.100000000,756,0.927248677,0.075653992,0.076608182,-0.000954191
exact,exact_2019,all,0.250000000,0.100000000,0.325000000,-0.125000000,249,0.879518072,0.056122959,0.057195772,-0.001072813
exact,exact_2020,all,0.250000000,0.100000000,0.325000000,-0.125000000,222,0.941441441,0.055222707,0.055301391,-0.000078683
exact,exact_2021,all,0.250000000,0.100000000,0.325000000,-0.125000000,130,0.884615385,0.077001930,0.077316350,-0.000314420
