seed,method,n,rmse,mae,cohort
70404,abs_regular,2644,0.07300229092901277,0.0428853857581886,all
70404,sq_clip,2644,0.07059507957888234,0.04244009529883125,all
70404,sq_regular,1888,0.0651420196279721,0.04326251513992682,history
70404,sq_wide,1888,0.0652659537161441,0.04315823053586676,history
70404,abs_regular,1888,0.06789431782143643,0.04396643753591974,history
70404,sq_clip,1888,0.06490744835519541,0.04308662261898757,history
70404,sq_regular,756,0.08348533683243971,0.041084911564653666,2025
70404,sq_wide,756,0.08324560867644494,0.04096631627113874,2025
70404,abs_regular,756,0.08441961113445898,0.040185616239198654,2025
70404,sq_clip,756,0.08311646903255941,0.04082548738817631,2025
70404,sq_regular,379,0.10199777719975328,0.04594611828588821,new2025
70404,sq_wide,379,0.1023188222219931,0.046215548410122854,new2025
70404,abs_regular,379,0.10332114713066913,0.04546555145366639,new2025
70404,sq_clip,379,0.10183581986596965,0.04615835999495709,new2025
70404,sq_regular,377,0.059311383595816565,0.036197915948346246,shared2025
70404,sq_wide,377,0.05806673028909349,0.035689236746801925,shared2025
70404,abs_regular,377,0.059659505860705224,0.03487767075834117,shared2025
70404,sq_clip,377,0.05854736204534085,0.03546432368003329,shared2025
