group,min_n,shrink,clip,stat,prior,exact_rmse_pooled,exact_baseline_rmse_pooled,exact_delta_rmse_pooled,exact_coverage_weighted,exact_improved_runs,exact_runs,random_rmse_pooled,random_baseline_rmse_pooled,random_delta_rmse_pooled,random_coverage_weighted,random_improved_runs,random_runs,random2025_rmse_pooled,random2025_baseline_rmse_pooled,random2025_delta_rmse_pooled,random2025_coverage_weighted,random2025_improved_runs,random2025_runs,worst_delta,mean_delta,all_three_improve
aoi_bin32,8,0.1,0.01,mean,zero,0.06257921171440138,0.06260634739886303,-2.71356844616516e-05,0.24685816876122083,4,6,0.06944170747192613,0.06944909527214516,-7.387800219027518e-06,0.7609682299546142,2,3,0.06242241843872247,0.062438112899989955,-1.5694461267486137e-05,0.23985890652557318,2,3,-7.387800219027518e-06,-1.6739315316055086e-05,True
aoi_bin32,5,0.1,0.01,trim10,zero,0.06248619654570546,0.06260634739886303,-0.00012015085315757179,0.6983842010771992,6,6,0.0694420080569656,0.06944909527214516,-7.087215179557571e-06,0.791981845688351,2,3,0.06242454080138866,0.062438112899989955,-1.3572098601297156e-05,0.30687830687830686,2,3,-7.087215179557571e-06,-4.693672231280884e-05,True
aoi_bin32,8,0.1,0.02,trim10,zero,0.06258405375621494,0.06260634739886303,-2.229364264809408e-05,0.24685816876122083,3,6,0.06944412390666069,0.06944909527214516,-4.971365484468526e-06,0.7609682299546142,2,3,0.062424795120322146,0.062438112899989955,-1.3317779667808283e-05,0.23985890652557318,2,3,-4.971365484468526e-06,-1.3527595933456963e-05,True
aoi_bin32,8,0.1,0.03,trim10,zero,0.06258405375621494,0.06260634739886303,-2.229364264809408e-05,0.24685816876122083,3,6,0.06944412390666069,0.06944909527214516,-4.971365484468526e-06,0.7609682299546142,2,3,0.062424795120322146,0.062438112899989955,-1.3317779667808283e-05,0.23985890652557318,2,3,-4.971365484468526e-06,-1.3527595933456963e-05,True
aoi_bin32,8,0.1,0.04,trim10,zero,0.06258405375621494,0.06260634739886303,-2.229364264809408e-05,0.24685816876122083,3,6,0.06944412390666069,0.06944909527214516,-4.971365484468526e-06,0.7609682299546142,2,3,0.062424795120322146,0.062438112899989955,-1.3317779667808283e-05,0.23985890652557318,2,3,-4.971365484468526e-06,-1.3527595933456963e-05,True
aoi_bin32,8,0.1,0.01,trim10,zero,0.06258405375621494,0.06260634739886303,-2.229364264809408e-05,0.24685816876122083,3,6,0.06944475343685814,0.06944909527214516,-4.341835287011153e-06,0.7609682299546142,2,3,0.062424795120322146,0.062438112899989955,-1.3317779667808283e-05,0.23985890652557318,2,3,-4.341835287011153e-06,-1.3317752534304506e-05,True
aoi,8,0.1,0.01,median,zero,0.06252036431863398,0.06260634739886303,-8.598308022905732e-05,0.9946140035906643,6,6,0.06944251755378922,0.06944909527214516,-6.5777183559379004e-06,1.0,2,3,0.062435037207074814,0.062438112899989955,-3.075692915140149e-06,1.0,1,3,-3.075692915140149e-06,-3.187883050004512e-05,True
aoi,8,0.1,0.02,median,zero,0.06252036431863398,0.06260634739886303,-8.598308022905732e-05,0.9946140035906643,6,6,0.06944251755378922,0.06944909527214516,-6.5777183559379004e-06,1.0,2,3,0.062435037207074814,0.062438112899989955,-3.075692915140149e-06,1.0,1,3,-3.075692915140149e-06,-3.187883050004512e-05,True
aoi,8,0.1,0.03,median,zero,0.06252036431863398,0.06260634739886303,-8.598308022905732e-05,0.9946140035906643,6,6,0.06944251755378922,0.06944909527214516,-6.5777183559379004e-06,1.0,2,3,0.062435037207074814,0.062438112899989955,-3.075692915140149e-06,1.0,1,3,-3.075692915140149e-06,-3.187883050004512e-05,True
aoi,8,0.1,0.04,median,zero,0.06252036431863398,0.06260634739886303,-8.598308022905732e-05,0.9946140035906643,6,6,0.06944251755378922,0.06944909527214516,-6.5777183559379004e-06,1.0,2,3,0.062435037207074814,0.062438112899989955,-3.075692915140149e-06,1.0,1,3,-3.075692915140149e-06,-3.187883050004512e-05,True
aoi,3,0.1,0.01,median,zero,0.06252208966503778,0.06260634739886303,-8.425773382525481e-05,1.0,6,6,0.06944251755378922,0.06944909527214516,-6.5777183559379004e-06,1.0,2,3,0.062435037207074814,0.062438112899989955,-3.075692915140149e-06,1.0,1,3,-3.075692915140149e-06,-3.1303715032110956e-05,True
aoi,3,0.1,0.02,median,zero,0.06252208966503778,0.06260634739886303,-8.425773382525481e-05,1.0,6,6,0.06944251755378922,0.06944909527214516,-6.5777183559379004e-06,1.0,2,3,0.062435037207074814,0.062438112899989955,-3.075692915140149e-06,1.0,1,3,-3.075692915140149e-06,-3.1303715032110956e-05,True
aoi,3,0.1,0.03,median,zero,0.06252208966503778,0.06260634739886303,-8.425773382525481e-05,1.0,6,6,0.06944251755378922,0.06944909527214516,-6.5777183559379004e-06,1.0,2,3,0.062435037207074814,0.062438112899989955,-3.075692915140149e-06,1.0,1,3,-3.075692915140149e-06,-3.1303715032110956e-05,True
aoi,3,0.1,0.04,median,zero,0.06252208966503778,0.06260634739886303,-8.425773382525481e-05,1.0,6,6,0.06944251755378922,0.06944909527214516,-6.5777183559379004e-06,1.0,2,3,0.062435037207074814,0.062438112899989955,-3.075692915140149e-06,1.0,1,3,-3.075692915140149e-06,-3.1303715032110956e-05,True
aoi,5,0.1,0.01,median,zero,0.06252208966503778,0.06260634739886303,-8.425773382525481e-05,1.0,6,6,0.06944251755378922,0.06944909527214516,-6.5777183559379004e-06,1.0,2,3,0.062435037207074814,0.062438112899989955,-3.075692915140149e-06,1.0,1,3,-3.075692915140149e-06,-3.1303715032110956e-05,True
aoi,5,0.1,0.02,median,zero,0.06252208966503778,0.06260634739886303,-8.425773382525481e-05,1.0,6,6,0.06944251755378922,0.06944909527214516,-6.5777183559379004e-06,1.0,2,3,0.062435037207074814,0.062438112899989955,-3.075692915140149e-06,1.0,1,3,-3.075692915140149e-06,-3.1303715032110956e-05,True
aoi,5,0.1,0.03,median,zero,0.06252208966503778,0.06260634739886303,-8.425773382525481e-05,1.0,6,6,0.06944251755378922,0.06944909527214516,-6.5777183559379004e-06,1.0,2,3,0.062435037207074814,0.062438112899989955,-3.075692915140149e-06,1.0,1,3,-3.075692915140149e-06,-3.1303715032110956e-05,True
