group,model,cap,cohort,n,rmse,baseline_rmse,delta_rmse
group_aoiyear,ridge100,0.06,new_history,3402,0.06543503221392105,0.06642257497532737,-0.000987542761406321
group_aoiyear,ridge100,0.06,new_2025,623,0.13875997530168105,0.13720534816020127,0.0015546271414797752
group_aoiyear,ridge100,0.06,shared_2025,789,0.06009670747980538,0.05919489273644048,0.0009018147433649051
group_aoiyear,ridge100,0.08,all,4814,0.07816374848957292,0.07828438403249433,-0.0001206355429214101
group_aoiyear,ridge100,0.08,history,3402,0.06543211051590796,0.06642257497532737,-0.0009904644594194156
group_aoiyear,ridge100,0.08,2025,1412,0.10253959077765766,0.10131168943801397,0.0012279013396436916
group_aoiyear,ridge100,0.08,new,4025,0.08123344990506938,0.08150395229491074,-0.00027050238984135944
group_aoiyear,ridge100,0.08,shared,789,0.060111980502049356,0.05919489273644048,0.0009170877656088788
group_aoiyear,ridge100,0.08,new_history,3402,0.06543211051590796,0.06642257497532737,-0.0009904644594194156
group_aoiyear,ridge100,0.08,new_2025,623,0.13875897409705554,0.13720534816020127,0.0015536259368542638
group_aoiyear,ridge100,0.08,shared_2025,789,0.060111980502049356,0.05919489273644048,0.0009170877656088788
group_aoiyear,hgb8,0.02,all,4814,0.07821600124601126,0.07828438403249433,-6.838278648306495e-05
group_aoiyear,hgb8,0.02,history,3402,0.0659824059307517,0.06642257497532737,-0.00044016904457566675
group_aoiyear,hgb8,0.02,2025,1412,0.10182332743604589,0.10131168943801397,0.0005116379980319163
group_aoiyear,hgb8,0.02,new,4025,0.08138471453847132,0.08150395229491074,-0.00011923775643941925
group_aoiyear,hgb8,0.02,shared,789,0.05947957918482682,0.05919489273644048,0.0002846864483863412
group_aoiyear,hgb8,0.02,new_history,3402,0.0659824059307517,0.06642257497532737,-0.00044016904457566675
group_aoiyear,hgb8,0.02,new_2025,623,0.1379060422114879,0.13720534816020127,0.0007006940512866155
group_aoiyear,hgb8,0.02,shared_2025,789,0.05947957918482682,0.05919489273644048,0.0002846864483863412
group_aoiyear,hgb8,0.04,all,4814,0.07818431968149538,0.07828438403249433,-0.00010006435099894906
group_aoiyear,hgb8,0.04,history,3402,0.06591698262523851,0.06642257497532737,-0.0005055923500888598
group_aoiyear,hgb8,0.04,2025,1412,0.1018424648232677,0.10131168943801397,0.0005307753852537289
group_aoiyear,hgb8,0.04,new,4025,0.08135230483680785,0.08150395229491074,-0.0001516474581028937
group_aoiyear,hgb8,0.04,shared,789,0.059451610241648495,0.05919489273644048,0.00025671750520801784
group_aoiyear,hgb8,0.04,new_history,3402,0.06591698262523851,0.06642257497532737,-0.0005055923500888598
group_aoiyear,hgb8,0.04,new_2025,623,0.13795333623073167,0.13720534816020127,0.0007479880705303921
group_aoiyear,hgb8,0.04,shared_2025,789,0.059451610241648495,0.05919489273644048,0.00025671750520801784
group_aoiyear,hgb8,0.06,all,4814,0.07818390903149572,0.07828438403249433,-0.00010047500099860662
group_aoiyear,hgb8,0.06,history,3402,0.06591629339063114,0.06642257497532737,-0.0005062815846962332
group_aoiyear,hgb8,0.06,2025,1412,0.1018424648232677,0.10131168943801397,0.0005307753852537289
group_aoiyear,hgb8,0.06,new,4025,0.08135183281512677,0.08150395229491074,-0.00015211947978396867
group_aoiyear,hgb8,0.06,shared,789,0.059451610241648495,0.05919489273644048,0.00025671750520801784
group_aoiyear,hgb8,0.06,new_history,3402,0.06591629339063114,0.06642257497532737,-0.0005062815846962332
