radius,method,policy,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
8,mean,override6035,bucket_0.005_0,0.06677469154043031,0.06303209182484233,0.07039136746547177
4,mean,dist502,bucket_0.005_0.03,0.06677472870137725,0.06298996836922904,0.07035106231074385
8,median,override6035,bucket_0.005_0.02,0.06677496728365362,0.06304735821073926,0.07037728903397665
2,median,dist503,bucket_0.005_0.03,0.06677496955943099,0.06298448237924759,0.07040191923619944
2,median,dist503,bucket_0.005_0.01,0.06677506931547644,0.06297947900929568,0.07039091049394569
4,mean,dist503,bucket_0_0.01,0.06677512037307436,0.06297853245728403,0.07038092225366686
4,mean,dist502,bucket_0.005_0.01,0.06677549302812796,0.06298398313406219,0.07037827994321874
2,median,override5525,bucket_0.01_0.03,0.06677553188819038,0.06303954614409928,0.07038772939310456
4,median,override5525,bucket_0.005_0.03,0.06677563157763956,0.0630587278955663,0.07033330478299517
2,median,dist502,bucket_0.01_0.02,0.06677567890948223,0.06298348274183925,0.07039082992171339
2,median,override5525,route_plus_direct_0.01,0.06677570719529093,0.06303453634265052,0.07037668345407823
2,median,override5525,bucket_0.01_0.01,0.06677570719529093,0.06303453634265052,0.07037668345407823
8,mean,override5525,bucket_0_0.005,0.06677577118435339,0.06303493751334027,0.07038209419409344
4,mean,override5525,route_plus_direct_0.005,0.06677583744654562,0.06303836156373357,0.07037460780513495
4,mean,override5525,bucket_0.005_0.005,0.06677583744654562,0.06303836156373357,0.07037460780513495
2,mean,dist502,bucket_0.005_0.03,0.06677600303104678,0.06298204935376372,0.07040721952059775
4,median,dist503,bucket_0_0.01,0.0667761736100291,0.06298166303014252,0.07037923870057927
4,median,dist503,bucket_0.005_0.02,0.06677625779937484,0.06299936255791165,0.07036006236153572
8,mean,override6035,bucket_0.01_0.01,0.06677647480328018,0.06304045636972898,0.07038636944298299
8,mean,override6035,route_plus_direct_0.01,0.06677647480328018,0.06304045636972898,0.07038636944298299
8,median,override6035,bucket_0.005_0,0.06677664398289715,0.063036841204753,0.07039391716422046
2,mean,dist503,bucket_0.005_0.01,0.06677705010665028,0.06297998403674597,0.07039270402503828
2,mean,override5525,route_plus_direct_0.01,0.06677720057981401,0.06303347877630887,0.0703766306093466
2,mean,override5525,bucket_0.01_0.01,0.06677720057981401,0.06303347877630887,0.0703766306093466
4,mean,override5525,bucket_0.01_0.03,0.06677720727898162,0.06305211495508274,0.07033979503637021
8,median,override5525,bucket_0_0.005,0.06677730765394253,0.0630364846579561,0.070382527238319
4,median,override5525,bucket_0.005_0.005,0.0667774855259604,0.06304701516524136,0.07037613060388392
4,median,override5525,route_plus_direct_0.005,0.0667774855259604,0.06304701516524136,0.07037613060388392
4,median,dist502,bucket_0.005_0.01,0.0667777666143036,0.06299453222805179,0.07037861146925646
4,median,override5525,bucket_0.01_0.02,0.06677781776278134,0.06306580335969207,0.07035019388084948
4,mean,dist503,bucket_0.005_0.03,0.06677786894095722,0.06299386280597913,0.07035324638408026
16,median,override6035,bucket_0_0.02,0.06677819486800766,0.06303960941456745,0.07038255208550442
4,mean,override5525,bucket_0.01_0.01,0.06677827870219315,0.06304703388802904,0.07036679439115041
4,mean,override5525,route_plus_direct_0.01,0.06677827870219315,0.06304703388802904,0.07036679439115041
2,median,dist502,bucket_0_0.005,0.0667782917773437,0.06297819330401314,0.07040011938510651
2,mean,dist502,bucket_0.01_0.02,0.06677854288417934,0.0629832030513879,0.07039374583487726
8,mean,override6035,bucket_0.01_0.02,0.06677856322217936,0.06304949879702877,0.07038246872921834
16,mean,override6035,bucket_0.005_0,0.06677865672560955,0.06303644210770488,0.0703965979764288
4,mean,dist502,bucket_0.01_0.02,0.06677866427234273,0.06299690624331022,0.07036410564062111
16,mean,override5525,bucket_0_0.01,0.06677899019426295,0.06303999617911231,0.0703824218759778
2,median,dist503,bucket_0.01_0.02,0.06677903049485286,0.06298783460139654,0.07039258836890501
2,mean,dist503,bucket_0.005_0.03,0.06677905833936244,0.06298569970281571,0.0704088127073675
2,mean,override5525,bucket_0.01_0.03,0.06677913326006749,0.06303920039348168,0.07039277793905173
2,mean,dist502,bucket_0_0.005,0.06677924180532341,0.06297887104168405,0.07040149174160035
4,mean,dist503,bucket_0.005_0.01,0.06677924972560999,0.06298933087253124,0.07038041347706081
