split,seed,stat,alpha,base_rmse,rmse,delta
seed2,2,date,0.2000000000,0.0642663645,0.0750129773,0.0107466128
seed2,2,date,0.3000000000,0.0642663645,0.0857543815,0.0214880170
seed2,2,bin,0.0100000000,0.0642663645,0.0643664080,0.0001000435
seed2,2,bin,0.0200000000,0.0642663645,0.0645168701,0.0002505056
seed2,2,bin,0.0300000000,0.0642663645,0.0647173992,0.0004510347
seed2,2,bin,0.0500000000,0.0642663645,0.0652666970,0.0010003325
seed2,2,bin,0.0800000000,0.0642663645,0.0664512269,0.0021848624
seed2,2,bin,0.1000000000,0.0642663645,0.0674714555,0.0032050910
seed2,2,bin,0.1500000000,0.0642663645,0.0707681589,0.0065017944
seed2,2,bin,0.2000000000,0.0642663645,0.0750129773,0.0107466128
seed2,2,bin,0.3000000000,0.0642663645,0.0857543815,0.0214880170
seed70404,70404,median,0.0100000000,0.0667062567,0.0667690795,0.0000628229
seed70404,70404,median,0.0200000000,0.0667062567,0.0668782484,0.0001719918
seed70404,70404,median,0.0300000000,0.0667062567,0.0670335370,0.0003272803
seed70404,70404,median,0.0500000000,0.0667062567,0.0674811047,0.0007748481
seed70404,70404,median,0.0800000000,0.0667062567,0.0684875343,0.0017812776
seed70404,70404,median,0.1000000000,0.0667062567,0.0693743113,0.0026680547
seed70404,70404,median,0.1500000000,0.0667062567,0.0722980733,0.0055918167
seed70404,70404,median,0.2000000000,0.0667062567,0.0761337541,0.0094274974
seed70404,70404,median,0.3000000000,0.0667062567,0.0860254903,0.0193192337
seed70404,70404,mean,0.0100000000,0.0667062567,0.0667506444,0.0000443878
seed70404,70404,mean,0.0200000000,0.0667062567,0.0668352902,0.0001290335
seed70404,70404,mean,0.0300000000,0.0667062567,0.0669600413,0.0002537846
seed70404,70404,mean,0.0500000000,0.0667062567,0.0673288960,0.0006226394
seed70404,70404,mean,0.0800000000,0.0667062567,0.0681751944,0.0014689378
seed70404,70404,mean,0.1000000000,0.0667062567,0.0689291415,0.0022228849
seed70404,70404,mean,0.1500000000,0.0667062567,0.0714413299,0.0047350732
seed70404,70404,mean,0.2000000000,0.0667062567,0.0747736011,0.0080673444
seed70404,70404,mean,0.3000000000,0.0667062567,0.0834824490,0.0167761924
seed70404,70404,date,0.0100000000,0.0667062567,0.0667734160,0.0000671594
seed70404,70404,date,0.0200000000,0.0667062567,0.0668889876,0.0001827309
seed70404,70404,date,0.0300000000,0.0667062567,0.0670527209,0.0003464642
seed70404,70404,date,0.0500000000,0.0667062567,0.0675231686,0.0008169119
seed70404,70404,date,0.0800000000,0.0667062567,0.0685781915,0.0018719348
seed70404,70404,date,0.1000000000,0.0667062567,0.0695061927,0.0027999361
seed70404,70404,date,0.1500000000,0.0667062567,0.0725597841,0.0058535275
seed70404,70404,date,0.2000000000,0.0667062567,0.0765559444,0.0098496878
seed70404,70404,date,0.3000000000,0.0667062567,0.0868264365,0.0201201798
seed70404,70404,bin,0.0100000000,0.0667062567,0.0667734160,0.0000671594
seed70404,70404,bin,0.0200000000,0.0667062567,0.0668889876,0.0001827309
seed70404,70404,bin,0.0300000000,0.0667062567,0.0670527209,0.0003464642
seed70404,70404,bin,0.0500000000,0.0667062567,0.0675231686,0.0008169119
seed70404,70404,bin,0.0800000000,0.0667062567,0.0685781915,0.0018719348
seed70404,70404,bin,0.1000000000,0.0667062567,0.0695061927,0.0027999361
seed70404,70404,bin,0.1500000000,0.0667062567,0.0725597841,0.0058535275
seed70404,70404,bin,0.2000000000,0.0667062567,0.0765559444,0.0098496878
seed70404,70404,bin,0.3000000000,0.0667062567,0.0868264365,0.0201201798
released,-1,median,0.0100000000,0.0615333398,0.0616013727,0.0000680330
released,-1,median,0.0200000000,0.0615333398,0.0617170616,0.0001837218
released,-1,median,0.0300000000,0.0615333398,0.0618801390,0.0003467992
released,-1,median,0.0500000000,0.0615333398,0.0623468640,0.0008135242
released,-1,median,0.0800000000,0.0615333398,0.0633898359,0.0018564961
released,-1,median,0.1000000000,0.0615333398,0.0643050898,0.0027717500
released,-1,median,0.1500000000,0.0615333398,0.0673081812,0.0057748415
released,-1,median,0.2000000000,0.0615333398,0.0712240937,0.0096907540
released,-1,median,0.3000000000,0.0615333398,0.0812375085,0.0197041687
released,-1,mean,0.0100000000,0.0615333398,0.0615850494,0.0000517096
released,-1,mean,0.0200000000,0.0615333398,0.0616787030,0.0001453633
released,-1,mean,0.0300000000,0.0615333398,0.0618141101,0.0002807704
released,-1,mean,0.0500000000,0.0615333398,0.0622090098,0.0006756701
released,-1,mean,0.0800000000,0.0615333398,0.0631051399,0.0015718001
released,-1,mean,0.1000000000,0.0615333398,0.0638984534,0.0023651136
released,-1,mean,0.1500000000,0.0615333398,0.0665244784,0.0049911387
released,-1,mean,0.2000000000,0.0615333398,0.0699817301,0.0084483904
released,-1,mean,0.3000000000,0.0615333398,0.0789280844,0.0173947446
released,-1,date,0.0100000000,0.0615333398,0.0616110517,0.0000777120
