radius,method,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
2,mean,bucket_0_0.03,0.065722335284372,0.06172298114261614,0.0695830375584099
2,mean,bucket_0_0.02,0.065722335284372,0.06172298114261614,0.0695830375584099
2,mean,bucket_0_0.01,0.065722335284372,0.06172298114261614,0.0695830375584099
2,mean,bucket_0_0.005,0.065722335284372,0.06172298114261614,0.0695830375584099
2,median,bucket_0_0.01,0.065722335284372,0.06172298114261614,0.0695830375584099
4,median,bucket_0_0,0.065722335284372,0.06172298114261614,0.0695830375584099
4,mean,bucket_0_0,0.065722335284372,0.06172298114261614,0.0695830375584099
1,mean,bucket_0_0.01,0.065722335284372,0.06172298114261614,0.0695830375584099
1,mean,bucket_0_0.005,0.065722335284372,0.06172298114261614,0.0695830375584099
1,mean,bucket_0_0,0.065722335284372,0.06172298114261614,0.0695830375584099
1,mean,local_plus_direct_0,0.065722335284372,0.06172298114261614,0.0695830375584099
2,median,bucket_0_0.02,0.065722335284372,0.06172298114261614,0.0695830375584099
16,median,local_plus_direct_0,0.065722335284372,0.06172298114261614,0.0695830375584099
1,mean,bucket_0_0.02,0.065722335284372,0.06172298114261614,0.0695830375584099
1,mean,bucket_0_0.03,0.065722335284372,0.06172298114261614,0.0695830375584099
1,mean,bucket_0_0.05,0.065722335284372,0.06172298114261614,0.0695830375584099
2,median,bucket_0.005_0.03,0.06572259958782033,0.061726185626465306,0.0695772761154662
2,median,bucket_0.005_0.05,0.06572259958782033,0.061726185626465306,0.0695772761154662
2,median,local_plus_direct_0.005,0.06572259958782033,0.061726185626465306,0.0695772761154662
2,median,bucket_0.005_0,0.06572259958782033,0.061726185626465306,0.0695772761154662
2,median,bucket_0.005_0.01,0.06572259958782033,0.061726185626465306,0.0695772761154662
2,median,bucket_0.005_0.02,0.06572259958782033,0.061726185626465306,0.0695772761154662
2,median,bucket_0.005_0.005,0.06572259958782033,0.061726185626465306,0.0695772761154662
2,mean,local_plus_direct_0.005,0.06572269246706555,0.06172451051593079,0.06957712279017808
2,mean,bucket_0.005_0.005,0.06572269246706555,0.06172451051593079,0.06957712279017808
2,mean,bucket_0.005_0.01,0.06572269246706555,0.06172451051593079,0.06957712279017808
2,mean,bucket_0.005_0.05,0.06572269246706555,0.06172451051593079,0.06957712279017808
2,mean,bucket_0.005_0.03,0.06572269246706555,0.06172451051593079,0.06957712279017808
2,mean,bucket_0.005_0,0.06572269246706555,0.06172451051593079,0.06957712279017808
2,mean,bucket_0.005_0.02,0.06572269246706555,0.06172451051593079,0.06957712279017808
4,mean,bucket_0.005_0.01,0.0657228431836248,0.06173398936921005,0.06956647770385854
4,mean,bucket_0_0.005,0.0657231517946813,0.06172533153002898,0.06957965137875141
4,median,bucket_0_0.005,0.06572316063229111,0.06172536947081915,0.06957965137875141
4,mean,bucket_0_0.01,0.0657242271390557,0.06172795756321052,0.06957641689330922
4,median,bucket_0_0.01,0.06572424646029877,0.06172804036512229,0.06957641689330922
4,median,bucket_0.005_0,0.06572468126459373,0.06173942029990349,0.06957608684566745
4,median,local_plus_direct_0.005,0.06572550658305318,0.06174180799219861,0.06957270032771014
4,median,bucket_0.005_0.005,0.06572550658305318,0.06174180799219861,0.06957270032771014
4,mean,bucket_0.005_0.02,0.0657257703823297,0.061740067634597384,0.06956046303997597
8,mean,bucket_0.005_0,0.06572578628678323,0.061732198592223765,0.06958484595905945
8,mean,bucket_0_0.005,0.06572613049735533,0.06172789415519344,0.06958036952076162
16,mean,local_plus_direct_-0.01,0.06572626452755043,0.06171659008215179,0.06959620022797712
