year,bd,robust,base,alpha,n,rmse,mae,facn
2019,12,trimmean,base,1.0,249,0.09658718950333044,0.07503065111932049,247
2019,12,trimmean,base,1.5,249,0.1312677328455086,0.10441006854419595,247
2019,12,trimmean,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,12,trimmean,hgb,0.1,249,0.058418257795726666,0.040022048267049116,247
2019,12,trimmean,hgb,0.2,249,0.06027555780104719,0.041783128491034376,247
2019,12,trimmean,hgb,0.3,249,0.06321661143024924,0.0448580951727768,247
2019,12,trimmean,hgb,0.4,249,0.06709906200071053,0.04852759761291736,247
2019,12,trimmean,hgb,0.5,249,0.07177029573704993,0.05299927555369096,247
2019,12,trimmean,hgb,0.7,249,0.08292526160507088,0.06329871748948468,247
2019,12,trimmean,hgb,1.0,249,0.10264325363398573,0.08030399003941033,247
2019,12,trimmean,hgb,1.5,249,0.13960292399110513,0.11139636141918206,247
2019,12,mean,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
2019,12,mean,lag,0.1,249,0.06389176471475265,0.04466226769027328,247
2019,12,mean,lag,0.2,249,0.06419321071516827,0.04484038462083828,247
2019,12,mean,lag,0.3,249,0.06539897444028588,0.04615468225643474,247
2019,12,mean,lag,0.4,249,0.0674605830550168,0.048471108403219124,247
2019,12,mean,lag,0.5,249,0.07030278463024747,0.05149417176248287,247
2019,12,mean,lag,0.7,249,0.07796489341455357,0.0587821837352849,247
2019,12,mean,lag,1.0,249,0.09308566278125191,0.07269987074192437,247
2019,12,mean,lag,1.5,249,0.12380860637752562,0.0996161669004381,247
2019,12,mean,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,12,mean,base,0.1,249,0.0639878261995816,0.045778842766033036,247
2019,12,mean,base,0.2,249,0.063841055665424,0.044969771212827345,247
2019,12,mean,base,0.3,249,0.06461087932822271,0.04533530324995794,247
2019,12,mean,base,0.4,249,0.06626535987240267,0.04678787781076102,247
2019,12,mean,base,0.5,249,0.06874065000299602,0.0491234049518343,247
2019,12,mean,base,0.7,249,0.07580617130255674,0.05584337071253157,247
2019,12,mean,base,1.0,249,0.09033756122094781,0.06973771613802848,247
2019,12,mean,base,1.5,249,0.12057215383713078,0.0966368566872352,247
2019,12,mean,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,12,mean,hgb,0.1,249,0.058296725155405016,0.03996811189640747,247
2019,12,mean,hgb,0.2,249,0.05983037098620762,0.04135815417692877,247
2019,12,mean,hgb,0.3,249,0.062277486086162175,0.04388707277068114,247
2019,12,mean,hgb,0.4,249,0.06553582307745512,0.047067063890197366,247
2019,12,mean,hgb,0.5,249,0.0694913648738414,0.05081860107039704,247
2019,12,mean,hgb,0.7,249,0.07905821728509019,0.05986849699214958,247
2019,12,mean,hgb,1.0,249,0.09625113508637674,0.07478151273992346,247
2019,12,mean,hgb,1.5,249,0.12899877335798457,0.10300665483579159,247
2019,16,median,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
2019,16,median,lag,0.1,249,0.0639027529088305,0.0445252709706274,247
2019,16,median,lag,0.2,249,0.06482834234683284,0.045472240612087066,247
2019,16,median,lag,0.3,249,0.0672209057771796,0.0475822884872368,247
2019,16,median,lag,0.4,249,0.07093215374938178,0.0510566912755708,247
2019,16,median,lag,0.5,249,0.0757685604819215,0.05556560737945991,247
2019,16,median,lag,0.7,249,0.08803542231012164,0.06651090771458765,247
2019,16,median,lag,1.0,249,0.11063524423398553,0.08490177145675316,247
2019,16,median,lag,1.5,249,0.15381495790333335,0.11886882321166982,247
2019,16,median,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,16,median,base,0.1,249,0.06396673406306722,0.04557749267081503,247
2019,16,median,base,0.2,249,0.06441599122859996,0.045164204378422834,247
2019,16,median,base,0.3,249,0.06636174233085018,0.046532383956967543,247
2019,16,median,base,0.4,249,0.06967873294172634,0.04947789988839396,247
2019,16,median,base,0.5,249,0.07418325190700305,0.053942080055907074,247
2019,16,median,base,0.7,249,0.08596257977533199,0.06480257140304492,247
2019,16,median,base,1.0,249,0.1081437051265253,0.08272899380289235,247
2019,16,median,base,1.5,249,0.15101843778945467,0.11590723896967997,247
2019,16,median,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,16,median,hgb,0.1,249,0.05858500589648318,0.039982828475715035,247
2019,16,median,hgb,0.2,249,0.06104260810312911,0.042438650957049066,247
2019,16,median,hgb,0.3,249,0.0649382872589709,0.04631717683469878,247
2019,16,median,hgb,0.4,249,0.07003246647220289,0.05104306340491185,247
2019,16,median,hgb,0.5,249,0.07608479235817761,0.05668221233146113,247
2019,16,median,hgb,0.7,249,0.09026597556148226,0.06887806365439939,247
2019,16,median,hgb,1.0,249,0.11472751573859098,0.08878693715733749,247
2019,16,median,hgb,1.5,249,0.1595478348514634,0.12374495230641556,247
2019,16,trimmean,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
2019,16,trimmean,lag,0.1,249,0.06388008851465536,0.044530784468337185,247
2019,16,trimmean,lag,0.2,249,0.06455902667955643,0.04521103178634606,247
2019,16,trimmean,lag,0.3,249,0.06650413820722391,0.047140045613712364,247
2019,16,trimmean,lag,0.4,249,0.06960936091691823,0.05027015122415248,247
2019,16,trimmean,lag,0.5,249,0.07372825856847844,0.05410871852657367,247
2019,16,trimmean,lag,0.7,249,0.0843791019578001,0.06353137836382784,247
2019,16,trimmean,lag,1.0,249,0.10442114186537767,0.08048586730575152,247
2019,16,trimmean,lag,1.5,249,0.14340484656369834,0.11179185897426133,247
2019,16,trimmean,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,16,trimmean,base,0.1,249,0.06398450755670047,0.045655690643226124,247
2019,16,trimmean,base,0.2,249,0.06422549651709097,0.04512073274480268,247
2019,16,trimmean,base,0.3,249,0.06575364517775917,0.046256455844848304,247
2019,16,trimmean,base,0.4,249,0.06848284136308033,0.04873665463381362,247
2019,16,trimmean,base,0.5,249,0.07227715769080426,0.052373190909861464,247
2019,16,trimmean,base,0.7,249,0.08243393849847072,0.06147779400823178,247
2019,16,trimmean,base,1.0,249,0.10203127546443759,0.07836036461845385,247
2019,16,trimmean,base,1.5,249,0.14067704579816181,0.10932036297364571,247
2019,16,trimmean,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,16,trimmean,hgb,0.1,249,0.0584873876169027,0.03992944289265958,247
2019,16,trimmean,hgb,0.2,249,0.060615916956663435,0.04202176579472957,247
2019,16,trimmean,hgb,0.3,249,0.06399636335329373,0.045465818586843135,247
2019,16,trimmean,hgb,0.4,249,0.06844347969017107,0.04960389330429283,247
2019,16,trimmean,hgb,0.5,249,0.07376459555541064,0.05469259337589709,247
2019,16,trimmean,hgb,0.7,249,0.0863586568635094,0.06579251295493217,247
2019,16,trimmean,hgb,1.0,249,0.10835449976702083,0.08412309659979599,247
2019,16,trimmean,hgb,1.5,249,0.149108806160565,0.11673932132848547,247
2019,16,mean,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
2019,16,mean,lag,0.1,249,0.06377936996991654,0.04453909776156972,247
2019,16,mean,lag,0.2,249,0.06409673777430876,0.0447029429522195,247
2019,16,mean,lag,0.3,249,0.06544421308120478,0.04615236272075919,247
2019,16,mean,lag,0.4,249,0.06776036991699795,0.048648250231176915,247
2019,16,mean,lag,0.5,249,0.07095040457755894,0.05179841673004812,247
2019,16,mean,lag,0.7,249,0.07950379038425133,0.059385408690696494,247
2019,16,mean,lag,1.0,249,0.09620791493574325,0.07434338084603813,247
2019,16,mean,lag,1.5,249,0.12971970824382412,0.10184923539086731,247
2019,16,mean,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,16,mean,base,0.1,249,0.06394702757962074,0.045716690470738675,247
2019,16,mean,base,0.2,249,0.06388711824864025,0.044954442737363196,247
2019,16,mean,base,0.3,249,0.06486813464963623,0.04551173365551708,247
2019,16,mean,base,0.4,249,0.06684426213738588,0.047109124115775294,247
2019,16,mean,base,0.5,249,0.06973094966670405,0.04993625191947786,247
2019,16,mean,base,0.7,249,0.07779983085945628,0.05740013910323996,247
2019,16,mean,base,1.0,249,0.09403827539610728,0.07202626478808374,247
2019,16,mean,base,1.5,249,0.12717399876367633,0.09954151182125832,247
2019,16,mean,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,16,mean,hgb,0.1,249,0.05833848668557597,0.0398557010946947,247
2019,16,mean,hgb,0.2,249,0.0600477946537753,0.041303226503234286,247
2019,16,mean,hgb,0.3,249,0.06278587205543486,0.04418585761632101,247
2019,16,mean,hgb,0.4,249,0.06642562223797029,0.04754292799949167,247
2019,16,mean,hgb,0.5,249,0.07082817463836168,0.05179986970140961,247
2019,16,mean,hgb,0.7,249,0.08140683513861476,0.06139560607154855,247
2019,16,mean,hgb,1.0,249,0.10023725645445078,0.0772887483820954,247
2019,16,mean,hgb,1.5,249,0.1357483762865845,0.10662594299097382,247
2019,24,median,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
2019,24,median,lag,0.1,249,0.06399508765252666,0.044779674577190454,247
2019,24,median,lag,0.2,249,0.06555779819988856,0.046529701627705665,247
2019,24,median,lag,0.3,249,0.0690547227252368,0.04980961158779035,247
2019,24,median,lag,0.4,249,0.0742129417364697,0.05447009735760055,247
2019,24,median,lag,0.5,249,0.08071457660411308,0.06024094563855794,247
2019,24,median,lag,0.7,249,0.09661384828698355,0.07385594544924139,247
2019,24,median,lag,1.0,249,0.12480142676497517,0.09627415945803867,247
2019,24,median,lag,1.5,249,0.17703912981526934,0.13621252131496348,247
2019,24,median,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,24,median,base,0.1,249,0.06394719182936741,0.045532480996879524,247
