radius,method,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
2,mean,r_plus_d_-0.02,0.06702999454350964,0.06327938349000388,0.07061664676180673
2,median,r_plus_d_-0.02,0.0670413109091663,0.06328625508278118,0.07062417039048009
8,median,r_plus_d_0.03,0.06707057155086224,0.06336377621744191,0.07060142309530322
16,mean,r_plus_d_0.03,0.06707128153740251,0.06334335757254313,0.07061825458094603
8,mean,r_plus_d_-0.03,0.06708636102484636,0.06332687625649444,0.07066337928998281
8,median,r_plus_d_-0.03,0.06709582798719743,0.06332241629814793,0.07067070623597012
16,median,r_plus_d_0.03,0.06713067820762308,0.06340154887915744,0.07067110454092745
4,mean,r_plus_d_-0.03,0.06714321422603751,0.06336435757465221,0.07074884937028177
1,median,r_plus_d_-0.03,0.06714524526418576,0.06325717004414091,0.07072306597660419
1,mean,r_plus_d_-0.03,0.06714524526418576,0.06325717004414091,0.07072306597660419
4,median,r_plus_d_-0.03,0.06716261599070912,0.0633453465756563,0.07076262880329082
2,mean,r_plus_d_-0.03,0.06718888197349547,0.06344539993546529,0.07077090713951144
2,median,r_plus_d_-0.03,0.06720992737708019,0.06346009626190081,0.0707856510320713
4,mean,r_plus_d_0.05,0.06727681809667822,0.06360623843940748,0.07071572825821423
16,mean,r_plus_d_-0.05,0.06734296388703498,0.06359550568930425,0.0708896405254616
2,mean,r_plus_d_0.05,0.06734314048612643,0.06360937742291112,0.07083518737019817
8,mean,r_plus_d_0.05,0.06735114524293725,0.06366228889318666,0.07083472545681592
2,median,b40_d_0.01,0.06735224630160777,0.06367197437253602,0.07076077769692941
4,median,r_plus_d_0.05,0.06735345198381458,0.0637642049798933,0.07077247516119588
2,mean,b40_d_0.01,0.0673535845267804,0.0636703723473784,0.07076121327918299
4,mean,b40_d_0.01,0.0673564483379067,0.0636866704725896,0.07075505748548913
4,median,b40_d_0.01,0.06736040938312458,0.06370685931710869,0.07075790090717468
16,median,r_plus_d_-0.05,0.06736187843572351,0.06362888547009803,0.07090572947634854
2,median,r_plus_d_0.05,0.06736284935098717,0.06364367682042744,0.07085704155922093
1,mean,b40_d_0.01,0.06736335583506385,0.06372597072010723,0.07077207195950949
1,median,b40_d_0.01,0.06736335583506385,0.06372597072010723,0.07077207195950949
8,median,b40_d_0,0.06736397773214638,0.06368509625504862,0.07077792673087005
4,mean,b40_d_0,0.06736397773214638,0.06368509625504862,0.07077792673087005
2,median,b40_d_0,0.06736397773214638,0.06368509625504862,0.07077792673087005
2,mean,b40_d_0,0.06736397773214638,0.06368509625504862,0.07077792673087005
1,median,b40_d_0,0.06736397773214638,0.06368509625504862,0.07077792673087005
16,mean,b40_d_0,0.06736397773214638,0.06368509625504862,0.07077792673087005
4,median,b40_d_0,0.06736397773214638,0.06368509625504862,0.07077792673087005
16,median,b40_d_0,0.06736397773214638,0.06368509625504862,0.07077792673087005
1,mean,b40_d_0,0.06736397773214638,0.06368509625504862,0.07077792673087005
8,mean,b40_d_0,0.06736397773214638,0.06368509625504862,0.07077792673087005
16,median,b40_d_-0.01,0.06737169393650906,0.06369149054555294,0.07078803948323809
8,mean,b40_d_0.01,0.06737430072764615,0.06370028307954896,0.07078130153352064
16,mean,b40_d_-0.01,0.06737867622714676,0.06369868814380644,0.07079336881171899
8,median,b40_d_0.01,0.0673818036239987,0.0637151388391353,0.07078623688056575
1,mean,r_plus_d_0.05,0.06738575898565367,0.0638804692731067,0.07087218871932532
1,median,r_plus_d_0.05,0.06738575898565367,0.0638804692731067,0.07087218871932532
16,mean,b40_d_0.01,0.06738999442576006,0.06371519367601611,0.0707986280234211
4,mean,b40_d_0.02,0.06739233163894288,0.06373424077718524,0.07077049890684561
2,mean,b40_d_0.02,0.06739377653517689,0.06370865026877305,0.07079068844780144
2,median,b40_d_0.02,0.06739382882767067,0.06371476382343327,0.07079214525612114
8,median,b40_d_-0.01,0.06739423592428939,0.06370694568249163,0.07081136688665847
8,mean,b40_d_-0.01,0.06739602410958045,0.0637155478167913,0.07081167807101026
16,median,b40_d_0.01,0.06740287996733112,0.06372884811858298,0.07080921675598476
4,median,b40_d_0.02,0.06740570284073141,0.06378085298212148,0.07078018638291746
1,mean,b40_d_0.02,0.06741187137772994,0.06381779228847435,0.07081029082541458
1,median,b40_d_0.02,0.06741187137772994,0.06381779228847435,0.07081029082541458
16,mean,r_plus_d_0.05,0.06741364926048461,0.06372021477039673,0.07091386435407945
1,mean,b40_d_-0.01,0.06741373570908714,0.0636952669745515,0.0708278442098519
1,median,b40_d_-0.01,0.06741373570908714,0.0636952669745515,0.0708278442098519
4,mean,b40_d_-0.01,0.0674149052757127,0.06372952153308548,0.07083906953906476
4,median,b40_d_-0.01,0.06741640012903323,0.06371561731649301,0.07084022797106958
2,mean,b40_d_-0.01,0.06742493275893006,0.06375278526897345,0.07084079611106052
16,median,b40_d_-0.02,0.06742601257543754,0.06374801590025976,0.07083953728163547
8,mean,b40_d_0.02,0.06742697363596943,0.063761075679394,0.0708217971715536
2,median,b40_d_-0.01,0.06742899529228802,0.06375409494792984,0.0708435571248522
16,mean,b40_d_-0.02,0.06743406328689268,0.06375594140041806,0.07084493063144122
8,mean,r_plus_d_-0.05,0.06744694392192326,0.0637027556902676,0.0709937484320521
8,median,b40_d_0.02,0.06744767547511787,0.06379700012554175,0.0708362826419514
8,median,r_plus_d_0.05,0.06744918974639189,0.06379524996143288,0.07091372375379779
16,mean,b40_d_0.02,0.06745667919889956,0.06378891856517252,0.07085544101017986
8,mean,b40_d_-0.02,0.06747037948748631,0.06379157240695436,0.07088250252012218
4,mean,b40_d_0.03,0.06747155837095817,0.06382770432731255,0.07082422593694411
8,median,b40_d_-0.02,0.06747251351022968,0.06378063379131378,0.07088649826180718
2,mean,b40_d_0.03,0.06748446337564472,0.06379983462094471,0.07086629460353777
16,median,b40_d_0.02,0.06748832002542847,0.06382264300727515,0.07088185472818372
2,median,b40_d_0.03,0.0674886267636253,0.06381335213536268,0.07087196498890719
8,median,r_plus_d_-0.05,0.0674910424129889,0.06372676857604546,0.07102865040234044
4,median,b40_d_0.03,0.0674997597437921,0.06390689582702445,0.07084474322879121
4,mean,b40_d_-0.02,0.06750913275258176,0.06381985024541978,0.0709383869445521
1,median,b40_d_0.03,0.06750941842258483,0.06396034154129797,0.07089251204699842
1,mean,b40_d_0.03,0.06750941842258483,0.06396034154129797,0.07089251204699842
1,median,b40_d_-0.02,0.06751252112337416,0.06375645844974225,0.07092173135736263
1,mean,b40_d_-0.02,0.06751252112337416,0.06375645844974225,0.07092173135736263
4,median,b40_d_-0.02,0.06751756277920976,0.06379834746347908,0.07094469325331985
8,mean,b40_d_0.03,0.06752189734742617,0.0638673438241408,0.07089935003798646
16,median,b40_d_-0.03,0.06752682118789796,0.06385453918815281,0.07093232998786701
16,mean,b40_d_-0.03,0.06753003879512466,0.06385673858607019,0.0709325334222976
2,mean,b40_d_-0.02,0.06753631270326756,0.06387327100176488,0.07094969872189266
16,median,r_plus_d_0.05,0.0675414216499352,0.06384898570345483,0.07102748079215661
4,mean,r_plus_d_-0.05,0.0675461866195446,0.06376637467829754,0.07114127865165822
2,median,b40_d_-0.02,0.06754714511038418,0.0638787893853775,0.07095753435414467
8,median,b40_d_0.03,0.06756145275242524,0.06393048105715356,0.07092797567093666
16,mean,b40_d_0.03,0.06756391163494711,0.06390611993104192,0.07094827894012233
1,mean,r_plus_d_-0.05,0.06757753406846079,0.06361301138682594,0.0711267919624619
1,median,r_plus_d_-0.05,0.06757753406846079,0.06361301138682594,0.0711267919624619
8,mean,b40_d_-0.03,0.06758690422793386,0.06391300739824764,0.07099028911878442
8,median,b40_d_-0.03,0.06759864367430127,0.06390598126078673,0.07100318851089107
4,median,r_plus_d_-0.05,0.06760543857417148,0.06376646540882482,0.07118392496947001
16,median,b40_d_0.03,0.06762012150085006,0.06396626078451685,0.07099571373438211
4,mean,b40_d_-0.03,0.06764647922038723,0.06395588789587875,0.07107571891809501
2,mean,r_plus_d_-0.05,0.06765722367209367,0.06393481609654214,0.07121665724605347
1,mean,b40_d_-0.03,0.06766011923160713,0.06386852403412627,0.07105941388903372
1,median,b40_d_-0.03,0.06766011923160713,0.06386852403412627,0.07105941388903372
4,median,b40_d_-0.03,0.06766724708274287,0.06393308401885424,0.07109113670327709
2,mean,b40_d_-0.03,0.06769786868077164,0.06404625548581264,0.07110442305198658
2,median,r_plus_d_-0.05,0.06770565930078003,0.06397372425185359,0.07125261065685311
2,median,b40_d_-0.03,0.06771814908283308,0.06405885432280303,0.07111962597534302
4,mean,b40_d_0.05,0.06775935081048874,0.06415141032173702,0.07104612749853266
2,mean,b40_d_0.05,0.06781639848166508,0.06413988913281736,0.07115522195825823
4,median,b40_d_0.05,0.06783324734951487,0.06431377862177447,0.0711001350637573
2,median,b40_d_0.05,0.06783685125232339,0.06417675119071072,0.07117620999636089
8,mean,b40_d_0.05,0.06783770879348976,0.06421530706773,0.07116508496672841
16,mean,b40_d_-0.05,0.0678429932811715,0.06418805558665598,0.07121527518712996
1,mean,b40_d_0.05,0.06785065483425537,0.06439615572794667,0.07118827010182596
1,median,b40_d_0.05,0.06785065483425537,0.06439615572794667,0.07118827010182596
16,median,b40_d_-0.05,0.06786698413436038,0.06421646754199944,0.07124108286991142
16,mean,b40_d_0.05,0.06789917842106472,0.06426991247580251,0.07124141163264555
8,median,b40_d_0.05,0.06793165941594513,0.06435089277483481,0.07123558719876741
8,mean,b40_d_-0.05,0.06794551545576469,0.06429098309793208,0.07131602092508943
8,median,b40_d_-0.05,0.06799329549288106,0.06431032153104622,0.07136035752979462
16,median,b40_d_0.05,0.0680216359371964,0.06440151610489041,0.07134623400751701
4,mean,r_plus_d_0.08,0.0680431376145888,0.06445361494868061,0.07133652260725246
4,mean,b40_d_-0.05,0.06804940282941499,0.0643638333307365,0.071463489275753
1,mean,b40_d_-0.05,0.06810037904375682,0.06424409176130585,0.07146507209788452
1,median,b40_d_-0.05,0.06810037904375682,0.06424409176130585,0.07146507209788452
4,median,b40_d_-0.05,0.06811079735592093,0.06435714374077013,0.07150885257856061
8,mean,r_plus_d_0.08,0.06814874556804448,0.06453846554318685,0.07151132763103017
2,mean,b40_d_-0.05,0.06816997101161502,0.06454790431501439,0.07155005979356774
2,median,b40_d_-0.05,0.06821700674395395,0.0645831007621826,0.07158674806544665
16,mean,r_plus_d_0.08,0.06822788763748563,0.06460656318136387,0.07162480640282357
4,median,r_plus_d_0.08,0.06822882291655942,0.06477749757570149,0.071473864060956
2,mean,r_plus_d_0.08,0.06823229088040349,0.06454009577819551,0.07161858746530006
1,mean,r_plus_d_0.08,0.06828188555767868,0.06494312866354082,0.07165185437460132
1,median,r_plus_d_0.08,0.06828188555767868,0.06494312866354082,0.07165185437460132
2,median,r_plus_d_0.08,0.06829578889434744,0.06462887399963797,0.07168069207582077
8,median,r_plus_d_0.08,0.068371031661301,0.06482230976483658,0.07169059126660739
16,median,r_plus_d_0.08,0.06849915459919506,0.06488616970628641,0.0718662078069099
4,mean,r_plus_d_0.1,0.06876324400881911,0.06523806471985319,0.07193708954058084
16,mean,r_plus_d_-0.1,0.06882739354370895,0.0651615273421896,0.07222548174449339
8,mean,r_plus_d_0.1,0.06888400526353126,0.06533985007205821,0.07214227583164272
16,mean,r_plus_d_0.1,0.06896564902232756,0.06540473605620037,0.07227302581754397
16,median,r_plus_d_-0.1,0.06900795083028743,0.0653849525304331,0.07238432910172901
4,median,r_plus_d_0.1,0.06904595170860908,0.06569914355937109,0.07214638971905153
2,mean,r_plus_d_0.1,0.06906649887428527,0.06541187385510508,0.07236300320414413
8,mean,r_plus_d_-0.1,0.06907121787611585,0.06541868325079445,0.07245423337494403
1,median,r_plus_d_0.1,0.06911317018575586,0.06588893780373067,0.07238330325829428
1,mean,r_plus_d_0.1,0.06911317018575586,0.06588893780373067,0.07238330325829428
2,median,r_plus_d_0.1,0.06917154298942693,0.06554985915978535,0.07246251579334277
8,median,r_plus_d_0.1,0.0692142040224378,0.06575101998917139,0.07240896686167808
4,mean,b40_d_0.1,0.0692170037239788,0.06573841285569647,0.07225747200198546
4,mean,r_plus_d_-0.1,0.06928937778530002,0.06554997353772381,0.07277141926454442
