year,subset,method,n,rmse
2020,all,converted16,222,0.10948955232604796
2020,period,prod,83,0.07754868158088944
2020,period,raw2,83,0.08109158396746062
2020,period,raw3,83,0.08332491154023441
2020,period,raw4,83,0.0922892358132171
2020,period,raw6,83,0.10636785797176032
2020,period,raw8,83,0.11674790028600458
2020,period,raw12,83,0.1240316824656172
2020,period,raw16,83,0.1240316824656172
2020,period,converted2,83,0.09456149318753518
2020,period,converted3,83,0.08908729258289175
2020,period,converted4,83,0.08843089196654234
2020,period,converted6,83,0.08798486165876625
2020,period,converted8,83,0.08704514284958027
2020,period,converted12,83,0.08639458682947762
2020,period,converted16,83,0.08640295020550705
2020,true_modis,prod,69,0.07420542806449365
2020,true_modis,raw2,69,0.05659368168328378
2020,true_modis,raw3,69,0.058158531015466065
2020,true_modis,raw4,69,0.06919701630258202
2020,true_modis,raw6,69,0.08651313625001163
2020,true_modis,raw8,69,0.09833936913636593
2020,true_modis,raw12,69,0.10564926080979369
2020,true_modis,raw16,69,0.10564926080979369
2020,true_modis,converted2,69,0.08011246689431405
2020,true_modis,converted3,69,0.07210590701675794
2020,true_modis,converted4,69,0.07149770896160408
2020,true_modis,converted6,69,0.0705479298198139
2020,true_modis,converted8,69,0.06907659785481654
2020,true_modis,converted12,69,0.0669295214672055
2020,true_modis,converted16,69,0.06602424287928894
2020,period_modis,prod,69,0.07420542806449365
2020,period_modis,raw2,69,0.05659368168328378
2020,period_modis,raw3,69,0.058158531015466065
2020,period_modis,raw4,69,0.06919701630258202
2020,period_modis,raw6,69,0.08651313625001163
2020,period_modis,raw8,69,0.09833936913636593
2020,period_modis,raw12,69,0.10564926080979369
2020,period_modis,raw16,69,0.10564926080979369
2020,period_modis,converted2,69,0.08011246689431405
2020,period_modis,converted3,69,0.07210590701675794
2020,period_modis,converted4,69,0.07149770896160408
2020,period_modis,converted6,69,0.0705479298198139
2020,period_modis,converted8,69,0.06907659785481654
2020,period_modis,converted12,69,0.0669295214672055
2020,period_modis,converted16,69,0.06602424287928894
2021,all,prod,130,0.09026033289207216
2021,all,raw2,130,0.1466286065360982
2021,all,raw3,130,0.15294244943736057
2021,all,raw4,130,0.16378856047391027
2021,all,raw6,130,0.17493296875170453
