protocol,partition,candidate,n,rmse,mae,tag,tail_n
exact_hidden_doy,exact2024,ridge10,152,0.05177956994189887,0.03731755188385341,loo_year,5
exact_hidden_doy,exact2024,ridge30_s0.25,152,0.0510232730298588,0.035716215807913274,loo_year,5
exact_hidden_doy,exact2024,ridge30_s0.50,152,0.05108105073168881,0.03611221511560622,loo_year,5
exact_hidden_doy,exact2024,ridge30_s0.75,152,0.05132717309667125,0.03666503977223973,loo_year,5
exact_hidden_doy,exact2024,ridge30,152,0.05175895336467285,0.037238515071771734,loo_year,5
exact_hidden_doy,exact2024,ridge100,152,0.05163189680301411,0.037057482509869136,loo_year,5
exact_hidden_doy,exact2024,huber,152,0.05163540727662454,0.037235181658379884,loo_year,5
exact_hidden_doy,exact2024,hgb8_s0.25,152,0.05106329173104816,0.035899473449160134,loo_year,5
exact_hidden_doy,exact2024,hgb8_s0.50,152,0.051264650617338474,0.036553644956183275,loo_year,5
exact_hidden_doy,exact2024,hgb8_s0.75,152,0.05175514042196248,0.03734455422537177,loo_year,5
exact_hidden_doy,exact2024,hgb8,152,0.0525266621245625,0.038339826980085714,loo_year,5
exact_hidden_doy,exact2024,hgb16_s0.25,152,0.05112543472327337,0.03599527437426711,loo_year,5
exact_hidden_doy,exact2024,hgb16_s0.50,152,0.051490511681964383,0.03680876199791291,loo_year,5
exact_hidden_doy,exact2024,hgb16_s0.75,152,0.05224144706508977,0.03773190993649584,loo_year,5
exact_hidden_doy,exact2024,hgb16,152,0.053361953395615926,0.03901550823939237,loo_year,5
random_private_like,random0,baseline,2644,0.0734093265663058,0.0434699149392176,loo_seed,169
random_private_like,random0,ridge10_s0.25,2644,0.07325481641987512,0.04327633976668945,loo_seed,169
random_private_like,random0,ridge10_s0.50,2644,0.07317063980328946,0.04318598517752064,loo_seed,169
random_private_like,random0,ridge10_s0.75,2644,0.07315703950036453,0.04320254596354259,loo_seed,169
random_private_like,random0,ridge10,2644,0.07321405484205279,0.043301929331871915,loo_seed,169
random_private_like,random0,ridge30_s0.25,2644,0.07327521849613572,0.04329160003725698,loo_seed,169
random_private_like,random0,ridge30_s0.50,2644,0.07320286021076777,0.04320367407185746,loo_seed,169
random_private_like,random0,ridge30_s0.75,2644,0.07319243484856108,0.04320910471546811,loo_seed,169
random_private_like,random0,ridge30,2644,0.07324396885564974,0.043291586253263084,loo_seed,169
random_private_like,random0,ridge100,2644,0.07328648684743513,0.04329594986061193,loo_seed,169
random_private_like,random0,huber,2644,0.07358047757437387,0.043208641502009155,loo_seed,169
random_private_like,random0,hgb8_s0.25,2644,0.07326300890180037,0.043339831698914914,loo_seed,169
random_private_like,random0,hgb8_s0.50,2644,0.0731910185469833,0.043288198133692876,loo_seed,169
random_private_like,random0,hgb8_s0.75,2644,0.07319357481854026,0.04330793500562225,loo_seed,169
random_private_like,random0,hgb8,2644,0.07327066991411005,0.04340971511095408,loo_seed,169
random_private_like,random0,hgb16_s0.25,2644,0.07320709198293246,0.04325175889981303,loo_seed,169
random_private_like,random0,hgb16_s0.50,2644,0.0731140003647476,0.04314731764529826,loo_seed,169
random_private_like,random0,hgb16_s0.75,2644,0.07313046851439461,0.043155100220287596,loo_seed,169
random_private_like,random0,hgb16,2644,0.07325642254432839,0.0432858066787344,loo_seed,169
random_private_like,random1,baseline,2644,0.06654105909924508,0.04336477478155467,loo_seed,165
random_private_like,random1,ridge10_s0.25,2644,0.06642545585985013,0.043278433873295906,loo_seed,165
random_private_like,random1,ridge10_s0.50,2644,0.06639575600809196,0.043296079813383466,loo_seed,165
random_private_like,random1,ridge10_s0.75,2644,0.0664520747241256,0.04340319981124262,loo_seed,165
random_private_like,random1,ridge10,2644,0.06659419377057567,0.04361659947940356,loo_seed,165
random_private_like,random1,ridge30_s0.25,2644,0.06643182319953295,0.04328010891774083,loo_seed,165
random_private_like,random1,ridge30_s0.50,2644,0.06639450107432358,0.043278709042162966,loo_seed,165
random_private_like,random1,ridge30_s0.75,2644,0.06642921393432472,0.04336080030685115,loo_seed,165
random_private_like,random1,ridge30,2644,0.06653584903407925,0.04353438823095692,loo_seed,165
random_private_like,random1,ridge100,2644,0.06648855098984052,0.043464984936764574,loo_seed,165
random_private_like,random1,huber,2644,0.06647740229953915,0.04290592839566583,loo_seed,165
random_private_like,random1,hgb8_s0.25,2644,0.06625911054030992,0.04316606573971424,loo_seed,165
random_private_like,random1,hgb8_s0.50,2644,0.06605434067483712,0.04304768302488945,loo_seed,165
random_private_like,random1,hgb8_s0.75,2644,0.06592746865482188,0.04301051576564432,loo_seed,165
random_private_like,random1,hgb8,2644,0.06587894453714518,0.043064695702443014,loo_seed,165
random_private_like,random1,hgb16_s0.25,2644,0.06609727651166411,0.043043922379284276,loo_seed,165
random_private_like,random1,hgb16_s0.50,2644,0.06577316248902465,0.04285730744480285,loo_seed,165
random_private_like,random1,hgb16_s0.75,2644,0.06557049161546676,0.04279447747649603,loo_seed,165
random_private_like,random1,hgb16,2644,0.06549039137857134,0.04283060052341465,loo_seed,165
random_private_like,random2,baseline,2644,0.06821208638790288,0.04083501769879138,loo_seed,157
random_private_like,random2,ridge10_s0.25,2644,0.06806966320046864,0.040748714400787506,loo_seed,157
random_private_like,random2,ridge10_s0.50,2644,0.0680137800953804,0.04079333993354123,loo_seed,157
random_private_like,random2,ridge10_s0.75,2644,0.0680446502915792,0.040929142151958746,loo_seed,157
random_private_like,random2,ridge10,2644,0.06816215591915266,0.04116970632410047,loo_seed,157
random_private_like,random2,ridge30_s0.25,2644,0.06808669952275948,0.04075731061379144,loo_seed,157
random_private_like,random2,ridge30_s0.50,2644,0.0680349676084868,0.04079924095555199,loo_seed,157
random_private_like,random2,ridge30_s0.75,2644,0.06805705860633905,0.040924708208420195,loo_seed,157
random_private_like,random2,ridge30,2644,0.06815290072974876,0.04113525228727779,loo_seed,157
random_private_like,random2,ridge100,2644,0.06814689534539876,0.04107422402499493,loo_seed,157
random_private_like,random2,huber,2644,0.06818731994659094,0.04057852826335166,loo_seed,157
random_private_like,random2,hgb8_s0.25,2644,0.06790367769982025,0.04058977831192618,loo_seed,157
random_private_like,random2,hgb8_s0.50,2644,0.06766648389909999,0.040435209954939565,loo_seed,157
random_private_like,random2,hgb8_s0.75,2644,0.06750125571949751,0.04036023615840408,loo_seed,157
random_private_like,random2,hgb8,2644,0.06740852235798216,0.04037413032666921,loo_seed,157
random_private_like,random2,hgb16_s0.25,2644,0.06776968285881774,0.040520190681324154,loo_seed,157
random_private_like,random2,hgb16_s0.50,2644,0.06744039809697512,0.04034761429929255,loo_seed,157
random_private_like,random2,hgb16_s0.75,2644,0.06722589435233997,0.040288578798450575,loo_seed,157
random_private_like,random2,hgb16,2644,0.06712727197469896,0.04035317471295252,loo_seed,157
random_private_like,random0,baseline,2644,0.0734093265663058,0.0434699149392176,fit_exact,169
random_private_like,random0,ridge10_s0.25,2644,0.0735494408286574,0.04366596506165873,fit_exact,169
random_private_like,random0,ridge10_s0.50,2644,0.07411769936131438,0.044387721820630166,fit_exact,169
random_private_like,random0,ridge10_s0.75,2644,0.07510438445348278,0.045457788814821085,fit_exact,169
random_private_like,random0,ridge10,2644,0.07649330599977537,0.04683365057999649,fit_exact,169
random_private_like,random0,ridge30_s0.25,2644,0.0734979743336754,0.043573838805915616,fit_exact,169
random_private_like,random0,ridge30_s0.50,2644,0.07386061751841838,0.044048764671216475,fit_exact,169
random_private_like,random0,ridge30_s0.75,2644,0.07449325468835409,0.044815646780592175,fit_exact,169
random_private_like,random0,ridge30,2644,0.07538908908283273,0.04580611376044942,fit_exact,169
random_private_like,random0,ridge100,2644,0.07480434760261093,0.045113748714152906,fit_exact,169
random_private_like,random0,huber,2644,0.07546701592349812,0.04584845404100405,fit_exact,169
random_private_like,random0,hgb8_s0.25,2644,0.07361777226039318,0.04370912478049999,fit_exact,169
random_private_like,random0,hgb8_s0.50,2644,0.0740855881422834,0.0443231087726695,fit_exact,169
random_private_like,random0,hgb8_s0.75,2644,0.07480790840768989,0.045252585174813585,fit_exact,169
random_private_like,random0,hgb8,2644,0.07577745550240479,0.046466731002194284,fit_exact,169
random_private_like,random0,hgb16_s0.25,2644,0.07362216337939435,0.043739199996070705,fit_exact,169
