mode,seed,cohort,method,n,coverage,rmse,mae
2025,0,all,base_peer_w0.20,756,238,0.05525976331108972,0.03574776308129203
2025,0,all,base_peer_w0.25,756,238,0.05611823790292665,0.03625509185197755
2025,0,all,base_peer_w0.30,756,238,0.057171176031792593,0.036868642785185125
2025,0,all,base_peer_w0.40,756,238,0.059817485187079494,0.038300752239876064
2025,0,all,base_peer_w0.50,756,238,0.06310630663366727,0.039984956733275706
2025,0,2025,hgb,756,238,0.05451510216322277,0.03500901622501005
2025,0,2025,lag,756,238,0.05828310888531229,0.03868317158701905
2025,0,2025,base,756,238,0.053924913524637665,0.03476183250341118
2025,0,2025,peer_only,238,238,0.12901050530751815,0.08261898332119516
2025,0,2025,base_peer_w0.05,756,238,0.05393352617049773,0.03474646388941581
2025,0,2025,base_peer_w0.10,756,238,0.05416110921246723,0.034954019676844084
2025,0,2025,base_peer_w0.15,756,238,0.05460492483707644,0.0353145997680375
2025,0,2025,base_peer_w0.20,756,238,0.05525976331108972,0.03574776308129203
2025,0,2025,base_peer_w0.25,756,238,0.05611823790292665,0.03625509185197755
2025,0,2025,base_peer_w0.30,756,238,0.057171176031792593,0.036868642785185125
2025,0,2025,base_peer_w0.40,756,238,0.059817485187079494,0.038300752239876064
2025,0,2025,base_peer_w0.50,756,238,0.06310630663366727,0.039984956733275706
2025,0,private_only,hgb,379,93,0.05428370797120195,0.03495503048533097
2025,0,private_only,lag,379,93,0.05950668859338357,0.03895493451399939
2025,0,private_only,base,379,93,0.05403649577713272,0.03466913259950033
2025,0,private_only,peer_only,93,93,0.1123133987714605,0.06871562901551087
2025,0,private_only,base_peer_w0.05,379,93,0.05409539987202958,0.034667218250260874
2025,0,private_only,base_peer_w0.10,379,93,0.054277687826477176,0.03477781642327776
2025,0,private_only,base_peer_w0.15,379,93,0.05458212345899776,0.03502512220202668
2025,0,private_only,base_peer_w0.20,379,93,0.055006678720216085,0.035309495167778454
2025,0,private_only,base_peer_w0.25,379,93,0.05554859947285717,0.03560735513485792
2025,0,private_only,base_peer_w0.30,379,93,0.056204490923713345,0.03591704532052028
2025,0,private_only,base_peer_w0.40,379,93,0.05784200622629385,0.036663491076445745
2025,0,private_only,base_peer_w0.50,379,93,0.05988316421746263,0.03759321461879869
2025,1,all,hgb,756,237,0.05798473871523201,0.0366532090780341
2025,1,all,lag,756,237,0.062366211616070165,0.04063796136568224
2025,1,all,base,756,237,0.05749994333122227,0.03619167938151187
2025,1,all,peer_only,237,237,0.14309856753915126,0.09096464737081336
2025,1,all,base_peer_w0.05,756,237,0.0573409223763589,0.03638726779668037
2025,1,all,base_peer_w0.10,756,237,0.057433545735361774,0.03680784307651907
2025,1,all,base_peer_w0.15,756,237,0.05777660316587155,0.037376076803163426
2025,1,all,base_peer_w0.20,756,237,0.05836567888685727,0.038009171317467415
2025,1,all,base_peer_w0.25,756,237,0.059193428447314206,0.03872900474968216
2025,1,all,base_peer_w0.30,756,237,0.06025001553242378,0.03947900489743186
2025,1,all,base_peer_w0.40,756,237,0.06300117359967672,0.041118673947706325
2025,1,all,base_peer_w0.50,756,237,0.06651167552965134,0.04290048899680714
2025,1,2025,hgb,756,237,0.05798473871523201,0.0366532090780341
2025,1,2025,lag,756,237,0.062366211616070165,0.04063796136568224
2025,1,2025,base,756,237,0.05749994333122227,0.03619167938151187
2025,1,2025,peer_only,237,237,0.14309856753915126,0.09096464737081336
2025,1,2025,base_peer_w0.05,756,237,0.0573409223763589,0.03638726779668037
2025,1,2025,base_peer_w0.10,756,237,0.057433545735361774,0.03680784307651907
2025,1,2025,base_peer_w0.15,756,237,0.05777660316587155,0.037376076803163426
2025,1,2025,base_peer_w0.20,756,237,0.05836567888685727,0.038009171317467415
2025,1,2025,base_peer_w0.25,756,237,0.059193428447314206,0.03872900474968216
2025,1,2025,base_peer_w0.30,756,237,0.06025001553242378,0.03947900489743186
2025,1,2025,base_peer_w0.40,756,237,0.06300117359967672,0.041118673947706325
2025,1,2025,base_peer_w0.50,756,237,0.06651167552965134,0.04290048899680714
2025,1,private_only,hgb,379,97,0.05214412897430318,0.03517850337411357
2025,1,private_only,lag,379,97,0.05673403055209249,0.03963329951199886
2025,1,private_only,base,379,97,0.051751867570102854,0.03469082014833004
2025,1,private_only,peer_only,97,97,0.13851047661089308,0.0878606480437324
2025,1,private_only,base_peer_w0.05,379,97,0.051787376445224215,0.03480798288962245
2025,1,private_only,base_peer_w0.10,379,97,0.05203696600816752,0.03504085847299241
2025,1,private_only,base_peer_w0.15,379,97,0.052497582932559114,0.035445445589162045
2025,1,private_only,base_peer_w0.20,379,97,0.05316374240360229,0.03588649432227547
2025,1,private_only,base_peer_w0.25,379,97,0.05402784198098384,0.036384829673458886
2025,1,private_only,base_peer_w0.30,379,97,0.05508056664611994,0.036900769020908365
2025,1,private_only,base_peer_w0.40,379,97,0.057708766911435734,0.03804574996601854
2025,1,private_only,base_peer_w0.50,379,97,0.060956397330377554,0.039395312662736055
