slice,method,n,rmse_pooled
MOD,shock_shock_date_a0.60,1690,0.06804036369156101
MOD,shock_shock_date_a1.00,1690,0.06796576466553074
MOD,shock_shock_crop_a0.35,1690,0.06812687528438745
MOD,shock_shock_crop_a0.60,1690,0.06796934303020775
MOD,shock_shock_crop_a1.00,1690,0.06796701329850272
MOD,shock_shock_near_a0.35,1690,0.06841021536516004
MOD,shock_shock_near_a0.60,1690,0.06834393343286325
MOD,shock_shock_near_a1.00,1690,0.06829297015647585
MOD,shock_shock_date_filled_a0.35,1690,0.06819094865628199
MOD,shock_shock_date_filled_a0.60,1690,0.06803590309620038
MOD,shock_shock_date_filled_a1.00,1690,0.0679618573315475
MOD,joint_robust_shock,1690,0.06840657677683173
