a,b,n,exact,temp_rmse,prec_rmse,temp_corr,prec_corr
AOI-0011,AOI-0070,3195,0.0,1.2558544757341639,3.022522897381854,0.9863257468536574,0.5371123973598406
AOI-0011,AOI-0075,3195,0.0,3.1271213182531494,4.042714434436353,0.954868608817484,0.3216889290882754
AOI-0015,AOI-0019,3195,0.0,0.26166699273518657,0.9719763143392063,0.9993097617882619,0.9510090496981778
AOI-0015,AOI-0020,3195,0.0,0.26166699273518657,0.9719763143392063,0.9993097617882619,0.9510090496981778
AOI-0015,AOI-0021,3195,0.0,0.26166699273518657,0.9719763143392063,0.9993097617882619,0.9510090496981778
AOI-0015,AOI-0022,3195,0.0,0.26166699273518657,0.9719763143392063,0.9993097617882619,0.9510090496981778
AOI-0015,AOI-0023,3195,0.0,0.3694287283677295,1.292649930374229,0.9988347263748787,0.9183099720207873
AOI-0015,AOI-0026,3195,0.00031298904538341156,0.3823009160560412,1.5195488742647598,0.9983721277471599,0.883646679931138
AOI-0015,AOI-0030,3195,0.00031298904538341156,0.35614475380453847,1.3784312698439845,0.998608681419174,0.9029569437325976
AOI-0015,AOI-0033,3195,0.0,1.3701485816488341,3.2446505176059715,0.9824548903238928,0.39969659631660903
AOI-0015,AOI-0037,3195,0.0,1.5949369654852967,3.267440959652284,0.9778127867677061,0.3756009452149481
AOI-0015,AOI-0038,3195,0.0,1.6665750933318502,3.238987469788658,0.9760653301197536,0.3748535229177414
AOI-0015,AOI-0040,3195,0.0,1.5949369654852967,3.267440959652284,0.9778127867677061,0.3756009452149481
AOI-0015,AOI-0043,3195,0.0,0.9760146624727002,2.4456477468512485,0.9914927293545144,0.6868847940290096
AOI-0015,AOI-0045,3195,0.0,1.0081752537388078,2.488946766942756,0.990898837290945,0.6712212110889149
AOI-0015,AOI-0048,3195,0.0,0.8726104600313079,2.431011030770957,0.9930014865699653,0.6966639340697202
AOI-0015,AOI-0052,3195,0.0,0.6695762576654289,1.987923155177285,0.995897854711856,0.8049855432813636
AOI-0015,AOI-0053,3195,0.0,0.5903399492212575,1.9814355628729166,0.9971072694860298,0.8171234667620166
AOI-0015,AOI-0060,3195,0.0,0.7590556740673199,2.147955062241521,0.9945799206200125,0.7766476019648746
AOI-0015,AOI-0063,3195,0.0,1.0334946935255385,3.2783113457311543,0.9885506480286906,0.6019846667572384
AOI-0015,AOI-0064,3195,0.0,0.9788767344871883,3.12752242901183,0.9899337651954004,0.6135020921467481
AOI-0015,AOI-0065,3195,0.0,1.0334946935255385,3.2783113457311543,0.9885506480286906,0.6019846667572384
AOI-0015,AOI-0069,3195,0.0,1.4257339161961835,3.1343629142503513,0.981798604944807,0.46941406243481865
AOI-0015,AOI-0070,3195,0.0,1.4515781914085943,3.1913281247671947,0.9812963611008197,0.45533390296290316
