scope,seed,config,weight,n,peer_n,coverage,rmse,base_rmse,delta_rmse
seed,1,n8_c40_r125_k2,0.0500000000,2644,2188,0.8275340393,0.0616767123,0.0617229811,-0.0000462688
seed,1,n8_c40_r125_k1,0.0100000000,2644,2188,0.8275340393,0.0616770604,0.0617229811,-0.0000459208
seed,1,n16_c60_r100_k1,0.0100000000,2644,1627,0.6153555219,0.0616774598,0.0617229811,-0.0000455214
seed,1,n16_c60_r125_k1,0.0100000000,2644,1830,0.6921331316,0.0616806752,0.0617229811,-0.0000423060
seed,1,n12_c40_r100_k2,0.0100000000,2644,1847,0.6985627837,0.0616822139,0.0617229811,-0.0000407672
seed,1,n8_c40_r125_k2,0.0200000000,2644,2188,0.8275340393,0.0616828247,0.0617229811,-0.0000401564
seed,1,n16_c60_r125_k2,0.0300000000,2644,1830,0.6921331316,0.0616873079,0.0617229811,-0.0000356732
seed,1,n16_c60_r125_k2,0.0500000000,2644,1830,0.6921331316,0.0616928650,0.0617229811,-0.0000301161
seed,1,n16_c60_r125_k2,0.0200000000,2644,1830,0.6921331316,0.0616933328,0.0617229811,-0.0000296483
seed,1,n12_c40_r100_k2,0.1500000000,2644,1847,0.6985627837,0.0616982367,0.0617229811,-0.0000247445
seed,1,n8_c40_r125_k2,0.0100000000,2644,2188,0.8275340393,0.0616992978,0.0617229811,-0.0000236834
seed,1,n16_c60_r125_k2,0.0100000000,2644,1830,0.6921331316,0.0617052251,0.0617229811,-0.0000177561
seed,1,n12_c40_r100_k2,0.0000000000,2644,1847,0.6985627837,0.0617229811,0.0617229811,0.0000000000
seed,1,n8_c40_r125_k2,0.0000000000,2644,2188,0.8275340393,0.0617229811,0.0617229811,0.0000000000
seed,1,n16_c60_r125_k2,0.0000000000,2644,1830,0.6921331316,0.0617229811,0.0617229811,0.0000000000
seed,1,n16_c60_r100_k1,0.0000000000,2644,1627,0.6153555219,0.0617229811,0.0617229811,0.0000000000
seed,1,n16_c60_r125_k1,0.0000000000,2644,1830,0.6921331316,0.0617229811,0.0617229811,0.0000000000
seed,1,n12_c40_r100_k1,0.0000000000,2644,1847,0.6985627837,0.0617229811,0.0617229811,0.0000000000
seed,1,n8_c40_r125_k1,0.0000000000,2644,2188,0.8275340393,0.0617229811,0.0617229811,0.0000000000
seed,1,n8_c40_r125_k2,0.0800000000,2644,2188,0.8275340393,0.0617355485,0.0617229811,0.0000125674
seed,1,n8_c40_r125_k1,0.1200000000,2644,2188,0.8275340393,0.0617423537,0.0617229811,0.0000193725
seed,1,n16_c60_r125_k2,0.0800000000,2644,1830,0.6921331316,0.0617451937,0.0617229811,0.0000222126
seed,1,n16_c60_r125_k2,0.1000000000,2644,1830,0.6921331316,0.0618093504,0.0617229811,0.0000863692
seed,1,n8_c40_r125_k2,0.1000000000,2644,2188,0.8275340393,0.0618107721,0.0617229811,0.0000877910
seed,1,n16_c60_r125_k1,0.1500000000,2644,1830,0.6921331316,0.0618184500,0.0617229811,0.0000954689
seed,1,n12_c40_r100_k1,0.2000000000,2644,1847,0.6985627837,0.0618531300,0.0617229811,0.0001301488
seed,1,n16_c60_r100_k1,0.2000000000,2644,1627,0.6153555219,0.0618787039,0.0617229811,0.0001557227
seed,1,n16_c60_r125_k2,0.1200000000,2644,1830,0.6921331316,0.0618968425,0.0617229811,0.0001738614
seed,1,n8_c40_r125_k2,0.1200000000,2644,2188,0.8275340393,0.0619146786,0.0617229811,0.0001916975
seed,1,n8_c40_r125_k1,0.1500000000,2644,2188,0.8275340393,0.0619412080,0.0617229811,0.0002182268
seed,1,n12_c40_r100_k2,0.2000000000,2644,1847,0.6985627837,0.0619688233,0.0617229811,0.0002458421
seed,1,n16_c60_r125_k2,0.1500000000,2644,1830,0.6921331316,0.0620716119,0.0617229811,0.0003486307
seed,1,n8_c40_r125_k2,0.1500000000,2644,2188,0.8275340393,0.0621239932,0.0617229811,0.0004010120
seed,1,n16_c60_r125_k1,0.2000000000,2644,1830,0.6921331316,0.0621961364,0.0617229811,0.0004731552
seed,1,n16_c60_r100_k1,0.2500000000,2644,1627,0.6153555219,0.0622661517,0.0617229811,0.0005431705
seed,1,n12_c40_r100_k1,0.2500000000,2644,1847,0.6985627837,0.0622886107,0.0617229811,0.0005656295
seed,1,n12_c40_r100_k2,0.2500000000,2644,1847,0.6985627837,0.0623765823,0.0617229811,0.0006536012
seed,1,n8_c40_r125_k1,0.2000000000,2644,2188,0.8275340393,0.0624422584,0.0617229811,0.0007192772
seed,1,n16_c60_r125_k2,0.2000000000,2644,1830,0.6921331316,0.0624778138,0.0617229811,0.0007548326
seed,1,n8_c40_r125_k2,0.2000000000,2644,2188,0.8275340393,0.0626136868,0.0617229811,0.0008907056
seed,1,n16_c60_r125_k1,0.2500000000,2644,1830,0.6921331316,0.0627427412,0.0617229811,0.0010197601
seed,1,n16_c60_r100_k1,0.3000000000,2644,1627,0.6153555219,0.0627892379,0.0617229811,0.0010662567
seed,1,n12_c40_r100_k1,0.3000000000,2644,1847,0.6985627837,0.0628804306,0.0617229811,0.0011574495
seed,1,n12_c40_r100_k2,0.3000000000,2644,1847,0.6985627837,0.0629188471,0.0617229811,0.0011958659
seed,1,n16_c60_r125_k2,0.2500000000,2644,1830,0.6921331316,0.0630251730,0.0617229811,0.0013021919
seed,1,n8_c40_r125_k1,0.2500000000,2644,2188,0.8275340393,0.0631507831,0.0617229811,0.0014278019
seed,1,n8_c40_r125_k2,0.2500000000,2644,2188,0.8275340393,0.0632757559,0.0617229811,0.0015527748
seed,1,n16_c60_r125_k1,0.3000000000,2644,1830,0.6921331316,0.0634538994,0.0617229811,0.0017309183
seed,1,n16_c60_r125_k2,0.3000000000,2644,1830,0.6921331316,0.0637100515,0.0617229811,0.0019870704
seed,2,n12_c40_r100_k2,0.1000000000,2644,1904,0.7201210287,0.0639041378,0.0641796998,-0.0002755621
seed,2,n12_c40_r100_k2,0.1200000000,2644,1904,0.7201210287,0.0639145760,0.0641796998,-0.0002651239
seed,2,n12_c40_r100_k2,0.0800000000,2644,1904,0.7201210287,0.0639155878,0.0641796998,-0.0002641120
seed,2,n12_c40_r100_k2,0.1500000000,2644,1904,0.7201210287,0.0639712441,0.0641796998,-0.0002084557
seed,2,n12_c40_r100_k2,0.0500000000,2644,1904,0.7201210287,0.0639737714,0.0641796998,-0.0002059285
seed,2,n12_c40_r100_k1,0.0800000000,2644,1904,0.7201210287,0.0639881231,0.0641796998,-0.0001915767
seed,2,n8_c40_r125_k2,0.0800000000,2644,2187,0.8271558245,0.0640005894,0.0641796998,-0.0001791104
seed,2,n12_c40_r100_k1,0.1000000000,2644,1904,0.7201210287,0.0640074195,0.0641796998,-0.0001722803
seed,2,n12_c40_r100_k1,0.0500000000,2644,1904,0.7201210287,0.0640096195,0.0641796998,-0.0001700803
seed,2,n8_c40_r125_k2,0.0500000000,2644,2187,0.8271558245,0.0640168399,0.0641796998,-0.0001628599
seed,2,n8_c40_r125_k2,0.1000000000,2644,2187,0.8271558245,0.0640237553,0.0641796998,-0.0001559445
seed,2,n12_c40_r100_k2,0.0300000000,2644,1904,0.7201210287,0.0640398415,0.0641796998,-0.0001398583
seed,2,n12_c40_r100_k1,0.1200000000,2644,1904,0.7201210287,0.0640535943,0.0641796998,-0.0001261056
seed,2,n12_c40_r100_k1,0.0300000000,2644,1904,0.7201210287,0.0640575513,0.0641796998,-0.0001221485
seed,2,n16_c60_r125_k2,0.0800000000,2644,1769,0.6690620272,0.0640590343,0.0641796998,-0.0001206655
seed,2,n8_c40_r125_k1,0.0500000000,2644,2187,0.8271558245,0.0640594898,0.0641796998,-0.0001202100
seed,1,n8_c40_r125_k1,0.3000000000,2644,2188,0.8275340393,0.0640598982,0.0617229811,0.0023369171
