year,feat,base,w,sse,n,mae,cov
2019,hist_mean,hgb_lag,0.4,1.8676257821200872,249,0.06523252387626977,0.9959839357429718
2019,hist_mean,hgb_lag,0.5,2.4255180786396586,249,0.07445823940693429,0.9959839357429718
2019,hist_mean,hgb_lag,0.7,3.894730279365244,249,0.09419238433006981,0.9959839357429718
2019,hist_mean,hgb_lag,1.0,6.98211759966973,249,0.12522847175620064,0.9959839357429718
2019,hist_local,hgb,0.0,0.8304124820385239,249,0.03972701940527716,1.0
2019,hist_local,hgb,0.02,0.8338691737774242,249,0.03988930698578735,1.0
2019,hist_local,hgb,0.05,0.845661140448706,249,0.040456920260518336,1.0
2019,hist_local,hgb,0.1,0.8829328957353251,249,0.04194330936957006,1.0
2019,hist_local,hgb,0.15,0.9422277478983818,249,0.0441496555538974,1.0
2019,hist_local,hgb,0.2,1.0235456969378756,249,0.04686451785666409,1.0
2019,hist_local,hgb,0.3,1.2522508856461751,249,0.05372700327397645,1.0
2019,hist_local,hgb,0.4,1.5690484618602238,249,0.06149646852302329,1.0
2019,hist_local,hgb,0.5,1.973938425580021,249,0.06951882075851944,1.0
2019,hist_local,hgb,0.7,3.047995515536863,249,0.08706496713387636,1.0
2019,hist_local,hgb,1.0,5.319774056765244,249,0.11488756405305148,1.0
2019,hist_local,hgb_lag,0.0,0.8141486216632763,249,0.039427367948714015,1.0
2019,hist_local,hgb_lag,0.02,0.8212148903582779,249,0.03971914266625266,1.0
2019,hist_local,hgb_lag,0.05,0.8381698729931555,249,0.04039182833459809,1.0
2019,hist_local,hgb_lag,0.1,0.8833763896309526,249,0.04230378070741637,1.0
2019,hist_local,hgb_lag,0.15,0.9497681715766675,249,0.04481842407583318,1.0
2019,hist_local,hgb_lag,0.2,1.0373452188302998,249,0.04762591442064831,1.0
2019,hist_local,hgb_lag,0.3,1.276055109261319,249,0.054595189139348264,1.0
2019,hist_local,hgb_lag,0.4,1.5995060609240088,249,0.06233338782951851,1.0
2019,hist_local,hgb_lag,0.5,2.0076980738183696,249,0.07031028499407548,1.0
2019,hist_local,hgb_lag,0.7,3.0783052833021065,249,0.08754431877492476,1.0
2019,hist_local,hgb_lag,1.0,5.319774056765244,249,0.11488756405305148,1.0
2020,hist_exact,hgb,0.0,0.6953700690402412,222,0.03761340888680115,0.9369369369369369
2020,hist_exact,hgb,0.02,0.6890067181344884,222,0.03769067032068836,0.9369369369369369
2020,hist_exact,hgb,0.05,0.6890708749870355,222,0.0380445788486937,0.9369369369369369
2020,hist_exact,hgb,0.1,0.7148022916377488,222,0.039041341115348065,0.9369369369369369
2020,hist_exact,hgb,0.15,0.7725643189923819,222,0.041281448704016725,0.9369369369369369
2020,hist_exact,hgb,0.2,0.8623569570509344,222,0.044239707835100374,0.9369369369369369
2020,hist_exact,hgb,0.3,1.1380340652797978,222,0.05092790668572876,0.9369369369369369
2020,hist_exact,hgb,0.4,1.5418336163243391,222,0.058899148637909446,0.9369369369369369
2020,hist_exact,hgb,0.5,2.0737556101845582,222,0.06796824133147528,0.9369369369369369
2020,hist_exact,hgb,0.7,3.5219669263520297,222,0.08717728905231588,0.9369369369369369
2020,hist_exact,hgb,1.0,6.655202221720824,222,0.11802273789234699,0.9369369369369369
2020,hist_exact,hgb_lag,0.0,0.6791643260362848,222,0.037629656313872696,0.9369369369369369
2020,hist_exact,hgb_lag,0.02,0.6754249626457163,222,0.03773737121085553,0.9369369369369369
2020,hist_exact,hgb_lag,0.05,0.6792336436647051,222,0.03813123496378639,0.9369369369369369
2020,hist_exact,hgb_lag,0.1,0.7106953816425963,222,0.039498656311835495,0.9369369369369369
2020,hist_exact,hgb_lag,0.15,0.773549539969959,222,0.041861090083161426,0.9369369369369369
2020,hist_exact,hgb_lag,0.2,0.8677961186467931,222,0.044868897139935665,0.9369369369369369
2020,hist_exact,hgb_lag,0.3,1.150466537048875,222,0.05148533615889212,0.9369369369369369
2020,hist_exact,hgb_lag,0.4,1.558706636848842,222,0.05930766103258244,0.9369369369369369
2020,hist_exact,hgb_lag,0.5,2.092516418046694,222,0.06832712608812419,0.9369369369369369
2020,hist_exact,hgb_lag,0.7,3.5368450246360537,222,0.08734938600048185,0.9369369369369369
2020,hist_exact,hgb_lag,1.0,6.645110545004234,222,0.11787428721034661,0.9369369369369369
2020,hist_mean,hgb,0.0,0.6953700690402412,222,0.03761340888680115,0.9369369369369369
2020,hist_mean,hgb,0.02,0.6905303116414039,222,0.037751754681266646,0.9369369369369369
2020,hist_mean,hgb,0.05,0.692415149019832,222,0.03818101450076655,0.9369369369369369
2020,hist_mean,hgb,0.1,0.719941807255035,222,0.039302806662551704,0.9369369369369369
2020,hist_mean,hgb,0.15,0.7779500437458502,222,0.04168284715418627,0.9369369369369369
2020,hist_mean,hgb,0.2,0.8664398584922779,222,0.04480860204190948,0.9369369369369369
2020,hist_mean,hgb,0.3,1.13486422275197,222,0.05212440565295009,0.9369369369369369
2020,hist_mean,hgb,0.4,1.5252149000341115,222,0.0603307711911438,0.9369369369369369
2020,hist_mean,hgb,0.5,2.037491890338702,222,0.06958752993972803,0.9369369369369369
2020,hist_mean,hgb,0.7,3.427824810015231,222,0.08931534652055974,0.9369369369369369
2020,hist_mean,hgb,1.0,6.427771537198392,222,0.12079378585900441,0.9369369369369369
2020,hist_mean,hgb_lag,0.0,0.6791643260362848,222,0.037629656313872696,0.9369369369369369
2020,hist_mean,hgb_lag,0.02,0.6768766856907674,222,0.03780229457170537,0.9369369369369369
2020,hist_mean,hgb_lag,0.05,0.6824037418332896,222,0.038298388925416205,0.9369369369369369
2020,hist_mean,hgb_lag,0.1,0.7155048798329541,222,0.03983142280646438,0.9369369369369369
2020,hist_mean,hgb_lag,0.15,0.7784677400352787,222,0.04239487548915262,0.9369369369369369
2020,hist_mean,hgb_lag,0.2,0.871292322440264,222,0.045586240886180886,0.9369369369369369
2020,hist_mean,hgb_lag,0.3,1.1465266538582144,222,0.05267411745821192,0.9369369369369369
2020,hist_mean,hgb_lag,0.4,1.5412078740868054,222,0.06072904076597745,0.9369369369369369
2020,hist_mean,hgb_lag,0.5,2.0553359831260365,222,0.06999581087085811,0.9369369369369369
2020,hist_mean,hgb_lag,0.7,3.441932867636421,222,0.08950669014742736,0.9369369369369369
2020,hist_mean,hgb_lag,1.0,6.417679860481803,222,0.12064533517700406,0.9369369369369369
2020,hist_local,hgb,0.0,0.6953700690402412,222,0.03761340888680115,1.0
2020,hist_local,hgb,0.02,0.689981605968448,222,0.0377186006487341,1.0
2020,hist_local,hgb,0.05,0.6877860544017786,222,0.03807260564774364,1.0
2020,hist_local,hgb,0.1,0.6998258499000506,222,0.03901724408471733,1.0
2020,hist_local,hgb,0.15,0.7314894555350581,222,0.0407585774867781,1.0
2020,hist_local,hgb,0.2,0.7827768713068001,222,0.04307229672048584,1.0
2020,hist_local,hgb,0.3,0.9442231332604898,222,0.048816021294264954,1.0
