base,peer_config,peer_weight,alpha,beta,exact_rmse,exact_baseline_rmse,exact_delta,exact_wins,exact_folds,exact_coverage,random_rmse,random_baseline_rmse,random_delta,random_wins,random_folds,random_coverage,random2025_rmse,random2025_baseline_rmse,random2025_delta,random2025_wins,random2025_folds,random2025_coverage,worst_delta,mean_delta,all_wins
b_hgb,n16_c80_r125_k3,0.080000000,0.350000000,-0.100000000,0.062678109,0.063405532,-0.000727423,6,6,0.710053860,0.069038516,0.069826420,-0.000787904,3,3,0.568078669,0.062692907,0.063396855,-0.000703948,3,3,0.833774250,-0.000703948,-0.000739758,True
b_l30,n16_c60_r125_k2,0.120000000,0.350000000,-0.100000000,0.061813109,0.062519637,-0.000706528,6,6,0.899461400,0.068619282,0.069585566,-0.000966284,3,3,0.685577408,0.061547673,0.062251593,-0.000703920,3,3,0.933862434,-0.000703920,-0.000792244,True
b_hgb,n16_c80_r125_k3,0.150000000,0.300000000,-0.100000000,0.062493490,0.063405532,-0.000912041,6,6,0.710053860,0.068910221,0.069826420,-0.000916198,3,3,0.568078669,0.062693209,0.063396855,-0.000703646,3,3,0.833774250,-0.000703646,-0.000843962,True
b_hgb,n16_c80_r125_k3,0.150000000,0.325000000,-0.100000000,0.062498029,0.063405532,-0.000907502,6,6,0.710053860,0.068912074,0.069826420,-0.000914346,3,3,0.568078669,0.062693388,0.063396855,-0.000703467,3,3,0.833774250,-0.000703467,-0.000841772,True
b_hgb,n16_c80_r125_k3,0.080000000,0.325000000,-0.150000000,0.062675919,0.063405532,-0.000729612,6,6,0.710053860,0.069016469,0.069826420,-0.000809950,3,3,0.568078669,0.062693416,0.063396855,-0.000703439,3,3,0.833774250,-0.000703439,-0.000747667,True
b_l30,n16_c80_r125_k2,0.080000000,0.350000000,-0.250000000,0.061785638,0.062519637,-0.000733998,6,6,0.710053860,0.068692448,0.069585566,-0.000893119,3,3,0.568078669,0.061548200,0.062251593,-0.000703393,3,3,0.833774250,-0.000703393,-0.000776837,True
b_hgb,n16_c80_r125_k3,0.080000000,0.300000000,-0.100000000,0.062671040,0.063405532,-0.000734491,6,6,0.710053860,0.069035196,0.069826420,-0.000791224,3,3,0.568078669,0.062693474,0.063396855,-0.000703381,3,3,0.833774250,-0.000703381,-0.000743032,True
b_hgb,n16_c60_r125_k3,0.120000000,0.250000000,-0.050000000,0.062702384,0.063405532,-0.000703148,6,6,0.899461400,0.068896020,0.069826420,-0.000930399,3,3,0.685577408,0.062622290,0.063396855,-0.000774565,3,3,0.933862434,-0.000703148,-0.000802704,True
b_l30,n16_c60_r125_k2,0.120000000,0.325000000,-0.100000000,0.061811857,0.062519637,-0.000707779,6,6,0.899461400,0.068617290,0.069585566,-0.000968276,3,3,0.685577408,0.061548527,0.062251593,-0.000703065,3,3,0.933862434,-0.000703065,-0.000793040,True
b_l30,n16_c60_r125_k2,0.080000000,0.325000000,-0.200000000,0.061816700,0.062519637,-0.000702937,6,6,0.899461400,0.068652082,0.069585566,-0.000933485,3,3,0.685577408,0.061513777,0.062251593,-0.000737816,3,3,0.933862434,-0.000702937,-0.000791412,True
b_l30,n16_c80_r125_k2,0.080000000,0.325000000,-0.150000000,0.061775085,0.062519637,-0.000744551,6,6,0.710053860,0.068724112,0.069585566,-0.000861454,3,3,0.568078669,0.061548667,0.062251593,-0.000702926,3,3,0.833774250,-0.000702926,-0.000769644,True
