protocol,year,kind,order,alpha,rob,pm,rm,rmse,mae,n,seed
exact,2019,rbf,6,20,0,1,0.0,0.1500124973102326,0.1134256045645008,249,
exact,2019,rbf,6,20,1,0,0.0,0.1870668488548503,0.13410239380419048,249,
exact,2019,rbf,6,20,1,1,0.0,0.18601904035072842,0.1334492778548071,249,
exact,2019,rbf,12,1,0,0,0.0,0.0803352333465764,0.06256667094091743,249,
exact,2019,rbf,12,1,0,1,0.0,0.08124681893602555,0.06360046728660405,249,
exact,2019,rbf,12,1,1,0,0.0,0.08157714520694975,0.06285476949145022,249,
exact,2019,rbf,12,1,1,1,0.0,0.08319948698129355,0.06452667820508937,249,
exact,2019,rbf,12,20,0,0,0.0,0.14281392571870546,0.10725182273905037,249,
exact,2019,rbf,12,20,0,1,0.0,0.14280354904403694,0.10732259806331063,249,
exact,2019,rbf,12,20,1,0,0.0,0.19118492162708536,0.13839180254805472,249,
exact,2019,rbf,12,20,1,1,0.0,0.18967478480560346,0.13743089381966744,249,
exact,2019,rbf,20,1,0,0,0.0,0.07946837938303777,0.060216173820936574,249,
exact,2019,rbf,20,1,0,1,0.0,0.07920732964958428,0.06097424341533517,249,
exact,2019,rbf,20,1,1,0,0.0,0.07870198839404016,0.059432397552668555,249,
exact,2019,rbf,20,1,1,1,0.0,0.08036014511005925,0.06149597888532265,249,
exact,2019,rbf,20,20,0,0,0.0,0.1495228338535401,0.11157780362338153,249,
exact,2019,rbf,20,20,0,1,0.0,0.1492744277240871,0.11131135762036452,249,
exact,2019,rbf,20,20,1,0,0.0,0.2064125772918335,0.14851982512672954,249,
exact,2019,rbf,20,20,1,1,0.0,0.20425017076325191,0.1472481743858255,249,
exact,2020,fourier,3,1,0,0,0.0,0.08215851795217398,0.05928972307044936,222,
exact,2020,fourier,3,1,0,1,0.0,0.08141671667227202,0.05900775022373835,222,
exact,2020,fourier,3,1,1,0,0.0,0.08529249637037087,0.05975287540047813,222,
exact,2020,fourier,3,1,1,1,0.0,0.08444790415304154,0.05959942764659017,222,
exact,2020,fourier,3,20,0,0,0.0,0.1180502173617733,0.08659837132180102,222,
exact,2020,fourier,3,20,0,1,0.0,0.11736924753501303,0.08600996643388836,222,
exact,2020,fourier,3,20,1,0,0.0,0.17855291777209528,0.1253827338592895,222,
exact,2020,fourier,3,20,1,1,0.0,0.1758278387302834,0.12335663108242524,222,
exact,2020,fourier,8,1,0,0,0.0,0.0803557589383976,0.05723763415725548,222,
exact,2020,fourier,8,1,0,1,0.0,0.07919952215550866,0.05673139651297949,222,
exact,2020,fourier,8,1,1,0,0.0,0.08191582513038657,0.05627958665451922,222,
exact,2020,fourier,8,1,1,1,0.0,0.08039798286666831,0.05603576150468678,222,
exact,2020,fourier,8,20,0,0,0.0,0.12376071353233765,0.09044233659831022,222,
exact,2020,fourier,8,20,0,1,0.0,0.12273788339467087,0.08971951183700477,222,
exact,2020,fourier,8,20,1,0,0.0,0.19452377377481747,0.13552825231871596,222,
exact,2020,fourier,8,20,1,1,0.0,0.19044477423403758,0.13251696454592937,222,
exact,2020,fourier,12,1,0,0,0.0,0.08726755618446527,0.060915089440743184,222,
exact,2020,fourier,12,1,0,1,0.0,0.08547929483712864,0.06003636341798223,222,
exact,2020,fourier,12,1,1,0,0.0,0.08622562424333323,0.05854780255734606,222,
exact,2020,fourier,12,1,1,1,0.0,0.08396399869462433,0.057274800292054694,222,
exact,2020,fourier,12,20,0,0,0.0,0.13395601643314567,0.09839605285188809,222,
exact,2020,fourier,12,20,0,1,0.0,0.1326301249196433,0.09736530329404822,222,
exact,2020,fourier,12,20,1,0,0.0,0.20616377455291957,0.145438500804887,222,
exact,2020,fourier,12,20,1,1,0.0,0.20188622761249736,0.14244809002747547,222,
exact,2020,rbf,6,1,0,0,0.0,0.08653841789143277,0.06336203902122708,222,
exact,2020,rbf,6,1,0,1,0.0,0.08683151088146752,0.0645029991898438,222,
exact,2020,rbf,6,1,1,0,0.0,0.09281690637123473,0.06556322123675246,222,
exact,2020,rbf,6,1,1,1,0.0,0.09175197374048781,0.06629787800540303,222,
exact,2020,rbf,6,20,0,0,0.0,0.12757813177677993,0.09255648735873905,222,
exact,2020,rbf,6,20,0,1,0.0,0.12709083805479665,0.09218872266391169,222,
exact,2020,rbf,6,20,1,0,0.0,0.1777360107185641,0.12148584095308222,222,
exact,2020,rbf,6,20,1,1,0.0,0.17559463121770025,0.12014747624018507,222,
exact,2020,rbf,12,1,0,0,0.0,0.07518700619564185,0.05397654715457802,222,
exact,2020,rbf,12,1,0,1,0.0,0.07443805063283163,0.054111822763877784,222,
exact,2020,rbf,12,1,1,0,0.0,0.07884768648048292,0.054536156901223376,222,
exact,2020,rbf,12,1,1,1,0.0,0.07844500107179662,0.05563617757449237,222,
exact,2020,rbf,12,20,0,0,0.0,0.1261839230067774,0.09082452484417212,222,
exact,2020,rbf,12,20,0,1,0.0,0.1255915552834449,0.09047058150024585,222,
exact,2020,rbf,12,20,1,0,0.0,0.19073041688842443,0.13000486806506006,222,
exact,2020,rbf,12,20,1,1,0.0,0.18791986777662453,0.12820521263752402,222,
exact,2020,rbf,20,1,0,0,0.0,0.07885895320202888,0.05578844298173783,222,
exact,2020,rbf,20,1,0,1,0.0,0.07645541442205321,0.05525873175558297,222,
exact,2020,rbf,20,1,1,0,0.0,0.0808873657839048,0.056282732383469085,222,
exact,2020,rbf,20,1,1,1,0.0,0.07886723468673187,0.056523937071646733,222,
exact,2020,rbf,20,20,0,0,0.0,0.1357579651023516,0.09727943184276455,222,
exact,2020,rbf,20,20,0,1,0.0,0.13485614530422582,0.09662180531481813,222,
exact,2020,rbf,20,20,1,0,0.0,0.20291775921716743,0.138143832783286,222,
exact,2020,rbf,20,20,1,1,0.0,0.19965157709101025,0.13611072089672557,222,
exact,2021,fourier,3,1,0,0,0.0,0.11882509458742985,0.09111950775958093,130,
exact,2021,fourier,3,1,0,1,0.0,0.11836901730465466,0.09145649151669599,130,
exact,2021,fourier,3,1,1,0,0.0,0.11788352355620968,0.08998208146613358,130,
exact,2021,fourier,3,1,1,1,0.0,0.11760061958367198,0.09019116228384481,130,
exact,2021,fourier,3,20,0,0,0.0,0.16349114628483027,0.12574607899175985,130,
exact,2021,fourier,3,20,0,1,0.0,0.1628946424277781,0.1254559421366732,130,
exact,2021,fourier,3,20,1,0,0.0,0.22653531392137352,0.17469162320131815,130,
exact,2021,fourier,3,20,1,1,0.0,0.22412864999138715,0.1729277873510423,130,
exact,2021,fourier,8,1,0,0,0.0,0.11520877374001988,0.08416555864113204,130,
exact,2021,fourier,8,1,0,1,0.0,0.11385136356025301,0.0836255954038637,130,
exact,2021,fourier,8,1,1,0,0.0,0.11108485853771248,0.08041046472956438,130,
exact,2021,fourier,8,1,1,1,0.0,0.10924470754892804,0.07951047596562313,130,
exact,2021,fourier,8,20,0,0,0.0,0.16888434217654963,0.13503649519793914,130,
exact,2021,fourier,8,20,0,1,0.0,0.16795235807950912,0.1342210031326321,130,
exact,2021,fourier,8,20,1,0,0.0,0.24250771540883317,0.1880124646182736,130,
exact,2021,fourier,8,20,1,1,0.0,0.23785944252112837,0.1847216293424539,130,
exact,2021,fourier,12,1,0,0,0.0,0.1329165937223927,0.09446947516420534,130,
exact,2021,fourier,12,1,0,1,0.0,0.12814828729433028,0.09207767533653059,130,
exact,2021,fourier,12,1,1,0,0.0,0.12382775353500704,0.0893916686403727,130,
exact,2021,fourier,12,1,1,1,0.0,0.11811318246042292,0.08628025776317103,130,
exact,2021,fourier,12,20,0,0,0.0,0.1855746092766263,0.14770469842796016,130,
exact,2021,fourier,12,20,0,1,0.0,0.18407220784946507,0.14647845056662143,130,
exact,2021,fourier,12,20,1,0,0.0,0.2637746241148761,0.2037961474331204,130,
exact,2021,fourier,12,20,1,1,0.0,0.25870871690807545,0.20031204125438162,130,
exact,2021,rbf,6,1,0,0,0.0,0.12638940902138038,0.0989763265994628,130,
exact,2021,rbf,6,1,0,1,0.0,0.12611524074515632,0.09912663967644565,130,
exact,2021,rbf,6,1,1,0,0.0,0.13162373432287008,0.10034464169860904,130,
exact,2021,rbf,6,1,1,1,0.0,0.12934608115036386,0.09832857821226812,130,
exact,2021,rbf,6,20,0,0,0.0,0.1756662576848008,0.13382848274605644,130,
exact,2021,rbf,6,20,0,1,0.0,0.17501062595670644,0.13342440909898184,130,
exact,2021,rbf,6,20,1,0,0.0,0.21605169474794064,0.15980316350537396,130,
exact,2021,rbf,6,20,1,1,0.0,0.21454197182389956,0.15890358604866334,130,
exact,2021,rbf,12,1,0,0,0.0,0.11527061302871511,0.08613118053171417,130,
exact,2021,rbf,12,1,0,1,0.0,0.11459518141324461,0.0864201462289536,130,
exact,2021,rbf,12,1,1,0,0.0,0.11343949852910744,0.0837625053338597,130,
exact,2021,rbf,12,1,1,1,0.0,0.11404358223679482,0.08494102885018348,130,
exact,2021,rbf,12,20,0,0,0.0,0.17237730021338665,0.1289771320328735,130,
exact,2021,rbf,12,20,0,1,0.0,0.17172015473679678,0.12869877245218722,130,
exact,2021,rbf,12,20,1,0,0.0,0.2298049116830253,0.17036067344786043,130,
exact,2021,rbf,12,20,1,1,0.0,0.2271732599764066,0.16866740439878852,130,
exact,2021,rbf,20,1,0,0,0.0,0.11606037962755451,0.08512350127230164,130,
exact,2021,rbf,20,1,0,1,0.0,0.11437985635822348,0.08509749431636099,130,
exact,2021,rbf,20,1,1,0,0.0,0.111579768976781,0.0798961104610677,130,
exact,2021,rbf,20,1,1,1,0.0,0.1117607504314759,0.08173287967693815,130,
exact,2021,rbf,20,20,0,0,0.0,0.18161062994152855,0.13511377665986718,130,
