mode,method,weight,n,rmse_pooled,mae_pooled,bias_pooled
2025,hgb_seed_mean+base_k6,0.3,1512,0.056095854258960166,0.03604163748978789,-0.001228819312169755
2025,hgb_seed_mean+base_k6,0.1,1512,0.056108609520509146,0.03578628743272326,-0.0011936451485439128
2025,hgb_seed42+base_k6,0.05,1512,0.056109560206807886,0.035732349189866536,-0.0008132614541320528
2025,hgb_seed42+base_k6,0.35,1512,0.05612060093681508,0.036151726086308664,-0.0009833669585724725
2025,hgb_seed_mean+lag_k16_d3,0.5,1512,0.05614207617512222,0.03604739067147235,-0.0009672430363927654
2025,hgb_seed_mean+lag_k16_d3,0.05,1512,0.05616874270700242,0.03574562727346919,-0.0011551765636972039
2025,hgb_seed_mean+base_k6,0.35,1512,0.05621287943557493,0.036212339874135024,-0.0012376128530761882
2025,hgb_seed_mean+base_k6,0.05,1512,0.05623197142517937,0.03583779612231597,-0.0011848516076374818
2025,hgb_seed42,,1512,0.05627666606925264,0.03583111265152208,-0.0007849105367252984
2025,hgb_seed42+base_k6,0.0,1512,0.05627666606925264,0.03583111265152208,-0.0007849105367252984
2025,hgb_seed42+lag_k16_d3,0.0,1512,0.05627666606925264,0.03583111265152208,-0.0007849105367252984
2025,hgb_seed42+base_k6,0.4,1512,0.0562913428608755,0.03634410800667105,-0.0010117178759792135
2025,hgb_seed42+lag_k16_d3,0.55,1512,0.05631778195510458,0.03624048148074364,-0.000770345144856368
2025,hgb_seed_mean+lag_k16_d3,0.55,1512,0.05637049738670447,0.036252616141213174,-0.0009463615333589399
2025,hgb_seed_mean+base_k6,0.4,1512,0.05637757589078397,0.03641746398815542,-0.001246406393982643
2025,hgb_seed_mean,,1512,0.056402956109463345,0.03593555107672286,-0.001176058066731014
2025,hgb_seed_mean+base_k6,0.0,1512,0.056402956109463345,0.03593555107672286,-0.001176058066731014
2025,hgb_seed_mean+lag_k16_d3,0.0,1512,0.056402956109463345,0.03593555107672286,-0.001176058066731014
2025,hgb_seed42+base_k6,0.45,1512,0.056509588083293254,0.03655951488607864,-0.001040068793385933
2025,hgb_seed_mean+base_k6,0.45,1512,0.05658952740296008,0.036635121307398405,-0.0012551999348890768
2025,hgb_seed42+lag_k16_d3,0.6,1512,0.05659767580951018,0.03647190739082292,-0.0007690210183228291
2025,hgb_seed_mean+lag_k16_d3,0.6,1512,0.05664397443588214,0.0364912252426288,-0.0009254800303251157
2025,hgb_seed123,,1512,0.05669316419650424,0.036263454555172124,-0.001754517106182118
2025,hgb_seed42+base_k6,0.5,1512,0.05677478879130923,0.0368111196116557,-0.0010684197107926907
2025,hgb_seed_mean+base_k6,0.5,1512,0.05684820542063113,0.03687281169959963,-0.00126399347579555
2025,hgb_seed42+lag_k16_d3,0.65,1512,0.056921863088351024,0.03675166043994772,-0.0007676968917892897
2025,hgb_seed_mean+lag_k16_d3,0.65,1512,0.05696185837960756,0.03676520596885838,-0.0009045985272912918
