exact,n,temp_rmse,precip_rmse,a,b
0.0,200,0.158673765274647,0.3793051414837592,AOI-0033,AOI-0036
0.0,200,0.05737492551500702,0.19497056014969633,AOI-0029,AOI-0030
0.0,199,2.654555799382772,2.467073768000429,AOI-0048,AOI-0075
0.0,199,2.591712299306167,2.218712758657726,AOI-0030,AOI-0075
0.0,199,1.5110736428476457,2.7991296001356707,AOI-0030,AOI-0038
0.0,199,1.4908009694735191,2.819741829388898,AOI-0030,AOI-0040
0.0,199,1.3887220799745545,3.1036037445177853,AOI-0002,AOI-0033
0.0,199,1.3881382487557072,3.103839800971078,AOI-0005,AOI-0033
0.0,199,1.2359091585585933,3.114497302518986,AOI-0044,AOI-0066
0.0,199,1.0313357161925272,1.8378591743270685,AOI-0048,AOI-0054
0.0,199,1.0084370789607306,3.3269091230463546,AOI-0002,AOI-0066
0.0,199,0.972761163447541,2.647119521659485,AOI-0036,AOI-0047
0.0,199,0.8981690532095639,2.1031800858380305,AOI-0038,AOI-0048
0.0,199,0.85534585639217,2.4800427302553474,AOI-0036,AOI-0044
0.0,199,0.8500026283996549,1.7503905805672486,AOI-0030,AOI-0045
0.0,199,0.5435956819150659,1.1954739560643708,AOI-0030,AOI-0052
0.0,199,0.37935917614430725,1.3574745464227058,AOI-0002,AOI-0020
0.0,199,0.34779645226898087,0.8628953457776612,AOI-0047,AOI-0048
0.0,199,0.16140450191412845,0.5397848380166304,AOI-0004,AOI-0030
0.0,199,0.1448928812983766,0.2789529683635498,AOI-0044,AOI-0046
0.0,198,1.6519928937691093,3.2016247151748836,AOI-0038,AOI-0066
0.0,198,1.6138334991735832,3.1874955687177557,AOI-0036,AOI-0054
0.0,198,1.4546105367864453,3.0772766801394433,AOI-0030,AOI-0032
0.0,198,1.2298901394134483,2.0660022512112395,AOI-0030,AOI-0070
0.0,198,1.1503115030084354,1.838891182296414,AOI-0048,AOI-0052
0.0,198,1.0278948668003764,1.8894525348163027,AOI-0046,AOI-0054
0.0,198,0.8977298319746156,2.2129784677205313,AOI-0038,AOI-0046
0.0,198,0.8786309087082139,2.301208327805464,AOI-0040,AOI-0046
0.0,198,0.8770882135150815,2.1859273743983936,AOI-0040,AOI-0048
0.0,198,0.8715276630060264,1.8517411061472824,AOI-0002,AOI-0044
0.0,198,0.865507699475542,1.853849964161419,AOI-0005,AOI-0044
0.0,198,0.8104774258297767,1.8222658685509578,AOI-0004,AOI-0046
0.0,198,0.7892612223307346,1.7294255244830579,AOI-0004,AOI-0048
0.0,198,0.7775418105433151,1.7892948320693938,AOI-0014,AOI-0046
0.0,198,0.738429335759469,1.6018519163784144,AOI-0014,AOI-0048
