dataset,partition,year,method,source,n,rmse,mae
random_private_like,random0,2011,lag_component,modis,36,0.10528749218296027,0.07554093585355133
random_private_like,random0,2012,lag_component,landsat,31,0.11675527734829524,0.08024564526698368
random_private_like,random0,2012,lag_component,modis,27,0.09169706657090733,0.06767841234742498
random_private_like,random0,2013,lag_component,landsat,54,0.08545743129134763,0.06576423027072002
random_private_like,random0,2013,lag_component,modis,24,0.05824693376117252,0.04712814767970306
random_private_like,random0,2014,lag_component,landsat,61,0.05568504606909192,0.04320025772518909
random_private_like,random0,2014,lag_component,modis,34,0.09340212230378124,0.07546872911834188
random_private_like,random0,2015,lag_component,landsat,71,0.1849503336161624,0.08253635179881637
random_private_like,random0,2015,lag_component,modis,21,0.06360514910369043,0.04795108978837847
random_private_like,random0,2016,lag_component,landsat,57,0.15454874170536206,0.07156841869936371
random_private_like,random0,2016,lag_component,modis,31,0.09356242696564211,0.0661379430878393
random_private_like,random0,2017,lag_component,landsat,69,0.06816991840156236,0.0539755939621824
random_private_like,random0,2017,lag_component,modis,25,0.07646404033841542,0.06421826492499295
random_private_like,random0,2017,lag_component,s2,46,0.060232643159053856,0.0399384406451421
random_private_like,random0,2018,lag_component,landsat,73,0.07071098783250791,0.05396305533968386
random_private_like,random0,2018,lag_component,modis,20,0.06837238275916066,0.05056993063369486
random_private_like,random0,2018,lag_component,s2,29,0.07555163759637223,0.05392495728910099
random_private_like,random0,2019,lag_component,landsat,61,0.059662475066567744,0.043565651549692164
random_private_like,random0,2019,lag_component,modis,21,0.07153318106994706,0.052203061555407215
random_private_like,random0,2019,lag_component,s2,103,0.07689823828289896,0.054023223019664675
random_private_like,random0,2020,lag_component,landsat,57,0.0658587005569913,0.0457146282776306
random_private_like,random0,2020,lag_component,modis,21,0.07515518406321293,0.06027893078412733
random_private_like,random0,2020,lag_component,s2,112,0.09685154667045102,0.0577260271745503
random_private_like,random0,2021,lag_component,landsat,38,0.07269872593125874,0.05026859220319708
random_private_like,random0,2021,lag_component,modis,24,0.08455382087051296,0.06443011803311852
random_private_like,random0,2021,lag_component,s2,99,0.10435345029741744,0.07096856634884896
random_private_like,random0,2022,lag_component,landsat,59,0.0582300333584868,0.04310787419360259
random_private_like,random0,2022,lag_component,modis,19,0.0681993422626004,0.050944186725696
random_private_like,random0,2022,lag_component,s2,87,0.09201142889895848,0.05168778846023259
random_private_like,random0,2023,lag_component,landsat,80,0.06258992911768901,0.04060238915378915
random_private_like,random0,2023,lag_component,modis,26,0.07351732652391692,0.05882751594636751
random_private_like,random0,2023,lag_component,s2,79,0.05633305374567771,0.037975833235213544
random_private_like,random0,2024,lag_component,landsat,62,0.04648590530191056,0.033707976544100245
random_private_like,random0,2024,lag_component,modis,12,0.06018763474098236,0.04735822674454013
random_private_like,random0,2024,lag_component,s2,99,0.06381900425078801,0.0377394194893523
random_private_like,random0,2025,lag_component,landsat,172,0.058967603710582205,0.04031912803438891
random_private_like,random0,2025,lag_component,modis,82,0.06504390785979243,0.049601985166449085
random_private_like,random0,2025,lag_component,s2,502,0.056354883298779856,0.03714803991526756
random_private_like,random1,2010,lag_component,landsat,46,0.0686125862557454,0.05324519584793807
random_private_like,random1,2010,lag_component,modis,28,0.05624021804871038,0.04198848439812719
random_private_like,random1,2011,lag_component,landsat,56,0.0782394387794932,0.05984564042327717
random_private_like,random1,2011,lag_component,modis,26,0.06324088832582025,0.044501168748037286
random_private_like,random1,2012,lag_component,landsat,28,0.08609084278045528,0.05631707100197938
random_private_like,random1,2012,lag_component,modis,30,0.0938125555754779,0.06731430353076757
random_private_like,random1,2013,lag_component,landsat,52,0.08039767363531443,0.062094125379504615
random_private_like,random1,2013,lag_component,modis,26,0.06793324730319013,0.051550470920124734
random_private_like,random1,2014,lag_component,landsat,63,0.06447378929275337,0.05207238975625567
random_private_like,random1,2014,lag_component,modis,32,0.08218379303389245,0.06606447467868844
random_private_like,random1,2015,lag_component,landsat,68,0.06923567888307107,0.053012151685802415
random_private_like,random1,2015,lag_component,modis,24,0.09298550968274538,0.0691247702430726
random_private_like,random1,2016,lag_component,landsat,59,0.08259558762983951,0.059280527557765056
random_private_like,random1,2016,lag_component,modis,29,0.06089274670775378,0.04494352295438735
random_private_like,random1,2017,lag_component,landsat,60,0.06325161817624891,0.04828971502149842
random_private_like,random1,2017,lag_component,modis,22,0.07534098185802988,0.06066719425854292
random_private_like,random1,2017,lag_component,s2,58,0.05600885808074338,0.0410685925303141
random_private_like,random1,2018,lag_component,landsat,65,0.06853831674251888,0.05008366012285897
random_private_like,random1,2018,lag_component,modis,27,0.07945534519826108,0.0615577731019162
random_private_like,random1,2018,lag_component,s2,30,0.06681433136015628,0.056717287235918575
random_private_like,random1,2019,lag_component,landsat,52,0.051942346926244866,0.039907742115218345
random_private_like,random1,2019,lag_component,modis,19,0.06904841480501551,0.05471493464920839
random_private_like,random1,2019,lag_component,s2,114,0.13134017844893414,0.0743964971854318
random_private_like,random1,2020,lag_component,landsat,54,0.05226885432769514,0.03970833201175585
