private,train,n,mask_eq,any_eq,temp_rmse,prec_rmse,target_n,target_corr,target_rmse
AOI-0013,AOI-0075,889,0.2992125984251969,0.4465691788526434,,,318,0.3619709866576735,0.1924147569582646
AOI-0013,AOI-0076,370,0.5081081081081081,0.8594594594594595,,,318,0.29582698918834377,0.20498333438289612
AOI-0013,AOI-0077,374,0.516042780748663,0.8556149732620321,,,320,0.32156269691958117,0.19227083809420423
AOI-0014,AOI-0002,3195,0.8685446009389671,0.888262910798122,0.2350462207367795,1.0425674944186607,564,0.5023846362301605,0.23692981274173994
AOI-0014,AOI-0003,3195,0.9189358372456964,0.9267605633802817,0.2350462207367795,1.0425674944186607,724,0.5302545838335675,0.23508375948741314
AOI-0014,AOI-0004,3195,0.8594679186228482,0.8794992175273866,0.24734418706605463,1.0897308310226164,525,0.5715565760784856,0.22948200884562492
AOI-0014,AOI-0007,3195,0.8757433489827856,0.8932707355242566,0.5790733013133784,1.8257842385313319,594,0.5390380956047884,0.2331710718282547
AOI-0014,AOI-0008,705,0.7304964539007093,0.8156028368794326,,,575,0.5288566638970771,0.2346898737301089
AOI-0014,AOI-0011,3195,0.8751173708920188,0.8942097026604069,0.5790733013133784,1.8257842385313319,599,0.6658433710200936,0.19842531895036822
AOI-0014,AOI-0015,3195,0.9455399061032864,0.9499217527386542,0.0,0.0,779,0.5316117196251624,0.23311267415169876
AOI-0014,AOI-0019,3195,0.9267605633802817,0.9339593114241002,0.2617691627918372,0.9801018435993859,759,0.6458978522876633,0.1993427607831135
AOI-0014,AOI-0020,3195,0.9258215962441314,0.9317683881064163,0.2617691627918372,0.9801018435993859,746,0.5127683738812885,0.22941835598332352
AOI-0014,AOI-0021,3195,0.9211267605633803,0.929264475743349,0.2617691627918372,0.9801018435993859,743,0.4208185632923971,0.2594425049292943
AOI-0014,AOI-0022,3195,0.9255086071987481,0.9323943661971831,0.2617691627918372,0.9801018435993859,752,0.6337087268601812,0.22117951931060426
AOI-0014,AOI-0023,3195,0.9189358372456964,0.9267605633802817,0.3695534766281474,1.3077044845713641,742,0.487032080876038,0.264880527912262
AOI-0014,AOI-0026,3195,0.844131455399061,0.865414710485133,0.3843154987358371,1.5382409195988216,477,0.5028273136805138,0.25435069051429354
AOI-0014,AOI-0027,574,0.710801393728223,0.8170731707317073,,,469,0.5255910243910977,0.2403637880063507
AOI-0014,AOI-0030,3195,0.847887323943662,0.8676056338028169,0.35757199076520374,1.3962565490809493,469,0.3793162417378515,0.3282165465196338
