method,n,rmse,mae,cohort
factor_bw24_median_sh0.15,377,0.15077893731553801,0.10647326537645892,shared_2025
factor_bw32_median_sh0.15,2644,0.16303907693053502,0.11192993068437732,all
factor_bw32_median_sh0.15,2267,0.16486747308211133,0.1129260381514191,new
factor_bw32_median_sh0.15,377,0.15158011301613877,0.10594007490776253,shared
factor_bw32_median_sh0.15,1888,0.1659138612804494,0.11576457224132052,history
factor_bw32_median_sh0.15,756,0.15562798745404186,0.1023534713464027,2025
factor_bw32_median_sh0.15,1888,0.1659138612804494,0.11576457224132052,new_history
factor_bw32_median_sh0.15,379,0.1595526498702301,0.09878579445291286,new_2025
factor_bw32_median_sh0.15,377,0.15158011301613877,0.10594007490776253,shared_2025
factor_bw24_median_sh1.5,2644,0.16310543870678607,0.11276438529877698,all
factor_bw24_median_sh1.5,2267,0.16493907090718332,0.11363302314685773,new
factor_bw24_median_sh1.5,377,0.1516124290884711,0.10754103781442927,shared
factor_bw24_median_sh1.5,1888,0.16626342421950507,0.11655606223227614,history
factor_bw24_median_sh1.5,756,0.15493798950144144,0.10329522385638755,2025
factor_bw24_median_sh1.5,1888,0.16626342421950507,0.11655606223227614,new_history
factor_bw24_median_sh1.5,379,0.15817665072251916,0.09907181524904787,new_2025
factor_bw24_median_sh1.5,377,0.1516124290884711,0.10754103781442927,shared_2025
factor_bw24_median_sh0.0,2644,0.16319784711437033,0.1122978268835903,all
factor_bw24_median_sh0.0,2267,0.16518589991467925,0.11328240525504832,new
factor_bw24_median_sh0.0,377,0.1506911195927387,0.10637729858625525,shared
factor_bw24_median_sh0.0,1888,0.1668986564496894,0.11645985603363958,history
factor_bw24_median_sh0.0,756,0.15356662579483596,0.10190376466759428,2025
factor_bw24_median_sh0.0,1888,0.1668986564496894,0.11645985603363958,new_history
factor_bw24_median_sh0.0,379,0.15637450793390875,0.09745383778808193,new_2025
factor_bw24_median_sh0.0,377,0.1506911195927387,0.10637729858625525,shared_2025
factor_bw32_median_sh0.0,2644,0.16340784960951982,0.11222292641134347,all
factor_bw32_median_sh0.0,2267,0.1652961137737457,0.11327098754948581,new
factor_bw32_median_sh0.0,377,0.15155795590046162,0.10592065956739481,shared
factor_bw32_median_sh0.0,1888,0.1662058954542444,0.11597047634577459,history
factor_bw32_median_sh0.0,756,0.1562014061042443,0.10286396572853138,2025
factor_bw32_median_sh0.0,1888,0.1662058954542444,0.11597047634577459,new_history
factor_bw32_median_sh0.0,379,0.16068728418769723,0.09982340220016327,new_2025
factor_bw32_median_sh0.0,377,0.15155795590046162,0.10592065956739481,shared_2025
factor_bw16_median_sh0.15,2644,0.16361739690379618,0.1120354132920354,all
factor_bw16_median_sh0.15,2267,0.1654432560146579,0.11302600259520292,new
factor_bw16_median_sh0.15,377,0.15217678472406676,0.10607873968386362,shared
factor_bw16_median_sh0.15,1888,0.16721039199749568,0.11674945498166892,history
factor_bw16_median_sh0.15,756,0.15427942385079094,0.10026278007771253,2025
factor_bw16_median_sh0.15,1888,0.16721039199749568,0.11674945498166892,new_history
factor_bw16_median_sh0.15,379,0.15634291504869824,0.09447751155127729,new_2025
factor_bw16_median_sh0.15,377,0.15217678472406676,0.10607873968386362,shared_2025
factor_bw16_median_sh1.5,2644,0.1637038498933816,0.11240072846098276,all
factor_bw16_median_sh1.5,2267,0.16546990863248393,0.11329691739497656,new
factor_bw16_median_sh1.5,377,0.15265385429203518,0.10701170906213953,shared
factor_bw16_median_sh1.5,1888,0.16702114318495603,0.11684964267723504,history
factor_bw16_median_sh1.5,756,0.1551098751848172,0.10129021253468078,2025
factor_bw16_median_sh1.5,1888,0.16702114318495603,0.11684964267723504,new_history
factor_bw16_median_sh1.5,379,0.15751494769606142,0.09559890860103445,new_2025
factor_bw16_median_sh1.5,377,0.15265385429203518,0.10701170906213953,shared_2025
factor_bw16_median_sh0.0,2644,0.16394940037573888,0.11217746237572636,all
factor_bw16_median_sh0.0,2267,0.16583093270354674,0.11320744400442966,new
factor_bw16_median_sh0.0,377,0.15214539886360665,0.10598391236970435,shared
factor_bw16_median_sh0.0,1888,0.1674894870904831,0.1169951071793339,history
factor_bw16_median_sh0.0,756,0.15475530331918066,0.10014609545878059,2025
factor_bw16_median_sh0.0,1888,0.1674894870904831,0.1169951071793339,new_history
factor_bw16_median_sh0.0,379,0.15730848228910235,0.09433908496955035,new_2025
factor_bw16_median_sh0.0,377,0.15214539886360665,0.10598391236970435,shared_2025
factor_bw8_mean_sh0.15,2644,0.16481784143516845,0.1137253561049469,all
factor_bw8_mean_sh0.15,2267,0.1667927803010826,0.11507028933466301,new
factor_bw8_mean_sh0.15,377,0.15240331625550516,0.10563791941591145,shared
factor_bw8_mean_sh0.15,1888,0.16937378414609952,0.11943958978601654,history
factor_bw8_mean_sh0.15,756,0.15284814043602035,0.09945488892259312,2025
factor_bw8_mean_sh0.15,1888,0.16937378414609952,0.11943958978601654,new_history
factor_bw8_mean_sh0.15,379,0.15328933664685523,0.09330448655852713,new_2025
factor_bw8_mean_sh0.15,377,0.15240331625550516,0.10563791941591145,shared_2025
factor_bw8_mean_sh0.0,2644,0.16509987437578025,0.11401713279964289,all
factor_bw8_mean_sh0.0,2267,0.16710960109058443,0.11540369635733876,new
factor_bw8_mean_sh0.0,377,0.1524572471036031,0.10567936201636302,shared
factor_bw8_mean_sh0.0,1888,0.1696635051984034,0.11986107932933521,history
factor_bw8_mean_sh0.0,756,0.1531099897345538,0.09942272665141658,2025
factor_bw8_mean_sh0.0,1888,0.1696635051984034,0.11986107932933521,new_history
factor_bw8_mean_sh0.0,379,0.15375653864581182,0.09319910783193157,new_2025
factor_bw8_mean_sh0.0,377,0.1524572471036031,0.10567936201636302,shared_2025
factor_bw8_mean_sh1.5,2644,0.16511692165230482,0.11337559044287797,all
factor_bw8_mean_sh1.5,2267,0.16710399939724677,0.1146396909800253,new
factor_bw8_mean_sh1.5,377,0.15262355563639882,0.10577422196088063,shared
factor_bw8_mean_sh1.5,1888,0.16950885984421765,0.11873292278872077,history
factor_bw8_mean_sh1.5,756,0.15360125787155576,0.09999643241516468,2025
factor_bw8_mean_sh1.5,1888,0.16950885984421765,0.11873292278872077,new_history
factor_bw8_mean_sh1.5,379,0.15456766535927638,0.09424913252404357,new_2025
factor_bw8_mean_sh1.5,377,0.15262355563639882,0.10577422196088063,shared_2025
factor_bw8_trim_sh0.15,2644,0.16547990771707383,0.1132952608368562,all
factor_bw8_trim_sh0.15,2267,0.1674859211764331,0.11458969911373,new
factor_bw8_trim_sh0.15,377,0.1528631339211861,0.10551146355920915,shared
factor_bw8_trim_sh0.15,1888,0.17007439533388888,0.11883284045668788,history
factor_bw8_trim_sh0.15,756,0.15340608920240645,0.09946596146881087,2025
factor_bw8_trim_sh0.15,1888,0.17007439533388888,0.11883284045668788,new_history
factor_bw8_trim_sh0.15,379,0.15394427944604105,0.09345236176411395,new_2025
factor_bw8_trim_sh0.15,377,0.1528631339211861,0.10551146355920915,shared_2025
factor_bw8_trim_sh1.5,2644,0.16569038586226797,0.11325535642617286,all
factor_bw8_trim_sh1.5,2267,0.16767485766375081,0.11448493476742404,new
factor_bw8_trim_sh1.5,377,0.15321620831431806,0.10586157897360932,shared
factor_bw8_trim_sh1.5,1888,0.17008451994421986,0.11850075057122283,history
factor_bw8_trim_sh1.5,756,0.15417070848195144,0.10015574776763533,2025
factor_bw8_trim_sh1.5,1888,0.17008451994421986,0.11850075057122283,new_history
factor_bw8_trim_sh1.5,379,0.15511434468778015,0.0944800264888697,new_2025
factor_bw8_trim_sh1.5,377,0.15321620831431806,0.10586157897360932,shared_2025
factor_bw8_trim_sh0.0,2644,0.16575979262837442,0.11349470865709288,all
factor_bw8_trim_sh0.0,2267,0.16780722221529998,0.11482714589841193,new
factor_bw8_trim_sh0.0,377,0.15287093000772534,0.10548241362772871,shared
factor_bw8_trim_sh0.0,1888,0.17034851102003973,0.11915942158569168,history
factor_bw8_trim_sh0.0,756,0.1537030355633406,0.09934791234863452,2025
factor_bw8_trim_sh0.0,1888,0.17034851102003973,0.11915942158569168,new_history
factor_bw8_trim_sh0.0,379,0.15452630474186455,0.09324578310795244,new_2025
factor_bw8_trim_sh0.0,377,0.15287093000772534,0.10548241362772871,shared_2025
factor_bw8_median_sh0.15,2644,0.16675904764799368,0.1135729110032429,all
factor_bw8_median_sh0.15,2267,0.16880954778268528,0.11484850055347418,new
factor_bw8_median_sh0.15,377,0.1538536756028011,0.10590245606856306,shared
factor_bw8_median_sh0.15,1888,0.17145662020401164,0.11906819991647298,history
factor_bw8_median_sh0.15,756,0.15440466809427794,0.09984922652152543,2025
factor_bw8_median_sh0.15,1888,0.17145662020401164,0.11906819991647298,new_history
factor_bw8_median_sh0.15,379,0.15495080918287793,0.0938279401383244,new_2025
factor_bw8_median_sh0.15,377,0.1538536756028011,0.10590245606856306,shared_2025
factor_bw8_median_sh1.5,2644,0.16703824219502028,0.11394344276973478,all
factor_bw8_median_sh1.5,2267,0.16903812650664835,0.1151471269438939,new
factor_bw8_median_sh1.5,377,0.1544673986155748,0.1067053737436905,shared
factor_bw8_median_sh1.5,1888,0.1714976051414522,0.1191850370456574,history
factor_bw8_median_sh1.5,756,0.1553435953481515,0.10085332373145191,2025
factor_bw8_median_sh1.5,1888,0.1714976051414522,0.1191850370456574,new_history
factor_bw8_median_sh1.5,379,0.1562102925997449,0.09503215524962091,new_2025
factor_bw8_median_sh1.5,377,0.1544673986155748,0.1067053737436905,shared_2025
factor_bw8_median_sh0.0,2644,0.16707812357729054,0.11371261643903163,all
factor_bw8_median_sh0.0,2267,0.16918636852221172,0.11502179888863988,new
factor_bw8_median_sh0.0,377,0.15379248894975067,0.10584015857892075,shared
factor_bw8_median_sh0.0,1888,0.1717230250947638,0.11932199857055029,history
factor_bw8_median_sh0.0,756,0.15487097105745443,0.09970400074550359,2025
factor_bw8_median_sh0.0,1888,0.1717230250947638,0.11932199857055029,new_history
factor_bw8_median_sh0.0,379,0.15593636211670164,0.09360022369221004,new_2025
factor_bw8_median_sh0.0,377,0.15379248894975067,0.10584015857892075,shared_2025
ridge_bw16_k3,2644,0.3803725991426265,0.3043545160823837,all
ridge_bw16_k3,2267,0.38062771170846377,0.302418926828459,new
ridge_bw16_k3,377,0.37883491776259387,0.3159937225509444,shared
ridge_bw16_k3,1888,0.3902329455449354,0.3146523310888215,history
ridge_bw16_k3,756,0.3545522836478682,0.2786372214631313,2025
ridge_bw16_k3,1888,0.3902329455449354,0.3146523310888215,new_history
ridge_bw16_k3,379,0.32862246636919157,0.24147785230718005,new_2025
ridge_bw16_k3,377,0.37883491776259387,0.3159937225509444,shared_2025
ridge_bw32_k3,2644,0.38730594401851065,0.31347481284056966,all
ridge_bw32_k3,2267,0.3879433261403411,0.31261201333780253,new
ridge_bw32_k3,377,0.3834508582268362,0.31866305282139973,shared
ridge_bw32_k3,1888,0.3959620698360646,0.3230839605956619,history
ridge_bw32_k3,756,0.364792632551555,0.2894773644786459,2025
ridge_bw32_k3,1888,0.3959620698360646,0.3230839605956619,new_history
ridge_bw32_k3,379,0.3452338933633647,0.2604456903223974,new_2025
ridge_bw32_k3,377,0.3834508582268362,0.31866305282139973,shared_2025
ridge_bw24_k3,2644,0.38820269282343667,0.31663281013707184,all
ridge_bw24_k3,2267,0.3924503106331358,0.31966041787873145,new
ridge_bw24_k3,377,0.36161009312630843,0.2984270097382856,shared
ridge_bw24_k3,1888,0.40508484693625263,0.3368020837436199,history
ridge_bw24_k3,756,0.34242627541796067,0.26626298398738546,2025
ridge_bw24_k3,1888,0.40508484693625263,0.3368020837436199,new_history
ridge_bw24_k3,379,0.32221254020628287,0.2342686892430864,new_2025
ridge_bw24_k3,377,0.36161009312630843,0.2984270097382856,shared_2025
ridge_bw8_k3,2644,0.39674655337447834,0.3270452278881729,all
ridge_bw8_k3,2267,0.3993871019065209,0.328604552160604,new
ridge_bw8_k3,377,0.38048202225253497,0.317668601560318,shared
ridge_bw8_k3,1888,0.40770397759638854,0.3401800226444663,history
ridge_bw8_k3,756,0.3679597567783642,0.2942429891317156,2025
ridge_bw8_k3,1888,0.40770397759638854,0.3401800226444663,new_history
ridge_bw8_k3,379,0.35506570294628903,0.270940994710652,new_2025
ridge_bw8_k3,377,0.38048202225253497,0.317668601560318,shared_2025
ridge_bw24_k5,2644,0.4093508755596649,0.34273446031116034,all
ridge_bw24_k5,2267,0.41284688967226874,0.3452216419363346,new
ridge_bw24_k5,377,0.38766419381098577,0.3277783840664126,shared
ridge_bw24_k5,1888,0.42234008487061875,0.3581950506085227,history
ridge_bw24_k5,756,0.3749522620147496,0.3041238856002872,2025
ridge_bw24_k5,1888,0.42234008487061875,0.3581950506085227,new_history
ridge_bw24_k5,379,0.36186465401099394,0.2805942129835873,new_2025
ridge_bw24_k5,377,0.38766419381098577,0.3277783840664126,shared_2025
ridge_bw16_k5,2644,0.4134048294509012,0.34714322855963875,all
ridge_bw16_k5,2267,0.4148880448409048,0.34755547559387434,new
ridge_bw16_k5,377,0.4043711648858654,0.34466427888692797,shared
ridge_bw16_k5,1888,0.421075822667621,0.35696776472793645,history
ridge_bw16_k5,756,0.3935952859252625,0.32260787897531856,2025
ridge_bw16_k5,1888,0.421075822667621,0.35696776472793645,new_history
ridge_bw16_k5,379,0.3825752676454219,0.3006678716753799,new_2025
ridge_bw16_k5,377,0.4043711648858654,0.34466427888692797,shared_2025
ridge_bw32_k5,2644,0.41372801435133877,0.3501834543340363,all
ridge_bw32_k5,2267,0.4162561193150822,0.35211713820734364,new
ridge_bw32_k5,377,0.3981875425851968,0.33855570541947994,shared
ridge_bw32_k5,1888,0.4228900347857286,0.36257656141064576,history
ridge_bw32_k5,756,0.3899081542842473,0.31923347264006974,2025
ridge_bw32_k5,1888,0.4228900347857286,0.36257656141064576,new_history
ridge_bw32_k5,379,0.38149423447809705,0.300013204149733,new_2025
ridge_bw32_k5,377,0.3981875425851968,0.33855570541947994,shared_2025
ridge_bw8_k5,2644,0.41906103564268005,0.35630714134073427,all
ridge_bw8_k5,2267,0.4210744072024278,0.35821219790081565,new
ridge_bw8_k5,377,0.40674400917702247,0.34485153597812307,shared
ridge_bw8_k5,1888,0.4283614051313713,0.3692407633232611,history
ridge_bw8_k5,756,0.3948792817735718,0.3240073023155879,2025
ridge_bw8_k5,1888,0.4283614051313713,0.3692407633232611,new_history
ridge_bw8_k5,379,0.3827124188486256,0.3032730646090555,new_2025
ridge_bw8_k5,377,0.40674400917702247,0.34485153597812307,shared_2025
ridge_bw32_k8,2644,0.4227631807326628,0.3633125307645145,all
ridge_bw32_k8,2267,0.4249049065110427,0.3651566305473061,new
ridge_bw32_k8,377,0.4096483779213311,0.3522234745109634,shared
ridge_bw32_k8,1888,0.42910907945818505,0.3722509343392526,history
ridge_bw32_k8,756,0.40648280476218,0.3409901683979727,2025
ridge_bw32_k8,1888,0.42910907945818505,0.3722509343392526,new_history
ridge_bw32_k8,379,0.4033092869841407,0.32981614094520884,new_2025
ridge_bw32_k8,377,0.4096483779213311,0.3522234745109634,shared_2025
