mode,lag_weight,scale,exact_rmse,exact_base,exact_delta,exact_n,random_rmse,random_base,random_delta,random_n,random2025_rmse,random2025_base,random2025_delta,random2025_n,exact_wins,exact_folds,random_wins,random_folds,random2025_wins,random2025_folds,worst_delta,mean_delta
global,0.300000000,0.000000000,0.061801158,0.061801158,0.000000000,1114,0.071268305,0.071268305,0.000000000,5664,0.061513373,0.061513373,0.000000000,2268,0,6,0,3,0,3,0.000000000,0.000000000
global,0.300000000,0.025000000,0.061802422,0.061801158,0.000001265,1114,0.071267442,0.071268305,-0.000000863,5664,0.061513535,0.061513373,0.000000162,2268,3,6,2,3,1,3,0.000001265,0.000000188
global,0.300000000,0.050000000,0.061803699,0.061801158,0.000002541,1114,0.071266605,0.071268305,-0.000001700,5664,0.061513730,0.061513373,0.000000357,2268,3,6,2,3,1,3,0.000002541,0.000000399
global,0.300000000,0.075000000,0.061804987,0.061801158,0.000003829,1114,0.071265793,0.071268305,-0.000002512,5664,0.061513957,0.061513373,0.000000583,2268,3,6,2,3,1,3,0.000003829,0.000000633
global,0.300000000,0.100000000,0.061806287,0.061801158,0.000005129,1114,0.071265007,0.071268305,-0.000003298,5664,0.061514216,0.061513373,0.000000842,2268,3,6,2,3,1,3,0.000005129,0.000000891
global,0.300000000,0.125000000,0.061807598,0.061801158,0.000006441,1114,0.071264247,0.071268305,-0.000004059,5664,0.061514507,0.061513373,0.000001134,2268,3,6,2,3,1,3,0.000006441,0.000001172
global,0.300000000,0.150000000,0.061808922,0.061801158,0.000007764,1114,0.071263512,0.071268305,-0.000004793,5664,0.061514830,0.061513373,0.000001457,2268,3,6,2,3,1,3,0.000007764,0.000001476
global,0.300000000,0.175000000,0.061810257,0.061801158,0.000009099,1114,0.071262803,0.071268305,-0.000005502,5664,0.061515186,0.061513373,0.000001813,2268,3,6,2,3,1,3,0.000009099,0.000001803
global,0.300000000,0.200000000,0.061811604,0.061801158,0.000010446,1114,0.071262120,0.071268305,-0.000006185,5664,0.061515574,0.061513373,0.000002201,2268,3,6,2,3,1,3,0.000010446,0.000002154
global,0.300000000,0.225000000,0.061812963,0.061801158,0.000011805,1114,0.071261462,0.071268305,-0.000006843,5664,0.061515994,0.061513373,0.000002621,2268,3,6,2,3,1,3,0.000011805,0.000002528
global,0.300000000,0.250000000,0.061814333,0.061801158,0.000013176,1114,0.071260831,0.071268305,-0.000007475,5664,0.061516447,0.061513373,0.000003073,2268,3,6,2,3,1,3,0.000013176,0.000002925
global,0.300000000,0.275000000,0.061815716,0.061801158,0.000014558,1114,0.071260224,0.071268305,-0.000008081,5664,0.061516931,0.061513373,0.000003558,2268,3,6,2,3,1,3,0.000014558,0.000003345
global,0.300000000,0.300000000,0.061817110,0.061801158,0.000015952,1114,0.071259644,0.071268305,-0.000008661,5664,0.061517448,0.061513373,0.000004075,2268,3,6,2,3,1,3,0.000015952,0.000003789
global,0.300000000,0.325000000,0.061818516,0.061801158,0.000017358,1114,0.071259089,0.071268305,-0.000009216,5664,0.061517997,0.061513373,0.000004624,2268,3,6,2,3,1,3,0.000017358,0.000004255
global,0.300000000,0.350000000,0.061819933,0.061801158,0.000018776,1114,0.071258560,0.071268305,-0.000009745,5664,0.061518579,0.061513373,0.000005206,2268,3,6,2,3,1,3,0.000018776,0.000004745
