route,features,group,seed,split,model,cap,n,rmse,baseline_rmse,delta_rmse,improved
all,candidate,group_aoi,2,1,ridge30,0.04,542,0.05926349290134679,0.059317013075172995,-5.3520173826204775e-05,1
all,candidate,group_aoi,2,1,ridge30,0.06,542,0.05926349290134679,0.059317013075172995,-5.3520173826204775e-05,1
all,candidate,group_aoi,2,2,ridge30,0.01,654,0.06736600989449341,0.06756143900744452,-0.00019542911295110377,1
all,candidate,group_aoi,2,2,ridge30,0.02,654,0.0673414883771623,0.06756143900744452,-0.00021995063028221185,1
all,candidate,group_aoi,2,2,ridge30,0.03,654,0.0673414883771623,0.06756143900744452,-0.00021995063028221185,1
all,candidate,group_aoi,2,2,ridge30,0.04,654,0.0673414883771623,0.06756143900744452,-0.00021995063028221185,1
all,candidate,group_aoi,2,2,ridge30,0.06,654,0.0673414883771623,0.06756143900744452,-0.00021995063028221185,1
all,candidate,group_aoi,2,3,ridge30,0.01,675,0.051103448278110364,0.051111738380255366,-8.290102145001865e-06,1
all,candidate,group_aoi,2,3,ridge30,0.02,675,0.0511287497726177,0.051111738380255366,1.70113923623344e-05,0
all,candidate,group_aoi,2,3,ridge30,0.03,675,0.0511287497726177,0.051111738380255366,1.70113923623344e-05,0
all,candidate,group_aoi,2,3,ridge30,0.04,675,0.0511287497726177,0.051111738380255366,1.70113923623344e-05,0
all,candidate,group_aoi,2,3,ridge30,0.06,675,0.0511287497726177,0.051111738380255366,1.70113923623344e-05,0
all,candidate,group_aoi,2,1,ridge100,0.01,542,0.059292585559564744,0.059317013075172995,-2.4427515608251016e-05,1
all,candidate,group_aoi,2,1,ridge100,0.02,542,0.059291832916279874,0.059317013075172995,-2.518015889312053e-05,1
all,candidate,group_aoi,2,1,ridge100,0.03,542,0.059291832916279874,0.059317013075172995,-2.518015889312053e-05,1
all,candidate,group_aoi,2,1,ridge100,0.04,542,0.059291832916279874,0.059317013075172995,-2.518015889312053e-05,1
all,candidate,group_aoi,2,1,ridge100,0.06,542,0.059291832916279874,0.059317013075172995,-2.518015889312053e-05,1
all,candidate,group_aoi,2,2,ridge100,0.01,654,0.06756697345820632,0.06756143900744452,5.534450761804366e-06,0
all,candidate,group_aoi,2,2,ridge100,0.02,654,0.067566187658938,0.06756143900744452,4.748651493483025e-06,0
all,candidate,group_aoi,2,2,ridge100,0.03,654,0.067566187658938,0.06756143900744452,4.748651493483025e-06,0
all,candidate,group_aoi,2,2,ridge100,0.04,654,0.067566187658938,0.06756143900744452,4.748651493483025e-06,0
all,candidate,group_aoi,2,2,ridge100,0.06,654,0.067566187658938,0.06756143900744452,4.748651493483025e-06,0
all,candidate,group_aoi,2,3,ridge100,0.01,675,0.0510978472493925,0.051111738380255366,-1.3891130862864198e-05,1
all,candidate,group_aoi,2,3,ridge100,0.02,675,0.05109767917698816,0.051111738380255366,-1.4059203267205445e-05,1
all,candidate,group_aoi,2,3,ridge100,0.03,675,0.05109767917698816,0.051111738380255366,-1.4059203267205445e-05,1
all,candidate,group_aoi,2,3,ridge100,0.04,675,0.05109767917698816,0.051111738380255366,-1.4059203267205445e-05,1
all,candidate,group_aoi,2,3,ridge100,0.06,675,0.05109767917698816,0.051111738380255366,-1.4059203267205445e-05,1
all,candidate,group_aoi,2,1,hgb8,0.01,542,0.059486549409211754,0.059317013075172995,0.00016953633403875984,0
all,candidate,group_aoi,2,1,hgb8,0.02,542,0.0596071228993741,0.059317013075172995,0.00029010982420110687,0
all,candidate,group_aoi,2,1,hgb8,0.03,542,0.05962111069438643,0.059317013075172995,0.0003040976192134337,0
all,candidate,group_aoi,2,1,hgb8,0.04,542,0.05962111069438643,0.059317013075172995,0.0003040976192134337,0
all,candidate,group_aoi,2,1,hgb8,0.06,542,0.05962111069438643,0.059317013075172995,0.0003040976192134337,0
all,candidate,group_aoi,2,2,hgb8,0.01,654,0.06728744027617298,0.06756143900744452,-0.00027399873127154084,1
all,candidate,group_aoi,2,2,hgb8,0.02,654,0.06742189170654625,0.06756143900744452,-0.0001395473008982684,1
all,candidate,group_aoi,2,2,hgb8,0.03,654,0.06757642385350901,0.06756143900744452,1.4984846064491908e-05,0
all,candidate,group_aoi,2,2,hgb8,0.04,654,0.06763740630695841,0.06756143900744452,7.596729951389602e-05,0
all,candidate,group_aoi,2,2,hgb8,0.06,654,0.06763740630695841,0.06756143900744452,7.596729951389602e-05,0
all,candidate,group_aoi,2,3,hgb8,0.01,675,0.05121733719567491,0.051111738380255366,0.0001055988154195428,0
all,candidate,group_aoi,2,3,hgb8,0.02,675,0.05141868544095696,0.051111738380255366,0.00030694706070159145,0
