radius,crop,method,pred,pooled_rmse,min_seed_rmse,max_seed_rmse,mean_delta_vs_global40
2,1,median,blend0.2,0.07730747922380808,0.07396016769964121,0.07974690032148753,
16,0,median,blend0.2,0.07765336950345679,0.07413247942331891,0.08021873186976657,
2,0,median,blend0.2,0.0777085899496445,0.07401782695436462,0.08034032826929619,
32,0,median,blend0.2,0.07795643378714044,0.07414914173120037,0.08057647469342268,
32,1,mean,blend0.3,0.08427125461757295,0.0814237370449335,0.0863628044531233,
16,1,mean,blend0.3,0.08459190387180487,0.08179879287362246,0.08641858310861915,
4,1,mean,blend0.3,0.08470899143655286,0.08190978512556278,0.087013944889709,
8,1,mean,blend0.3,0.08478460917896484,0.08211921224757072,0.08660395175592872,
8,0,mean,blend0.3,0.08493576907656873,0.08138485073538564,0.08750692298981846,
16,0,mean,blend0.3,0.0854091322752844,0.08204593000811734,0.08757326584537388,
4,0,mean,blend0.3,0.08550835247798563,0.0819989476712369,0.08797377997806624,
32,0,mean,blend0.3,0.08581379310338921,0.08243557763135877,0.0881227042517976,
32,1,median,blend0.3,0.08651528332966073,0.08350064206749072,0.08861632793982238,
4,1,median,blend0.3,0.08667393029578344,0.08448402711514008,0.08904665406390937,
1,1,mean,blend0.3,0.08673398902938809,0.08439686525973737,0.08838518999958296,
1,1,median,blend0.3,0.08673398902938809,0.08439686525973737,0.08838518999958296,
8,1,median,blend0.3,0.0869317416238104,0.0845520636085103,0.088732264787922,
16,1,median,blend0.3,0.08695697940000673,0.08428274958031166,0.08884214392477137,
2,1,mean,blend0.3,0.08701715107268884,0.08382245675459771,0.08882094299149838,
8,0,median,blend0.3,0.0870215321641915,0.08334464190770088,0.0895981394414213,
1,0,mean,blend0.3,0.08733262973041026,0.08475623665514284,0.08921971191293157,
1,0,median,blend0.3,0.08733262973041026,0.08475623665514284,0.08921971191293157,
4,0,median,blend0.3,0.08746407624911082,0.08438543359278168,0.09000953201252777,
2,0,mean,blend0.3,0.08761934296075742,0.08387269176133051,0.08983114116296145,
16,0,median,blend0.3,0.08781930472362234,0.08455244666258147,0.0898206679038474,
2,1,median,blend0.3,0.08791710563227023,0.08482513164994479,0.0896416704275315,
32,0,median,blend0.3,0.08813859038635663,0.08432999477849079,0.09058349725599392,
2,0,median,blend0.3,0.08864123845145933,0.08503949705755125,0.09073044113729947,
32,1,mean,blend0.4,0.09480846399735433,0.09230569475413028,0.0967548882246181,
16,1,mean,blend0.4,0.09540665602513544,0.09300079760796438,0.09748802234404441,
8,1,mean,blend0.4,0.09586707430873997,0.09364207895430507,0.0979350479059616,
4,1,mean,blend0.4,0.09591540861727244,0.09344718051935101,0.09863797140800064,
8,0,mean,blend0.4,0.09603564420584385,0.0925566401728323,0.09905067532400946,
16,0,mean,blend0.4,0.09653920626257219,0.0933623480714981,0.09899340853582193,
32,0,mean,blend0.4,0.09695181126736288,0.09374387159127925,0.09959333419627542,
4,0,mean,blend0.4,0.09710004061173846,0.0936437619927652,0.09995100208070799,
32,1,median,blend0.4,0.09827453852316041,0.09555430847205035,0.10042231335423328,
4,1,median,blend0.4,0.09898195122672976,0.09728038583568226,0.10184223136416479,
16,1,median,blend0.4,0.09902747457771277,0.0967670173234175,0.10118085754150041,
1,1,median,blend0.4,0.09906099772436018,0.09701353759677496,0.1006613858566133,
1,1,mean,blend0.4,0.09906099772436018,0.09701353759677496,0.1006613858566133,
8,1,median,blend0.4,0.09918894981864014,0.09730794948354822,0.10125799372924939,
8,0,median,blend0.4,0.09930968484790961,0.09566712385238922,0.1023450609399727,
2,1,mean,blend0.4,0.09959685243433453,0.0966072951814298,0.10105045378023142,
1,0,mean,blend0.4,0.09993634156914728,0.09760428011337319,0.10158685949672074,
1,0,median,blend0.4,0.09993634156914728,0.09760428011337319,0.10158685949672074,
4,0,median,blend0.4,0.10014847804522735,0.09727195134816032,0.10315011766319702,
16,0,median,blend0.4,0.10025349478328599,0.09725447738350074,0.10252963857592762,
2,0,mean,blend0.4,0.1004820174874133,0.09676848737212204,0.10260965832018258,
32,0,median,blend0.4,0.10052989219233036,0.09671251227384757,0.10343770425508682,
2,1,median,blend0.4,0.10101383370858152,0.09814598394155229,0.10256196852644223,
2,0,median,blend0.4,0.10208023916671585,0.09855288510779285,0.10431963601719464,
32,1,mean,mix,0.17690621623910602,0.17368323251437867,0.17975682531101297,
32,1,mean,hard,0.17858445879227144,0.1753660215409308,0.1813041768765892,
16,1,mean,mix,0.1794591202109662,0.17453091110794605,0.18317564349395996,
16,1,mean,hard,0.18081756968528193,0.17575216721033932,0.18447876523895376,
8,0,mean,mix,0.18151569275234705,0.17824999184186896,0.18578415373217774,
16,0,mean,mix,0.18187387902536067,0.17776440965243562,0.18551193803778027,
8,1,mean,mix,0.18202580866837786,0.1758573390822377,0.18597631855343016,
32,0,mean,mix,0.1820844455163273,0.17910421759717823,0.18547562326151154,
8,1,mean,hard,0.18333128736901264,0.17718237870065692,0.18697706348078677,
4,1,mean,mix,0.18341863372478512,0.17723220387867736,0.18880508201403212,
16,0,mean,hard,0.18348980030050385,0.17936495705800826,0.18720117700735395,
8,0,mean,hard,0.18361159277183703,0.1804773163255021,0.18844345081268363,
32,0,mean,hard,0.18371799508712908,0.1804631068003707,0.18754984162065663,
4,1,mean,hard,0.18456991725273572,0.17861010198507643,0.18976092480808232,
4,0,mean,mix,0.18585324376134793,0.18220034575920754,0.18997029546251953,
32,1,median,mix,0.18776315582631967,0.1841229732880921,0.19112646017805376,
4,0,mean,hard,0.18869379083238705,0.1853769466441946,0.1927742877607054,
32,1,median,hard,0.18991669983099163,0.18648189392659315,0.19298162414277414,
16,1,median,mix,0.1906274934186524,0.1851947499040045,0.19428538767932893,
8,0,median,mix,0.1919159887880734,0.1873950250284916,0.19618621236419032,
16,1,median,hard,0.19243285605923324,0.18697976579723954,0.19597871085951293,
8,1,median,mix,0.19253721112195255,0.18502820395326325,0.19655418831483804,
32,0,median,mix,0.19302589299535905,0.1895882647904154,0.19725788818671497,
16,0,median,mix,0.193217982295003,0.18853351749659597,0.196366300157637,
4,1,median,mix,0.19331450255314284,0.18512169700651518,0.19920986526551165,
8,1,median,hard,0.19407898037355764,0.1867325927161546,0.19777504523286868,
4,1,median,hard,0.19459318190408717,0.18657576561913347,0.20033473800287424,
8,0,median,hard,0.19466914009955794,0.19082149489948766,0.19932488233996148,
32,0,median,hard,0.19547739603254405,0.19176181000460446,0.20012044410597887,
4,0,median,mix,0.1955549807121938,0.18968275207765886,0.20016774918810967,
16,0,median,hard,0.19573522796261592,0.19091485258233393,0.1988812890772616,
2,1,mean,mix,0.19760593406298405,0.19385648102185557,0.20085515458658398,
2,1,mean,hard,0.1983960231714774,0.19474808017854758,0.20170341864102562,
4,0,median,hard,0.19868934573553296,0.19313388705682136,0.2032704208842169,
2,0,mean,mix,0.19885008071666604,0.19608268488766026,0.20171943368296635,
2,0,mean,hard,0.20104004368879758,0.19807205342365047,0.2037710430865435,
2,1,median,mix,0.2022497942789114,0.1980996511279496,0.2055083955219615,
2,1,median,hard,0.20313689621975398,0.19913157679029583,0.20637268443771517,
2,0,median,mix,0.20400050659512253,0.2010661873400493,0.20678871762380888,
2,0,median,hard,0.2062980077712844,0.20365564953859838,0.20884246248454136,
1,1,mean,mix,0.20885828281105456,0.20384000376965256,0.21375385466267577,
1,1,median,mix,0.20885828281105456,0.20384000376965256,0.21375385466267577,
1,1,median,hard,0.2094610685772604,0.20470618494717455,0.2141159026482351,
1,1,mean,hard,0.2094610685772604,0.20470618494717455,0.2141159026482351,
1,0,median,mix,0.21022513882544402,0.2060816709111141,0.21490284712834484,
1,0,mean,mix,0.21022513882544402,0.2060816709111141,0.21490284712834484,
1,0,mean,hard,0.21111166901637593,0.20734109935066344,0.21541913373980676,
1,0,median,hard,0.21111166901637593,0.20734109935066344,0.21541913373980676,
