protocol,year,kind,bw,deg,rmse,mae,n,seed
exact,2021,gauss,30,1,0.12879204325229757,0.10199559662870061,130,
exact,2021,gauss,30,2,0.1076762475848065,0.08363566381409443,130,
exact,2021,tricube,2,0,0.1304970611315732,0.09153784360562743,130,
exact,2021,tricube,2,1,0.1304970611315732,0.09153784360562743,130,
exact,2021,tricube,2,2,0.1304970611315732,0.09153784360562743,130,
exact,2021,tricube,3,0,0.12795563115922953,0.08819019901559162,130,
exact,2021,tricube,3,1,0.1309685707698535,0.09168145866722982,130,
exact,2021,tricube,3,2,0.13351850315755034,0.09380986239105882,130,
exact,2021,tricube,4,0,0.12665483929429505,0.08513995796588729,130,
exact,2021,tricube,4,1,0.1320886632833504,0.09069332365375016,130,
exact,2021,tricube,4,2,0.13569806239212046,0.0963095221843045,130,
exact,2021,tricube,5,0,0.12496975670275502,0.08354238884641829,130,
exact,2021,tricube,5,1,0.12980305033962167,0.08886660151914516,130,
exact,2021,tricube,5,2,0.13229122486200143,0.09341251766724416,130,
exact,2021,tricube,6,0,0.11778691505189151,0.07978980406272305,130,
exact,2021,tricube,6,1,0.12026295590212188,0.08431122013947112,130,
exact,2021,tricube,6,2,0.13371257061469644,0.09388229394129138,130,
exact,2021,tricube,8,0,0.10364671565570056,0.07298665660260804,130,
exact,2021,tricube,8,1,0.10747910927541367,0.07613578689295322,130,
exact,2021,tricube,8,2,0.12917901095548695,0.08867156246823449,130,
exact,2021,tricube,10,0,0.1032297278867073,0.07203060681172123,130,
exact,2021,tricube,10,1,0.11070068661169241,0.07787390090131764,130,
exact,2021,tricube,10,2,0.1284767724569254,0.08705472974390649,130,
exact,2021,tricube,12,0,0.10139705952003467,0.07163993817268104,130,
exact,2021,tricube,12,1,0.10705061736359364,0.07650688410859258,130,
exact,2021,tricube,12,2,0.11884141356464276,0.08389560310434513,130,
exact,2021,tricube,16,0,0.10035547749816069,0.07164798594265928,130,
exact,2021,tricube,16,1,0.10012647432612105,0.07388998008193848,130,
exact,2021,tricube,16,2,0.11536731903227154,0.07936850719356851,130,
exact,2021,tricube,20,0,0.10058772636431869,0.07182562974224813,130,
exact,2021,tricube,20,1,0.09773296440259156,0.0730139566049687,130,
exact,2021,tricube,20,2,0.1094772059258803,0.07557264693105466,130,
exact,2021,tricube,30,0,0.10732168381093335,0.07776295642757226,130,
exact,2021,tricube,30,1,0.09936011295175937,0.07520839867642302,130,
exact,2021,tricube,30,2,0.09928250821052471,0.07189126875685978,130,
exact,2021,epan,2,0,0.1304970611315732,0.09153784360562743,130,
exact,2021,epan,2,1,0.1304970611315732,0.09153784360562743,130,
exact,2021,epan,2,2,0.1304970611315732,0.09153784360562743,130,
exact,2021,epan,3,0,0.12780482921296063,0.08746919873726142,130,
exact,2021,epan,3,1,0.131136130090176,0.09161182525175966,130,
exact,2021,epan,3,2,0.13351850315755034,0.09380986239105882,130,
exact,2021,epan,4,0,0.12630156995040281,0.0844714096291346,130,
exact,2021,epan,4,1,0.13222720318917458,0.0907049282960788,130,
exact,2021,epan,4,2,0.13565138494454812,0.0963233690079091,130,
exact,2021,epan,5,0,0.12340524325700447,0.08246419909991588,130,
exact,2021,epan,5,1,0.1297923821660666,0.08858591462957438,130,
exact,2021,epan,5,2,0.13232071081085459,0.09317238319470209,130,
exact,2021,epan,6,0,0.10900049871368717,0.07574414371095417,130,
exact,2021,epan,6,1,0.11408986824630712,0.08153340397715901,130,
exact,2021,epan,6,2,0.13340998182722583,0.0936152090839534,130,
exact,2021,epan,8,0,0.09953328949908014,0.07108597232274037,130,
exact,2021,epan,8,1,0.10618094499358233,0.07561687258283765,130,
exact,2021,epan,8,2,0.12655356805627502,0.08692896795663024,130,
exact,2021,epan,10,0,0.10198429498930951,0.07195701148635024,130,
exact,2021,epan,10,1,0.11056948961027174,0.07828315987369654,130,
