lag_weight,method,alpha,cap,cohort,n,rmse,baseline_rmse,delta_rmse,wins,folds
0.300000000,source_year_doy,0.010000000,0.020000000,random2025,2268,0.061622323,0.061513373,0.000108950,1,3
0.300000000,source_year_doy,0.010000000,0.040000000,random,5664,0.071378393,0.071268305,0.000110088,0,3
0.300000000,source_year_doy,0.010000000,0.040000000,random2025,2268,0.061622323,0.061513373,0.000108950,1,3
0.300000000,source_year_doy,0.100000000,0.010000000,random,5664,0.071348092,0.071268305,0.000079787,0,3
0.300000000,source_year_doy,0.100000000,0.010000000,random2025,2268,0.061621434,0.061513373,0.000108061,1,3
0.300000000,source_year_doy,0.100000000,0.020000000,random,5664,0.071371279,0.071268305,0.000102973,0,3
0.300000000,source_year_doy,0.100000000,0.020000000,random2025,2268,0.061621394,0.061513373,0.000108021,1,3
0.300000000,source_year_doy,0.100000000,0.040000000,random,5664,0.071378346,0.071268305,0.000110041,0,3
0.300000000,source_year_doy,0.100000000,0.040000000,random2025,2268,0.061621394,0.061513373,0.000108021,1,3
0.300000000,source_year_doy,1.000000000,0.010000000,random,5664,0.071348378,0.071268305,0.000080073,0,3
0.300000000,source_year_doy,1.000000000,0.010000000,random2025,2268,0.061616425,0.061513373,0.000103051,1,3
0.300000000,source_year_doy,1.000000000,0.020000000,random,5664,0.071371945,0.071268305,0.000103640,0,3
0.300000000,source_year_doy,1.000000000,0.020000000,random2025,2268,0.061616425,0.061513373,0.000103051,1,3
0.300000000,source_year_doy,1.000000000,0.040000000,random,5664,0.071377110,0.071268305,0.000108805,0,3
0.300000000,source_year_doy,1.000000000,0.040000000,random2025,2268,0.061616425,0.061513373,0.000103051,1,3
0.300000000,source_year_doy,10.000000000,0.010000000,random,5664,0.071349811,0.071268305,0.000081505,0,3
0.300000000,source_year_doy,10.000000000,0.010000000,random2025,2268,0.061618329,0.061513373,0.000104956,1,3
0.300000000,source_year_doy,10.000000000,0.020000000,random,5664,0.071361501,0.071268305,0.000093196,0,3
0.300000000,source_year_doy,10.000000000,0.020000000,random2025,2268,0.061618329,0.061513373,0.000104956,1,3
0.300000000,source_year_doy,10.000000000,0.040000000,random,5664,0.071361501,0.071268305,0.000093196,0,3
0.300000000,source_year_doy,10.000000000,0.040000000,random2025,2268,0.061618329,0.061513373,0.000104956,1,3
0.300000000,source_year_doy,100.000000000,0.010000000,random,5664,0.071335042,0.071268305,0.000066737,0,3
0.300000000,source_year_doy,100.000000000,0.010000000,random2025,2268,0.061618390,0.061513373,0.000105017,0,3
0.300000000,source_year_doy,100.000000000,0.020000000,random,5664,0.071335247,0.071268305,0.000066941,0,3
0.300000000,source_year_doy,100.000000000,0.020000000,random2025,2268,0.061618390,0.061513373,0.000105017,0,3
0.300000000,source_year_doy,100.000000000,0.040000000,random,5664,0.071335247,0.071268305,0.000066941,0,3
0.300000000,source_year_doy,100.000000000,0.040000000,random2025,2268,0.061618390,0.061513373,0.000105017,0,3
0.325000000,source,0.010000000,0.010000000,random,5664,0.071368714,0.071355396,0.000013318,1,3
0.325000000,source,0.010000000,0.010000000,random2025,2268,0.061534545,0.061489887,0.000044658,0,3
0.325000000,source,0.010000000,0.020000000,random,5664,0.071383062,0.071355396,0.000027666,1,3
0.325000000,source,0.010000000,0.020000000,random2025,2268,0.061534545,0.061489887,0.000044658,0,3
0.325000000,source,0.010000000,0.040000000,random,5664,0.071383092,0.071355396,0.000027696,1,3
