tag,candidate,n,rmse,mae
exact2019,state_z_w30_w0.250,249,0.06552324206526018,0.04807665709115379
exact2019,state_z_w30_w0.275,249,0.06688213686449392,0.049425747842324015
exact2019,state_z_w30_w0.300,249,0.06831725649399692,0.05083192592647473
exact2019,state_z_w30_w0.325,249,0.06982390107019006,0.05225825774232069
exact2019,state_z_w30_w0.350,249,0.07139754273740988,0.05370133992601148
exact2019,state_z_w30_w0.375,249,0.07303385091660103,0.05516431214339371
exact2019,state_z_w30_w0.400,249,0.07472870916163209,0.05662915534807463
exact2019,state_z_w30_w0.425,249,0.0764782249317199,0.058129318861115706
exact2019,state_z_w30_w0.450,249,0.07827873355476021,0.05966895848478413
exact2019,state_z_w30_w0.475,249,0.08012679756270684,0.0612217110463707
exact2019,state_z_w30_w0.500,249,0.08201920245198872,0.06280154391192726
exact2019,delta_z_w30_w0.000,249,0.05718105612325281,0.039427367948714015
exact2019,delta_z_w30_w0.025,249,0.0575202132759802,0.03974121481164856
exact2019,delta_z_w30_w0.050,249,0.05797912567248115,0.04025573757103359
exact2019,delta_z_w30_w0.075,249,0.058554977710387125,0.040947345670729725
exact2019,delta_z_w30_w0.100,249,0.05924435954645775,0.041807891224576156
exact2019,delta_z_w30_w0.125,249,0.06004336086499024,0.042748948026630075
exact2019,delta_z_w30_w0.150,249,0.060947670606384785,0.04370774504379989
exact2019,delta_z_w30_w0.175,249,0.06195267744991149,0.04470217731278185
exact2019,delta_z_w30_w0.200,249,0.06305356656501374,0.04572436704723863
exact2019,delta_z_w30_w0.225,249,0.06424540911545293,0.04686266863717083
exact2019,delta_z_w30_w0.250,249,0.06552324206526018,0.04807665709115379
exact2019,delta_z_w30_w0.275,249,0.06688213686449392,0.049425747842324015
exact2019,delta_z_w30_w0.300,249,0.06831725649399692,0.05083192592647473
exact2019,delta_z_w30_w0.325,249,0.06982390107019006,0.05225825774232069
exact2019,delta_z_w30_w0.350,249,0.07139754273740988,0.05370133992601148
exact2019,delta_z_w30_w0.375,249,0.07303385091660103,0.05516431214339371
exact2019,delta_z_w30_w0.400,249,0.07472870916163209,0.05662915534807463
exact2019,delta_z_w30_w0.425,249,0.0764782249317199,0.058129318861115706
exact2019,delta_z_w30_w0.450,249,0.07827873355476021,0.05966895848478413
exact2019,delta_z_w30_w0.475,249,0.08012679756270684,0.0612217110463707
exact2019,delta_z_w30_w0.500,249,0.08201920245198874,0.06280154391192726
exact2019,state_z_w60_w0.000,249,0.05718105612325281,0.039427367948714015
exact2019,state_z_w60_w0.025,249,0.0576388020760639,0.03984588937762577
exact2019,state_z_w60_w0.050,249,0.05826461614040571,0.04057145288579085
exact2019,state_z_w60_w0.075,249,0.059053155267488125,0.041541060485066554
exact2019,state_z_w60_w0.100,249,0.05999800383292242,0.04270606758289926
exact2019,state_z_w60_w0.125,249,0.06109190981346681,0.0439465354524957
exact2019,state_z_w60_w0.150,249,0.06232702535185061,0.04527943958624212
exact2019,state_z_w60_w0.175,249,0.06369513637316253,0.04666236764870786
exact2019,state_z_w60_w0.200,249,0.06518786980576517,0.04815231793740558
exact2019,state_z_w60_w0.225,249,0.06679687122809787,0.049750943182520616
exact2019,state_z_w60_w0.250,249,0.06851394971642538,0.051413326714382035
exact2019,state_z_w60_w0.275,249,0.07033118987660252,0.053166402602956415
exact2019,state_z_w60_w0.300,249,0.07224103333289637,0.05496406003737093
exact2019,state_z_w60_w0.325,249,0.07423633334414255,0.0568365882169593
exact2019,state_z_w60_w0.350,249,0.07631038686569958,0.05872315712188716
exact2019,state_z_w60_w0.375,249,0.07845694846624417,0.060620349787862404
exact2019,state_z_w60_w0.400,249,0.08067023023091685,0.06256732116483715
exact2019,state_z_w60_w0.425,249,0.08294489129666423,0.06454506852447525
exact2019,state_z_w60_w0.450,249,0.08527602009213278,0.06655353669382781
exact2019,state_z_w60_w0.475,249,0.08765911177467126,0.06858421977076479
exact2019,state_z_w60_w0.500,249,0.09009004282009667,0.07061490284770179
exact2019,delta_z_w60_w0.000,249,0.05718105612325281,0.039427367948714015
exact2019,delta_z_w60_w0.025,249,0.0576388020760639,0.03984588937762577
exact2019,delta_z_w60_w0.050,249,0.05826461614040571,0.04057145288579085
exact2019,delta_z_w60_w0.075,249,0.059053155267488125,0.041541060485066554
exact2019,delta_z_w60_w0.100,249,0.05999800383292243,0.04270606758289926
exact2019,delta_z_w60_w0.125,249,0.06109190981346681,0.0439465354524957
exact2019,delta_z_w60_w0.150,249,0.06232702535185061,0.04527943958624212
exact2019,delta_z_w60_w0.175,249,0.06369513637316253,0.04666236764870786
exact2019,delta_z_w60_w0.200,249,0.06518786980576517,0.04815231793740558
exact2019,delta_z_w60_w0.225,249,0.06679687122809787,0.049750943182520616
exact2019,delta_z_w60_w0.250,249,0.06851394971642538,0.051413326714382035
exact2019,delta_z_w60_w0.275,249,0.07033118987660252,0.05316640260295642
exact2019,delta_z_w60_w0.300,249,0.07224103333289637,0.05496406003737093
exact2019,delta_z_w60_w0.325,249,0.07423633334414255,0.0568365882169593
