lag_weight,peer_config,peer_weight,alpha,beta,exact_rmse,exact_baseline_rmse,exact_delta,exact_wins,exact_folds,exact_coverage,random_rmse,random_baseline_rmse,random_delta,random_wins,random_folds,random_coverage,random2025_rmse,random2025_baseline_rmse,random2025_delta,random2025_wins,random2025_folds,random2025_coverage,worst_delta,mean_delta,all_wins
0.375000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.150000000,0.061829430,0.062592735,-0.000763304,6,6,0.899461400,0.068836499,0.069829641,-0.000993142,3,3,0.685577408,0.061479207,0.062241735,-0.000762528,3,3,0.933862434,-0.000762528,-0.000839658,True
0.400000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.100000000,0.061871960,0.062643363,-0.000771403,6,6,0.899461400,0.068968866,0.069937773,-0.000968907,3,3,0.685577408,0.061500750,0.062263258,-0.000762508,3,3,0.933862434,-0.000762508,-0.000834273,True
0.375000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.125000000,0.061830608,0.062592735,-0.000762126,6,6,0.899461400,0.068850766,0.069829641,-0.000978875,3,3,0.685577408,0.061479712,0.062241735,-0.000762024,3,3,0.933862434,-0.000762024,-0.000834342,True
0.375000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.125000000,0.061829255,0.062592735,-0.000763480,6,6,0.899461400,0.068846299,0.069829641,-0.000983342,3,3,0.685577408,0.061480434,0.062241735,-0.000761301,3,3,0.933862434,-0.000761301,-0.000836041,True
0.400000000,n16_c60_r125_k2,0.100000000,0.250000000,-0.175000000,0.061876918,0.062643363,-0.000766445,6,6,0.899461400,0.068939421,0.069937773,-0.000998352,3,3,0.685577408,0.061502487,0.062263258,-0.000760771,3,3,0.933862434,-0.000760771,-0.000841856,True
0.400000000,n16_c60_r125_k2,0.100000000,0.275000000,-0.125000000,0.061873187,0.062643363,-0.000770176,6,6,0.899461400,0.068953215,0.069937773,-0.000984558,3,3,0.685577408,0.061502738,0.062263258,-0.000760520,3,3,0.933862434,-0.000760520,-0.000838418,True
0.375000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.175000000,0.061832480,0.062592735,-0.000760255,6,6,0.899461400,0.068833756,0.069829641,-0.000995885,3,3,0.685577408,0.061474208,0.062241735,-0.000767527,3,3,0.933862434,-0.000760255,-0.000841222,True
0.400000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.100000000,0.061872261,0.062643363,-0.000771102,6,6,0.899461400,0.068961066,0.069937773,-0.000976707,3,3,0.685577408,0.061503376,0.062263258,-0.000759882,3,3,0.933862434,-0.000759882,-0.000835897,True
0.375000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.150000000,0.061833108,0.062592735,-0.000759626,6,6,0.899461400,0.068845352,0.069829641,-0.000984289,3,3,0.685577408,0.061478065,0.062241735,-0.000763670,3,3,0.933862434,-0.000759626,-0.000835862,True
0.375000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.200000000,0.061834419,0.062592735,-0.000758315,6,6,0.899461400,0.068824082,0.069829641,-0.001005558,3,3,0.685577408,0.061472592,0.062241735,-0.000769143,3,3,0.933862434,-0.000758315,-0.000844339,True
0.375000000,n16_c60_r125_k2,0.100000000,0.275000000,-0.175000000,0.061835034,0.062592735,-0.000757700,6,6,0.899461400,0.068832579,0.069829641,-0.000997062,3,3,0.685577408,0.061483277,0.062241735,-0.000758458,3,3,0.933862434,-0.000757700,-0.000837740,True
0.375000000,n16_c60_r125_k2,0.100000000,0.275000000,-0.200000000,0.061835760,0.062592735,-0.000756975,6,6,0.899461400,0.068823008,0.069829641,-0.001006633,3,3,0.685577408,0.061481283,0.062241735,-0.000760453,3,3,0.933862434,-0.000756975,-0.000841353,True
0.375000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.125000000,0.061836304,0.062592735,-0.000756431,6,6,0.899461400,0.068858870,0.069829641,-0.000970771,3,3,0.685577408,0.061484161,0.062241735,-0.000757574,3,3,0.933862434,-0.000756431,-0.000828258,True
0.375000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.125000000,0.061833597,0.062592735,-0.000759137,6,6,0.899461400,0.068849937,0.069829641,-0.000979704,3,3,0.685577408,0.061485607,0.062241735,-0.000756129,3,3,0.933862434,-0.000756129,-0.000831657,True
0.400000000,n16_c60_r125_k2,0.100000000,0.250000000,-0.150000000,0.061879537,0.062643363,-0.000763825,6,6,0.899461400,0.068951232,0.069937773,-0.000986541,3,3,0.685577408,0.061507394,0.062263258,-0.000755864,3,3,0.933862434,-0.000755864,-0.000835410,True
