rmse,w,ao_rmse_mean,year_rmse_mean,a,b
0.06179278056105751,0.0,0.0512949827034102,0.06167975172494406,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_hgb_sqclip_w015_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_submission.csv
0.06179278056105751,0.0,0.0512949827034102,0.06167975172494406,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_hgb_sqclip_w015_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_global15_submission.csv
0.06179278056105751,0.0,0.0512949827034102,0.06167975172494406,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_hgb_sqclip_w015_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_new25_00_submission.csv
0.06179278056105751,0.0,0.0512949827034102,0.06167975172494406,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_hgb_sqclip_w015_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_new25_05_submission.csv
0.06179278056105751,0.0,0.0512949827034102,0.06167975172494406,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_hgb_sqclip_w015_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_shock015_submission.csv
0.06179278056105751,0.0,0.0512949827034102,0.06167975172494406,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_hgb_sqclip_w015_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_global15_submission.csv
0.06179278056105751,0.0,0.0512949827034102,0.06167975172494406,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_hgb_sqclip_w015_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_global175_submission.csv
0.06179278056105751,0.0,0.0512949827034102,0.06167975172494406,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_hgb_sqclip_w015_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_shock0175_submission.csv
0.06179278056105751,0.0,0.0512949827034102,0.06167975172494406,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_hgb_sqclip_w015_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a020_submission.csv
0.06179278056105751,0.0,0.0512949827034102,0.06167975172494406,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_hgb_sqclip_w015_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_20260905_submission.csv
0.06179278056105751,0.0,0.0512949827034102,0.06167975172494406,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_hgb_sqclip_w015_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_v2_20260905_submission.csv
0.06179910205720027,0.12295386956717383,0.051272598727201586,0.061657257746348317,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_localgamma006_v1_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_shock0175_submission.csv
0.061801599824754576,0.19268964332732297,0.05117199067984225,0.061767476351148716,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_localpeer_r8_a020_submission.csv
0.06180182408414097,0.11636162019672158,0.05127560936530938,0.0616628756165028,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_localgamma006_v1_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_shock015_submission.csv
0.06181071468024916,0.2530660387870274,0.05106079814309818,0.06175562640619371,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_v2_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_localpeer_r8_a020_shock175_diag_submission.csv
0.061813991751497065,0.4547353850533553,0.0513022940665442,0.061737317916037024,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_submission.csv
0.061815930438686106,0.05918705229103326,0.05127428188733463,0.06172098574505257,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_localgamma006_v1_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_global175_submission.csv
0.06181656150991161,0.05654284229519972,0.051304935966344396,0.06169792004730947,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_localgamma006_v1_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_submission.csv
0.06181729325397726,0.05249158266860822,0.051280931620120075,0.06172167122754868,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_localgamma006_v1_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_global15_submission.csv
